ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,max_length,length_from_study,commonlength,commonlengthf,commonlengthref,lengthfemale,maxlengthref,length_source_1,mean_length,tl,food_item_id_2,country_region,season,isscaap_cat,feedingtyperef,feeding_habit,demerspelag,brackishwater,brack,marine,fresh,trophic_level,diettroph,dietsetroph,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,weight,weightfemale,maxweightref,weight_from_study
"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",213,NA,Protonibea diacanthus,protcnt_g,16,finfish,NA,NA,150,NaN,3.93,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,100,NA,9772,NA,9772,NA,150,NA,NA,NA,NA,NA,NA,NA,demersal,NA,-1,NA,0,3.93,3.5,0.6,0.69,NA,NA,NA,NA,NA,NA,NA,NA
"Martínez B., Miranda J.M., Nebot C., Rodriguez J.L., Cepeda A., Franco C.M. (2010). Differentiation of farmed and wild turbot (Psetta maxima): Proximate chemical composition, fatty acid profile, trace minerals and antimicrobial resistance of contaminant bacteria. Food Sci Tech Int 16(5): 435-437",973,Turbot_wild_muscle_flesh_raw,Psetta maxima,protcnt_g,19.3,finfish,42.575055,42.575055,100,100,NaN,NA,NA,NA,100,37.1,NA,NA,NA,NA,NA,NA,100,4,900503,NA,Jan-Dec,"Flounders, halibuts, soles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perea A. Gómez E. Mayorga Y., Triana C.Y. (2008). Caracterización nutricional de pescados de produccion y consumo regional en Bucaramanga, Colombia. Archivos Latinoamericanos de Nutricion 58(1): 91-97",180,Sorubim_wild_boneless_skinless_fillet_raw,Pseudoplatystoma fasciatum,protcnt_g,21.2,finfish,5.816764,5.816764,104,104,4.38,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,104,NA,NA,NA,NA,NA,40637,NA,104,4.4,900969,NA,NA,Miscellaneous freshwater fishes,9096,NA,demersal,NA,0,NA,-1,4.38,NA,NA,0.78,NA,NA,NA,NA,7.00E+04,NA,35381,NA
"Sant'Ana L.S., Ducatti C., Gonçalves Ramires D. (2010). Seasonal variations in chemical composition and stable isotopes of farmed and wild Brazilian freswater fish. Food Chemistry 122: 74-77",977,Barred_sorubim_wild_muscle_flesh_raw,Pseudoplatystoma fasciatum,protcnt_g,19.36,finfish,7.584134,-7.584134,104,104,4.38,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,104,NA,NA,NA,NA,NA,40637,NA,104,4.4,900093,NA,Jan _wet season 2007,Miscellaneous freshwater fishes,9096,NA,demersal,NA,0,NA,-1,4.38,NA,NA,0.78,NA,NA,NA,NA,7.00E+04,NA,35381,NA
"Sant'Ana L.S., Ducatti C., Gonçalves Ramires D. (2010). Seasonal variations in chemical composition and stable isotopes of farmed and wild Brazilian freswater fish. Food Chemistry 122: 74-77",978,Barred_sorubim_wild_muscle_flesh_raw,Pseudoplatystoma fasciatum,protcnt_g,19.56,finfish,7.584134,-7.584134,104,104,4.38,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,104,NA,NA,NA,NA,NA,40637,NA,104,4.4,900092,NA,Sep _dry season 2006,Miscellaneous freshwater fishes,9096,NA,demersal,NA,0,NA,-1,4.38,NA,NA,0.78,NA,NA,NA,NA,7.00E+04,NA,35381,NA
"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16",369,Common_silver_barb_wild_muscle_fillet_raw,Puntius gonionotus,protcnt_g,17.9,finfish,15.484682,15.484682,40.5,40.5,NaN,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA,40.5,2.4,900001,NA,May-Oct,"Carps, barbels and other cyprinids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16",987,Short-bodied_mackerel_wild_muscle_fillet_raw,Rastrelliger brachysoma,protcnt_g,21.1,finfish,9.71212,9.71212,33.875,32,2.72,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),oceanodromous,32,NA,20,NA,168,NA,168,NA,33.875,2.72,900045,NA,Oct-Nov,Miscellaneous pelagic fishes,168,NA,pelagic-neritic,NA,-1,NA,0,2.72,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA
"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",171,NA,Rastrelliger kanagurta,protcnt_g,16.1,finfish,NA,NA,37.91176471,32,3.190000057,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,25,NA,30573,NA,90102,NA,38,NA,NA,NA,NA,NA,NA,NA,pelagic-neritic,NA,0,NA,0,3.190000057,NA,NA,0.3788,NA,NA,NA,NA,NA,NA,NA,NA
"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148",988,Indian_mackerel_wild_fillet_raw,Rastrelliger kanagurta,protcnt_g,20.51,finfish,3.144341,3.144341,37.91176471,32,3.190000057,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,32,NA,25,NA,30573,NA,90102,NA,36.5,3.19,900533,NA,NA,Miscellaneous pelagic fishes,NA,NA,pelagic-neritic,NA,0,NA,0,3.190000057,NA,NA,0.3788,NA,NA,NA,NA,NA,NA,NA,NA
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",279,Greenland_halibut_wild_fillet_raw,Reinhardtius hippoglossoides,protcnt_g,14.3,finfish,63.968654,63.968654,76.5,66,4.09,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,66,NA,56,NA,55110,130,56370,NA,76.5,4.48,901250,NA,NA,"Flounders, halibuts, soles",6394,NA,benthopelagic,NA,0,NA,0,4.09,4.38,0.144,0.81,NA,NA,NA,NA,7.00E+03,4.50E+04,173,NA
"Lytle J.S., Lytle T.F. (1994). Fatty acid and cholesterol content of sharks and rays. Journal of Food Composition and Analysis 7: 110-118",994,Atlantic_sharpnose_shark_wild_fillet_along_dorsal_line_raw,Rhizoprionodon terraenovae,protcnt_g,23.7,finfish,25.304304,25.304304,110,110,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,110,NA,70,NA,37512,110,37512,NA,110,4.3,901032,NA,"May, Jun _Spring 1990","Sharks, rays, chimaeras",NA,NA,demersal,NA,-1,NA,0,4.5,4.37,0.48,0.8,NA,NA,NA,NA,7250,NA,40637,NA
"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",1367,NA,Rhomboplites aurorubens,protcnt_g,18.24,finfish,NA,NA,60,NaN,3.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,35,NA,55,NA,26938,NA,60,NA,NA,NA,NA,NA,55,NA,demersal,NA,0,NA,0,3.8,4.36,0.23,0.56,NA,NA,NA,NA,3170,NA,40637,NA
Dincer T. (2006). Differences of Turkish clam (Ruditapes decussates) and Manila clam (Ruditapes philippinarum) according to their proximate composition and heavy metal contents. Journal of Shellfish Research 25: 455 - 459.,1626,NA,Ruditapes philippinarum,protcnt_g,9.56,mollusc,NA,NA,NaN,8,2,filtering plankton,mainly plants/detritus (troph. 2-2.19),NA,8,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,filtering plankton,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44",269,Caspian_kutum_wild_edible_flesh_raw,Rutilus frisii kutum,protcnt_g,21.4,finfish,35.707481,35.707481,70,70,NaN,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,70,NA,NA,NA,NA,NA,NA,NA,70,3.5,900366,NA,Nov,"Carps, barbels and other cyprinids",NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mai J., Shetty J.K., Kan T.-M., Kinsella J.E. (1980). protein and amino acid composition of select freshwater fish. J. Agric. Food Chem. 28(4): 884-885",826,Rainbow_trout_wild_fillet_raw,Salmo gairdneri,protcnt_g,18.29,finfish,42.740759,42.740759,120,120,NaN,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,120,4.4,900922,NA,NA,"Salmons, trouts, smelts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260",827,Rainbow_trout_wild_skinless_fillet_raw,Salmo gairdneri,protcnt_g,19.5,finfish,46.207215,46.207215,120,120,NaN,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,120,4.4,900783,NA,Oct-88,"Salmons, trouts, smelts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260",828,Rainbow_trout_wild_skinless_fillet_raw,Salmo gairdneri,protcnt_g,20.6,finfish,46.207215,46.207215,120,120,NaN,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,120,4.4,900782,NA,Jun-89,"Salmons, trouts, smelts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Usydus Z., Szlinder-Richert J., Adamczyk M., Szatkowska U. (2011). Marine and farmed fish in the Polish market: Comparison of the nutritional value. Food Chemistry 126: 78-84",999,Baltic_salmon_wild_skinless_fillet_raw,Salmo salar,protcnt_g,18.4,finfish,55.028022,55.028022,144.2142857,123,3.76,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,123,NA,38,NA,3561,120,7251,NA,143.25,4.43,900400,NA,NA,"Salmons, trouts, smelts",173,NA,benthopelagic,NA,-1,NA,-1,3.76,4.5,0.26,0.75,NA,NA,NA,NA,46764,NA,41037,NA
"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",245,NA,Salvelinus alpinus alpinus,protcnt_g,18,finfish,NA,NA,107,NaN,3.460000038,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NaN,NA,40,NA,4779,NA,40637,NA,107,NA,NA,NA,NA,NA,NA,NA,benthopelagic,NA,-1,NA,-1,3.460000038,4.39,0.51,0.68,NA,NA,NA,NA,1.50E+04,NA,4779,NA
"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",272,NA,Salvelinus alpinus alpinus,protcnt_g,21,finfish,NA,NA,107,NaN,3.460000038,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NaN,NA,40,NA,4779,NA,40637,NA,107,NA,NA,NA,NA,NA,NA,NA,benthopelagic,NA,-1,NA,-1,3.460000038,4.39,0.51,0.68,NA,NA,NA,NA,1.50E+04,NA,4779,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",228,Brook_trout_wild_female_flesh_raw,Salvelinus fontinalis,protcnt_g,17.3,finfish,47.878794,47.878794,86,86,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,86,NA,26.35,NA,12193,NA,7248,NA,86,3.1,900060,NA,Aug-Sep 1993,"Salmons, trouts, smelts",6258,NA,demersal,NA,-1,NA,-1,3.74,3.31,0,0.56,NA,NA,NA,NA,8.00E+03,NA,100229,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",283,Brook_trout_wild_female_flesh_raw,Salvelinus fontinalis,protcnt_g,16.4,finfish,52.998485,52.998485,86,86,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,86,NA,26.35,NA,12193,NA,7248,NA,86,3.1,900061,NA,Aug-Sep 1993,"Salmons, trouts, smelts",6258,NA,demersal,NA,-1,NA,-1,3.74,3.31,0,0.56,NA,NA,NA,NA,8.00E+03,NA,100229,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",284,Lake_trout_wild_female_flesh_raw,Salvelinus namaycush,protcnt_g,15,finfish,52.636704,52.636704,150,150,3.77,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),non-migratory,150,NA,50,NA,6114,NA,40637,NA,150,4.3,900059,NA,Aug-Sep 1993,"Salmons, trouts, smelts",1998,NA,benthopelagic,NA,0,NA,-1,3.77,4.29,0.51,0.61,NA,NA,NA,NA,32650,NA,40637,NA
"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44",216,Pike_perch_wild_edible_flesh_raw,Sander lucioperca,protcnt_g,20.4,finfish,35.707481,35.707481,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,100,NA,50,NA,556,NA,59043,NA,100,4.3,900369,NA,Nov,Miscellaneous freshwater fishes,6159,NA,pelagic,NA,-1,NA,-1,4.04,NA,NA,0.78,NA,NA,NA,NA,2.00E+04,NA,40476,NA
"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",1002,Pike_perch_wild_skinless_fillet_raw,Sander lucioperca,protcnt_g,18.01,finfish,53.866389,53.866389,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,100,NA,50,NA,556,NA,59043,NA,100,4.3,900066,NA,Nov,Miscellaneous freshwater fishes,6159,NA,pelagic,NA,-1,NA,-1,4.04,NA,NA,0.78,NA,NA,NA,NA,2.00E+04,NA,40476,NA
"Özyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356",1003,Pike_perch_wild_boneless_fillet_raw,Sander lucioperca,protcnt_g,18.01,finfish,36.967401,36.967401,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,100,NA,50,NA,556,NA,59043,NA,100,4.3,900084,NA,NA,Miscellaneous freshwater fishes,6159,NA,pelagic,NA,-1,NA,-1,4.04,NA,NA,0.78,NA,NA,NA,NA,2.00E+04,NA,40476,NA
"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",1004,Zander_wild_fillet_raw,Sander lucioperca,protcnt_g,18.1,finfish,38.023757,38.023757,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,100,NA,50,NA,556,NA,59043,NA,100,4.3,900149,NA,10/2/2017,Miscellaneous freshwater fishes,6159,NA,pelagic,NA,-1,NA,-1,4.04,NA,NA,0.78,NA,NA,NA,NA,2.00E+04,NA,40476,NA
"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",1005,Zander_wild_fillet_raw,Sander lucioperca,protcnt_g,18.8,finfish,36.967401,36.967401,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,100,NA,50,NA,556,NA,59043,NA,100,4.3,900148,NA,10/2/2017,Miscellaneous freshwater fishes,6159,NA,pelagic,NA,-1,NA,-1,4.04,NA,NA,0.78,NA,NA,NA,NA,2.00E+04,NA,40476,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",67,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,20.85,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900560,NA,9/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",70,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,22.44,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900559,NA,8/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",79,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,17.78,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900558,NA,7/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",82,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,20.67,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900561,NA,10/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",95,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,18.99,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900552,NA,1/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",118,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,23.57,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900556,NA,5/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",140,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,23.89,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900554,NA,3/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",191,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,20.41,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900562,NA,11/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",192,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,21.74,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900555,NA,4/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",195,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,24.5,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900557,NA,6/7/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",230,Atlantic_bonito_wild_muscle_tissue_raw,Sarda sarda,protcnt_g,19.3,finfish,41.00527,41.00527,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900551,NA,12/6/2017,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",1014,Bonito_wild_edible_part_raw,Sarda sarda,protcnt_g,19,finfish,42.163403,42.163403,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900292,NA,fall 1995-spring 1996,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",1015,Atlantic_bonito_wild_edible_flesh_raw,Sarda sarda,protcnt_g,19,finfish,39.019184,39.019184,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900458,NA,Spring,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",1016,Atlantic_bonito_wild_edible_flesh_raw,Sarda sarda,protcnt_g,25,finfish,39.019184,39.019184,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,90,NA,50,NA,168,NA,168,NA,91.05,4.2,900459,NA,Winter,"Tunas, bonitos, billfishes",168,NA,pelagic-neritic,NA,-1,NA,0,4.34,4.5,NA,0.83,NA,NA,NA,NA,1.10E+04,NA,40637,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1022,Sardine_wild_small_size_fillet_raw,Sardina pilchardus,protcnt_g,20.36,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,25,15,20,NA,188,NA,74552,NA,26.875,3.1,900208,NA,Jan,"Herrings, sardines, anchovies",188,NA,pelagic-neritic,NA,-1,NA,-1,2.79,3.06,0.1,0.23,NA,NA,NA,NA,NA,NA,NA,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1023,Sardine_wild_large_size_fillet_raw,Sardina pilchardus,protcnt_g,20.43,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,25,18,20,NA,188,NA,74552,NA,26.875,3.1,900209,NA,Jan,"Herrings, sardines, anchovies",188,NA,pelagic-neritic,NA,-1,NA,-1,2.79,3.06,0.1,0.23,NA,NA,NA,NA,NA,NA,NA,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1024,Sardine_wild_large_size_fillet_raw,Sardina pilchardus,protcnt_g,23.98,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,25,18,20,NA,188,NA,74552,NA,26.875,3.1,900211,NA,May,"Herrings, sardines, anchovies",188,NA,pelagic-neritic,NA,-1,NA,-1,2.79,3.06,0.1,0.23,NA,NA,NA,NA,NA,NA,NA,NA
