species_name,accepted_name,avg_length,length,slmax,length_source,feedingtype,foodtroph,feeding_habit,ref_info,bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season_x,season_y,herbivory2,herbivoryref,,feedingtyperef,diettroph,dietsetroph,,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,stockcode,speccode_x,speccode_y,genus,species,fbname,subfamily,demerspelag,anacat,depthrangeshallow,depthrangedeep,ltypemaxm,ltypemaxf,ltypecomm,ltypecomf,commonlength,commonlengthf,commonlengthref,weight,weightfemale,maxweightref,sp2000_hierarchycode,reference,fresh,marine,brackishwater,brack,lengthfemale,maxlengthref,notes,weight_from_study,mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,x20,vit_a_iu,k_mg,mg_mg,x32
Dosidicus gigas,,,80,400,http://www.sealifebase.org/summary/Dosidicus-gigas.html,mainly animals (troph. 2.8 and up),4.14,hunting macrofauna (predator),"Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294","Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294",fi194,1604,NA,NA,NA,NA,NA NA,mollusc,NA,12.278,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dosidicus gigas,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epinephelus spp,Epinephelus malabaricus,,100,234,http://www.fishbase.org/summary/6439,mainly animals (troph. 2.8 and up),4.16,hunting macrofauna (predator),"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",NA,NA,1855,NA,NA,NA,NA,NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,162.1,1,2.6,NA,NA,NA,22.57,NA,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,marine,wild,NA,NA,NA,379.3,NA,NA,NA
Epinephelus spp.,Epinephelus malabaricus,,100,234,http://www.fishbase.org/summary/6439,mainly animals (troph. 2.8 and up),4.16,hunting macrofauna (predator),"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",NA,NA,1894,NA,NA,NA,NA,NA,finfish,NA,NA,18.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.57,NA,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Marine water (captured),NA,NA,NA,NA,NA,NA,NA,NA
Eriocheir sinensis,,,NA,NA,,NA,NA,,"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",NA,NA,1704,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/1/2010,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriphia verrucosa,,,,8,http://www.sealifebase.org/summary/Eriphia-verrucosa.html,,,,"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",NA,NA,2015,NA,Warty crab,NA,NA,NA,crustacean,NA,NA,18.73,0.67,NA,NA,NA,NA,91.7,NA,3.3687,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aegean Sea,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fat and protein expressed in %, minerals expressed in mg/kg, and I've converted them to appropriate units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evasterias troscheli,,,,28,https://en.wikipedia.org/wiki/Evasterias_troscheli,,,,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1545,NA,NA,NA,NA,NA NA,mollusc,11.8,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Evasterias troscheli,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus brasiliensis,,,15,19.1,http://www.sealifebase.org/summary/Farfantepenaeus-brasiliensis.html,,,,"Procopia de Moura A.F., Torres R.P., Mancini - Filho J., Filho A.T. (2002). Caracterizacao da fracao lipidica de amostras comercias de camarao - rosa. Archivos Latinamericanos de Nutricion 52: 207 - 211","Procopia de Moura A.F., Torres R.P., Mancini - Filho J., Filho A.T. (2002). Caracterizacao da fracao lipidica de amostras comercias de camarao - rosa. Archivos Latinamericanos de Nutricion 52: 207 - 211",fi233,1610,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,1.13,NA,0.3269484,0.14369584,0.08637896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farfantepenaeus brasiliensis,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fenneropenaeus indicus,,,17,18.4,http://www.sealifebase.org/summary/Fenneropenaeus-indicus.html,plants/detritus+animals (troph. 2.2-2.79),3.06,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1478,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fenneropenaeus indicus,Feb,Feb,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fissurella picta,,,3.5,10,https://en.wikipedia.org/wiki/Fissurella_picta,,,,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,1725,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,27,1.51,8.11,NA,NA,NA,NA,-53.5,NA,NA,NA,NA,NA,NA,NA,9/1/2001,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliotis discus,,,10,15,https://en.wikipedia.org/wiki/Haliotis_discus,,,,"Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268","Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268",fi230,1619,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haliotis discus,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliotis rufescens,,,,26,http://www.sealifebase.org/summary/Haliotis-rufescens.html,mainly plants/detritus (troph. 2-2.19),2,browsing on substrate,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1491,NA,NA,NA,NA,NA NA,mollusc,17.1,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haliotis rufescens,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexaplex trunculus,,,,,,,,,"Zied Zarai,a∗ Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265–1270. 2011",NA,NA,1692,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,674.4,112.8,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,average,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zied Zarai,a∗ Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265–1270. 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homarus americanus,,,64,25,http://www.sealifebase.org/summary/Homarus-americanus.html,mainly animals (troph. 2.8 and up),3.7,hunting macrofauna (predator),"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867","Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",fi159,144,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,47.3,2.9,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homarus americanus,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homarus gammarus,,,,,,,,,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867","Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",fi159,149,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,45.6,2.6,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homarus gammarus,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illex coindetii,,,,32,http://www.sealifebase.org/summary/Illex-coindetii.html,mainly animals (troph. 2.8 and up),3.94,hunting macrofauna (predator),"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",NA,NA,2021,NA,broadtail shorfin squid,NA,NA,NA,mollusc,NA,NA,15.59,1.56,NA,NA,NA,NA,54.6,NA,12.3876,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aegean Sea,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fat and protein expressed in %, minerals expressed in mg/kg, and I've converted them to appropriate units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnius argentatus,Johnius belangerii,,20,30,http://www.fishbase.org/summary/5520,mainly animals (troph. 2.8 and up),3.27,hunting macrofauna (predator),"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1996,NA,Lal poa,NA,NA,NA,finfish,NA,NA,18.1,2.4,NA,NA,NA,NA,1900,2.1,1.7,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Cox's Bazar,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,marine,wild,Viscera<comma> fins<comma> scales,excluded,NA,NA,150,54,NA
Leiognathus splendens,Eubleekeria splendens,,15,17,http://www.fishbase.ca/summary/4454,plants/detritus+animals (troph. 2.2-2.79),2.94,variable,"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",NA,NA,1858,NA,NA,NA,NA,NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,330.8,2.5,2.2,NA,NA,NA,22.57,NA,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,marine,wild,NA,NA,NA,2.9,NA,NA,NA
Litopenaeus schmitti,,,,17.5,http://www.sealifebase.org/summary/Litopenaeus-schmitti.html,,,,"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",NA,NA,1686,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,0.085,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,average,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litopenaeus vannamei,,,,23,http://www.sealifebase.org/summary/Litopenaeus-vannamei.html,,,,Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,NA,NA,1680,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,9.46,9.99,24.7,1.47,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,average,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liza parsia,Chelon parsia,,15,16,http://www.fishbase.org/summary/4668,mainly plants/detritus (troph. 2-2.19),2,grazing on aquatic plants,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1999,NA,Parse,NA,NA,NA,finfish,NA,NA,16.1,14.3,1435,2.7,400,120,66,0.84,1.3,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Khulna,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,marine,wild,Bones<comma> viscera<comma> fins<comma> scales<comma> gills,excluded,NA,NA,270,23,NA
Lobatus galeatus,,,14,23,https://en.wikipedia.org/wiki/Lobatus_galeatus,,,,"Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93","Blanco Metzler A., Montero Campos M. (1992). Composicion quimico - nutricional de la carne de cambute, Strombus galeatus (Mesogastropodia: Strombidae). Rev. Biol. Trop. 40: 89 - 93",fi235,1664,NA,NA,NA,NA,NA NA,mollusc,23.7,NA,NA,0.3,NA,NA,NA,NA,315.7,2,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lobatus galeatus,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loligo duvauceli,,,,,,,,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1638,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loligo duvauceli,Mar,Mar,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loligo vulgaris,,,,,,,,,"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153","Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153",fi241,220,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,13.6,1.26,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loligo vulgaris,May-Sep,May-Sep,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrobrachium malcolmsonii,Macrobrachium macrobrachion,,,7.8,http://www.sealifebase.org/summary/Macrobrachium-macrobrachion.html,,,,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1982,NA,Najari Icha,NA,NA,NA,crustacean,NA,NA,15.7,2.2,NA,NA,NA,NA,1200,3.3,13,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Mymensingh,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,wild,Viscera<comma> shell<comma> legs<comma> tail,excluded,NA,NA,200,52,NA
Macrobrachium nipponense,,,,32,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=1203,,,,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8","Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",fi46,692,900224,Freshwater_prawn_wild_flesh_raw,NA,NA,NA NA,crustacean,NA,NA,NA,1.13,0.139094344,0.327513496,0.053603392,0.043431664,NA,NA,NA,NA,NA,NA,16.277332,16.277332,NA,NA,NA,NA,NA,Freshwater crustaceans,NA,wet season,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
