sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,Land,ASFA,Synopsis,DateSynopsis,Flag,VancouverAquarium,Sp2000_NameCode,Sp2000_HierarchyCode,Sp2000_AuthorRefNumber,E_Append,E_DateAppend,SpecCode
Leuciscus idus,Strombus,pugilis,355,"Linnaeus, 1758",fighting conch,Stpug_u3.jpg,NA,NA,NA,2066,NA,O,NA,NA,0,0,0,1,demersal,NA,355,0,55,83435,NA,NA,NA,NA,NA,NA,NA,NA,11.0,DL,NA,NA,83435,13.0,TL,NA,NA,355,NA,NA,NA,NA,NA,NA,NA,355,commercial,medium,Questionable: based on ex-vessel price for species in this genus,Consumed locally. Exploited in parts of the area.,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"Lives on sandy bottoms (Ref. 355). Development includes a long-lasting, planktotrophic stage (Ref. 355).",NA,5,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:21:00.000Z,0,NA,NA,NA,NA,0,ITS-72560,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,2801
Chondrostoma nasus,Naticarius,verae,19,"Rehder, 1947",NA,NA,NA,NA,NA,2052,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:34.000Z,0,NA,NA,NA,NA,0,ITS-72995,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,4878
Oreochromis mossambicus,Phoronis,ijimai,1,"Oka, 1897",NA,NA,NA,NA,NA,4536,NA,NA,NA,NA,0,0,0,1,benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,3,2005-10-15T00:00:00.000Z,3,2011-06-01T00:00:00.000Z,NA,NA,2015-05-11T10:20:45.000Z,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3
Sebastes ruberrimus,Spiroglyptus,rastrus,19,"(Morch, 1861)",NA,NA,NA,NA,NA,2076,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:58.000Z,0,NA,NA,NA,NA,0,ITS-71351,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,3996
Thymallus arcticus,Puperita,pupa,19,"(Linnaeus, 1767)",zebra nerite,NA,NA,NA,NA,2080,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,0,0,83435,NA,NA,NA,NA,NA,NA,NA,NA,1.3,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:20:52.000Z,0,NA,NA,NA,NA,0,ITS-70175,Animalia-Mollusca-Gastropoda-Neritopsina,NA,3,2011-08-12,2693
Pleuronectes platessa,Alvania,subsoluta,85339,"(Aradas, 1847)",NA,NA,NA,NA,NA,2063,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,5,2005-12-11T00:00:00.000Z,205,2010-11-10T00:00:00.000Z,NA,NA,2015-05-11T10:19:41.000Z,0,NA,NA,NA,NA,0,ITS-205016,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,1342
Pseudoplatystoma fasciatum,Odostomia,subdotella,19,"Hertlein & Strong, 1951",NA,NA,NA,NA,NA,1990,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:38.000Z,0,NA,NA,NA,NA,0,ITS-75507,Animalia-Mollusca-Gastropoda-Heterostropha,NA,NA,NA,6410
Parastromateus niger,Haminoea,taylorae,1667,"Petuch, 1987",NA,NA,NA,NA,NA,1973,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,5,2005-12-11T00:00:00.000Z,5,2008-05-28T00:00:00.000Z,NA,NA,2015-05-11T10:20:19.000Z,0,NA,NA,NA,NA,0,ITS-567650,Animalia-Mollusca-Gastropoda-Cephalaspidea,NA,NA,NA,1947
Catla catla,Triphora,carpenteri,19,"(Bartsch, 1907)",NA,NA,NA,NA,NA,2070,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:21:04.000Z,0,NA,NA,NA,NA,0,ITS-72199,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,4439
Hypostomus watwata,Pourtalesia,thomsoni,95072,"Mironov, 1975",NA,NA,NA,NA,NA,1664,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,3315,4321,95072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,5,2014-02-28T00:00:00.000Z,NA,NA,2015-05-11T10:20:49.000Z,0,NA,NA,NA,NA,0,ITS-158050,Animalia-Echinodermata-Echinoidea-Spatangoida,NA,NA,NA,49355
Platichthys stellatus,Amauropsis,islandica,19,"(Gmelin, 1791)",Iceland moonsnail,NA,NA,NA,NA,2052,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,9,240,83435,NA,NA,NA,NA,NA,NA,NA,NA,4.0,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"This is an epibenthic species found on reefs (Ref. 95730), and occurs on bathyal, infralittoral and circalittoral of the gulf and estuary (Ref. 87872). Sexes are separate but are seldom conspicuously different externally, simultaneous hermaphrodites yet self-fertilization is prevented due to various morphological, physiological, or behavioral mechanisms; generally, marine gastropods shed their eggs (Ref. 87872).",NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:19:41.000Z,0,NA,NA,NA,NA,0,ITS-72881,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,4249
Nemipterus japonicus,Antiplanes,beringi,19,"(Aurivillius, 1885)",NA,NA,NA,NA,NA,2019,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:19:44.000Z,0,NA,NA,NA,NA,0,ITS-74785,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,4559
Protonibea diacanthus,Aforia,kincaidi,7797,"(Dall, 1919)",NA,NA,NA,NA,NA,2019,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,3,2010-01-27T00:00:00.000Z,NA,NA,2015-05-11T10:19:40.000Z,0,NA,NA,NA,NA,0,ITS-74799,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,4571
Alosa sapidissima,Cranopsis,multistriata,19,"(Dall, 1914)",many-rib puncturella,NA,NA,NA,NA,1937,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,8,2007-04-05T00:00:00.000Z,NA,NA,2015-05-11T10:20:03.000Z,0,NA,NA,NA,NA,0,ITS-567419,Animalia-Mollusca-Gastropoda-Archaeogastropoda,NA,NA,NA,1584
Pleurogrammus monopterygius,Caecum,gurgulio,19,"Carpenter, 1858",windpipe caecum,NA,NA,NA,NA,2031,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,0,0,83435,NA,NA,NA,NA,NA,NA,NA,NA,0.2,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:19:54.000Z,0,NA,NA,NA,NA,0,ITS-71493,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,4037
Sebastes caurinus,Vermicularia,spirata,19,"(Philippi, 1836)",West Indian wormsnail,NA,NA,NA,NA,2073,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,3,80,83435,NA,NA,NA,NA,NA,NA,NA,NA,9.0,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:21:07.000Z,0,NA,NA,NA,NA,0,ITS-71302,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,3957
Muraenesox bagio,Busycon,pulleyi,19,"Hollister, 1958",prickly whelk,NA,NA,NA,NA,2009,NA,O,NA,"Treated as a synonym of <i>Busycon perversum sinistrum </i> by Wise et al. (2004), but their allozyme data do not support this conclusion (Ref. 83435).",0,0,0,1,demersal,NA,NA,0,0,83435,NA,NA,NA,NA,NA,NA,NA,NA,20.0,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium,Questionable: based on ex-vessel price for species in this genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:19:53.000Z,0,NA,NA,NA,NA,0,ITS-74094,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,3,2011-08-12,5514
Pollachius virens,Alvania,semistriata,2754,"(Montagu, 1808)",NA,NA,NA,NA,NA,2063,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,200,2754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"Collected from the sublittoral zone, from low tide up to a depth of 200 m (Ref. 2754). Occurs at the low tide mark (Ref. 2754).",NA,11,2005-12-11T00:00:00.000Z,11,2007-02-16T00:00:00.000Z,NA,NA,2015-05-11T10:19:41.000Z,0,NA,NA,NA,NA,0,ITS-205017,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,NA,NA,1343
Prochilodus reticulatus,Mohnia,hispidulus,19,"(Verrill, 1884)",NA,NA,NA,NA,NA,1998,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:32.000Z,0,NA,NA,NA,NA,0,ITS-73969,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,5491
Cyclopterus lumpus,Victaphanta,compacta,19,"(Cox & Hedley, 1912)",NA,NA,NA,NA,NA,2152,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:21:07.000Z,0,NA,NA,NA,NA,0,AFD-Pul-1017,Animalia-Mollusca-Gastropoda-Pulmonata,AFD-Pul-0041,NA,NA,62
Brama japonica,Teinostoma,pilsbryi,19,"Mcginty, 1945",NA,NA,NA,NA,NA,2077,NA,O,NA,NA,0,0,0,1,NA,NA,NA,0,91,83435,NA,NA,NA,NA,NA,NA,NA,NA,0.34,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:21:01.000Z,0,NA,NA,NA,NA,0,ITS-71136,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,3555
Gadus morhua,Hedleyella,maconelli,19,"(Reeve, 1853)",NA,NA,NA,NA,NA,2142,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:20.000Z,0,NA,NA,NA,NA,0,AFD-Pul-1054,Animalia-Mollusca-Gastropoda-Pulmonata,AFD-Pul-0152,NA,NA,69
Patagonotothen ramsayi,Carpias,galloprovincalis,3113,"(Amar, 1950)",NA,NA,NA,NA,NA,551,NA,O,NA,NA,0,0,0,0,NA,NA,NA,0,NA,3113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2005-12-11T00:00:00.000Z,4,2008-06-12T00:00:00.000Z,NA,NA,2015-05-11T10:19:55.000Z,0,NA,NA,NA,NA,0,ITS-543519,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,10308
Melanogrammus aeglefinus,Adalaria,loveni,3477,"(Adler & Hancock, 1862)",NA,NA,NA,NA,NA,2122,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,5,2005-12-11T00:00:00.000Z,5,2008-05-28T00:00:00.000Z,NA,NA,2015-05-11T10:19:39.000Z,0,NA,NA,NA,NA,0,ITS-205257,Animalia-Mollusca-Gastropoda-Nudibranchia,NA,NA,NA,1381
Liza aurata,Clathurella,eversoni,7797,"Tippett, 1995",NA,NA,NA,NA,NA,2001,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,29,2005-12-11T00:00:00.000Z,NA,2008-05-29T00:00:00.000Z,NA,NA,2015-05-11T10:20:00.000Z,0,NA,NA,NA,NA,0,ITS-567373,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,1735
Anarhichas lupus,Colus,verkruezeni,19,"(Kobelt, 1876)",NA,NA,NA,NA,NA,1998,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,300,300,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,3,2011-08-12T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:20:01.000Z,0,NA,NA,NA,NA,0,ITS-656335,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,3,2011-08-12,2501
Tachysurus fulvidraco,Heteropsyllus,pseudonunni,19,"Coull & Palmer, 1980",NA,NA,NA,NA,NA,715,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:21.000Z,0,NA,NA,NA,NA,0,ITS-667925,Animalia-Arthropoda-Maxillopoda-Harpacticoida,NA,NA,NA,28052
Leptomelanosoma indicum,Aclis,pyramida,19,"Dall, 1927",NA,NA,NA,NA,NA,2022,NA,O,NA,NA,0,0,0,1,demersal,NA,NA,538,538,83435,NA,NA,NA,NA,NA,NA,NA,NA,0.2,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:19:39.000Z,0,NA,NA,NA,NA,0,ITS-72419,Animalia-Mollusca-Gastropoda-Neotaenioglossa,NA,3,2011-08-12,4469
Cirrhinus cirrhosus,Anachis,diminuta,19,"(Adams, 1852)",NA,NA,NA,NA,NA,2000,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:19:42.000Z,0,NA,NA,NA,NA,0,ITS-73644,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,4494
Albatrossia pectoralis,Aplysia,dactylomela,844,"Rang, 1828",black spotted seahare,Apdac_u0.jpg,NA,NA,NA,1931,NA,O,NA,NA,0,0,0,1,benthic,NA,844,0,20,7727,NA,NA,NA,NA,NA,NA,NA,30.0,40.0,TL,NA,NA,844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"Assumed maximum length from Ref.  844. Common on tidal platforms of mixed sand and rock; actively crawling in tide pools at night and in crevices and under rocks during the day (Ref. 866).  Grazes on various types of green algae (Ref. 844).  Found in warm seas (Ref.  822).  Known from depths of 0 to 20 m (Ref. 7727); from low intertidal to immediate subtidal on alga-covered reefs (Ref. 337).  Ejecting ink as a predator deterrence and to send alarm signals to conspecifics, but not all spotted sea hares have ink (Ref. 84419).  Ink components are based on the chemical properties of their diet (Ref. 84420).",NA,5,2005-12-11T00:00:00.000Z,5,2008-05-28T00:00:00.000Z,NA,NA,2015-05-11T10:19:45.000Z,0,NA,NA,NA,NA,0,ITS-78035,Animalia-Mollusca-Gastropoda-Anaspidea,NA,NA,NA,8435
Alectis alexandrina,Cyclothyca,pacei,19,"Petuch, 1987",NA,NA,NA,NA,NA,1984,NA,O,NA,NA,0,0,0,0,demersal,NA,NA,1,1,83435,NA,NA,NA,NA,NA,NA,NA,NA,0.9,DL,NA,NA,83435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,11,2012-11-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,2015-05-11T10:20:05.000Z,0,NA,NA,NA,NA,0,ITS-567456,Animalia-Mollusca-Gastropoda-Heterostropha,NA,3,2011-08-12,1888
Alepocephalus agassizii,Chydorus,biovatus,19,"Frey, 1985",NA,NA,NA,NA,NA,260,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:19:59.000Z,0,NA,NA,NA,NA,0,ITS-84015,Animalia-Arthropoda-Branchiopoda-Diplostraca,NA,NA,NA,9171
