ref_info,seanuts_id2,notes,food_name_clean,species_name,length_from_study,weight_from_study,length_source,season,country_region,abs_lat,Mar_fresh,wild_farmed,subgroup,body_parts_included_excluded,included_excluded,protein_g,fat_g,X20,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,vit_a_IU,K_mg,mg_mg,tl,X32,latitude,slmax,isscaap_cat
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1903,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Leiognathus splendens,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,17.2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1904,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Macrobrachium rosenbergii,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,crustacean,NA,NA,16.9,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1905,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Mugil cephalus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish water (captured),NA,finfish,NA,NA,20.0,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1906,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Nemipterus japonicus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,15.4,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1907,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Neolissochilus hexagonolepis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),NA,finfish,NA,NA,18.2,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1908,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Oncorhynchus mykiss,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),NA,finfish,NA,NA,17.9,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1909,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Penaeus monodon,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish water (captured),NA,crustacean,NA,NA,19.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1910,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Perna viridis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,mollusc,NA,NA,11.0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1911,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Puntius sophore,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,16.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1912,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Rastrelliger kanagurta,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,19.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1913,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Rita rita,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,19.5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1914,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Sardinella longiceps,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,17.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1915,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Schizothorax richardsonii,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),NA,finfish,NA,NA,16.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1916,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Sperata seenghala,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,19.0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1917,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Stolephorus commersonii,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,16.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1918,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Stolephorus waitei,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,20.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1919,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Tenualosa ilisha,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,20.7,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1920,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Thunnus albacares,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,23.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1921,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Tor putitora,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),NA,finfish,NA,NA,17.9,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1922,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Trichiurus lepturus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),NA,finfish,NA,NA,17.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1923,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Xenentodon cancila,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),NA,finfish,NA,NA,15.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1924,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Ailia coila,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,180.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1925,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Amblypharyngodon mola,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,94.6,133.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1926,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Cyprinus carpio,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,152.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1927,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Crassostrea madrasensis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,mollusc,NA,NA,NA,NA,NA,NA,NA,377.9,383.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1928,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Epinephelus spp.,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,47.8,107.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1929,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Etroplus suratensis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish,NA,finfish,NA,NA,NA,NA,NA,NA,NA,115.3,186.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1930,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Fenneropenaeus indicus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish,NA,crustacean,NA,NA,NA,NA,NA,NA,NA,84.5,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1931,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Gudusia chapra,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,342.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1932,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Katsuwonus pelamis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,104.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1933,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Lates calcarifer,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish,NA,finfish,NA,NA,NA,NA,NA,NA,NA,155.2,127.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1934,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Leiognathus splendens,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,224.5,226.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1935,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Neolissochilus hexagonolepis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,301.8,210.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1936,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Oncorhynchus mykiss,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,81.5,224.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1937,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Penaeus monodon,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Brackish,NA,crustacean,NA,NA,NA,NA,NA,NA,NA,108.5,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1938,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Perna viridis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,mollusc,NA,NA,NA,NA,NA,NA,NA,169.9,158.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1939,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Puntius sophore,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,303.8,161.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1940,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Schizothorax richardsonii,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,235.8,93.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1941,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Sardinella longiceps,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,937.9,534.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1942,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Sperata seenghala,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,35.2,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1943,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Tenualosa ilisha,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,304.5,934.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1944,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Tor putitora,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,201.9,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1945,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Trichiurus lepturus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Marine,NA,finfish,NA,NA,NA,NA,NA,NA,NA,203.1,567.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1946,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Xenentodon cancila,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,Freshwater,NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1947,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Baim,Mastacembelus armatus,NA,NA,NA,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Bones<comma> viscera<comma> fins<comma> skin<comma> dorsal spine<comma> snout,excluded,17.9,1.7,NA,NA,NA,NA,NA,NA,NA,NA,27.0,NA,NA,NA,NA,NA,NA,NA
