ref_info,updated_ref_info,seanuts_id2,species_name,nutrient,concentration,country_region,latitude_details,latitude,longitude,weight_from_study_g,length_from_study,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,211,Colossoma macropomum,protcnt_g,21.43,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,ca_mg,79.33,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,dha,0.49839699,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,epa,0.22455249,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,fapun_all_g,0.87995366,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,fapun3,0.77771838,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,fat_g,2.11,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,fe_mg,1.6,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,69,Cynoscion acoupa,protcnt_g,20.73,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,ca_mg,69,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,dha,0.16665948,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,epa,0.04415764,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,fapun_all_g,0.2350326,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,fapun3,0.2350326,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,fat_g,1.68,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,fe_mg,0.9,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,87,Epinephelus striatus,protcnt_g,19.73,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,ca_mg,10.78,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,dha,0.23079264,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,epa,0.10577996,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,fapun_all_g,1.22127772,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,fapun3,0.65150839,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,fat_g,2.73,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,fe_mg,1.2,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,247,Eugerres plumieri,protcnt_g,20.48,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,ca_mg,19.66,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,epa,0.02882737,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,fapun_all_g,0.54772003,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,fapun3,0.35701589,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,fat_g,2.53,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,fe_mg,0.9,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,198,Hypostomus watwata,protcnt_g,25.53,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,ca_mg,17.66,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,dha,0.21015668,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,epa,0.05050976,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,fapun_all_g,0.3066664,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,fapun3,0.29584288,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,fat_g,1.12,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,fe_mg,1.26,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,206,Lutjanus buccanella,protcnt_g,20.99,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,185,Merluccius albidus,ca_mg,23,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,185,Merluccius albidus,fapun_all_g,0.28924116,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,185,Merluccius albidus,fapun3,0.28924116,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,185,Merluccius albidus,fat_g,1.82,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,185,Merluccius albidus,fe_mg,1.3,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,185,Merluccius albidus,protcnt_g,18.7,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,ca_mg,75,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,dha,0.14255774,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,epa,0.23576857,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,fapun_all_g,0.80051654,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,fapun3,0.72923767,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,fat_g,6.03,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,fe_mg,1.5,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,74,Mugil curema,protcnt_g,21.17,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,ca_mg,71.33,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,dha,0.231196,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,epa,0.02513,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,fapun_all_g,0.414645,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,fapun3,0.256326,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,fat_g,1.5,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,fe_mg,1.45,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,78,Oncorhynchus mykiss,protcnt_g,20.86,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,ca_mg,41,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,dha,0.098279,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,epa,0.10614132,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,fapun_all_g,1.58032632,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,fapun3,0.6486414,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,fat_g,2.26,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,fe_mg,1.76,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,156,Oreochromis niloticus,protcnt_g,23.34,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,ca_mg,10,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,epa,0.14112075,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,fapun_all_g,0.55695656,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,fapun3,0.39137488,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,fat_g,2.17,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,fe_mg,1.2,Maracaibo,,10.654451,-71.714795,,,
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",,255,Prochilodus reticulatus,protcnt_g,22.82,Maracaibo,,10.654451,-71.714795,,,
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",,1360,Brycon cephalus,fat_g,3.37,"Pontal do Peba, município de Piaçabuçu (Alagoas",,-10.354313,-36.293839,,,
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",,1360,Brycon cephalus,prot_g,20.07,"Pontal do Peba, município de Piaçabuçu (Alagoas",,-10.354313,-36.293839,,,
Dincer T. (2006). Differences of Turkish clam (Ruditapes decussates) and Manila clam (Ruditapes philippinarum) according to their proximate composition and heavy metal contents. Journal of Shellfish Research 25: 455 - 459.,,1626,Ruditapes philippinarum,fat_g,0.98,"Venice, Italy",,45.440847,12.315515,,,
Dincer T. (2006). Differences of Turkish clam (Ruditapes decussates) and Manila clam (Ruditapes philippinarum) according to their proximate composition and heavy metal contents. Journal of Shellfish Research 25: 455 - 459.,,1626,Ruditapes philippinarum,protcnt_g,9.56,"Venice, Italy",,45.440847,12.315515,,,
"Erkan N., Selçuk A., Özden Ö. (2010) Amino acid and vitamin composition of raw and cooked horse mackerel. Food Anal Methods 3: 269-275",,1273,Trachurus trachurus,fat_g,14.46,Horse mackerel (Trachurus trachurus) was chosen and purchased from the Istanbul local fish market during 2008,,41.008238,28.978359,,,
"Erkan N., Selçuk A., Özden Ö. (2010) Amino acid and vitamin composition of raw and cooked horse mackerel. Food Anal Methods 3: 269-275",,1273,Trachurus trachurus,protcnt_g,18.55,Horse mackerel (Trachurus trachurus) was chosen and purchased from the Istanbul local fish market during 2009,,41.008238,28.978359,,,
