Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,data_source_title,score,realm
Pleurogrammus monopterygius,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,boreal,fusiform / normal,demersal,720,56.5,Pleurogrammus monopterygius,Pleurogrammus monopterygius,FishBase,0.988,marine
Pleuronectes platessa,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.23,temperate,short and / or deep,demersal,200,100,Pleuronectes platessa,Pleuronectes platessa,FishBase,0.988,brackmarine
Pogonias cromis,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.78,subtropical,fusiform / normal,demersal,NA,170,Pogonias cromis,Pogonias cromis,FishBase,0.988,brackmarine
Pollachius virens,4.4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.61,temperate,fusiform / normal,demersal,364,130,Pollachius virens,Pollachius virens,FishBase,0.988,marine
Polyprion oxygeneios,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.45,subtropical,fusiform / normal,demersal,854,160,Polyprion oxygeneios,Polyprion oxygeneios,FishBase,0.988,marine
Pomatomus saltatrix,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,subtropical,fusiform / normal,pelagic-oceanic,200,130,Pomatomus saltatrix,Pomatomus saltatrix,FishBase,0.988,brackmarine
Pseudoplatystoma fasciatum,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.38,tropical,fusiform / normal,demersal,NA,104.5,Pseudoplatystoma fasciatum,Pseudoplatystoma fasciatum,FishBase,0.988,fresh
Pungitius pungitius,0.7666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.35,temperate,elongated,benthopelagic,110,9,Pungitius pungitius,Pungitius pungitius,FishBase,0.988,freshbrackmarine
Reinhardtius hippoglossoides,9,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.09,boreal,fusiform / normal,benthopelagic,2200,110,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,FishBase,0.988,marine
Rhizoprionodon terraenovae,2.1333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,demersal,280,110,Rhizoprionodon terraenovae,Rhizoprionodon terraenovae,FishBase,0.988,brackmarine
Rutilus frisii,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.3,temperate,fusiform / normal,benthopelagic,NA,70,Rutilus frisii,Rutilus frisii,FishBase,0.988,freshbrack
Rutilus rutilus,2.7142857142857144,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.87,subtropical,fusiform / normal,benthopelagic,NA,50.2,Rutilus rutilus,Rutilus rutilus,FishBase,0.988,freshbrack
Salmo salar,2.15,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.76,temperate,fusiform / normal,benthopelagic,210,150,Salmo salar,Salmo salar,FishBase,0.988,freshbrackmarine
Salmo trutta,2.491304347826087,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.532500016689301,temperate,fusiform / normal,pelagic-neritic,28,140,Salmo trutta,Salmo trutta,FishBase,0.988,freshbrackmarine
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,Salvelinus alpinus,Salvelinus alpinus,FishBase,0.988,freshbrackmarine
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,Salvelinus alpinus [naresi],Salvelinus alpinus [naresi],FishBase,0.988,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,Salvelinus fontinalis,Salvelinus fontinalis,FishBase,0.988,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),filtering plankton,3.4,temperate,fusiform / normal,benthopelagic,200,127,Salvelinus malma,Salvelinus malma,FishBase,0.988,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.539999961853028,temperate,fusiform / normal,benthopelagic,200,127,Salvelinus malma,Salvelinus malma,FishBase,0.988,freshbrackmarine
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,Salvelinus namaycush,Salvelinus namaycush,FishBase,0.988,fresh
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,Sander lucioperca,Sander lucioperca,FishBase,0.988,freshbrack
Sander vitreus,2.9633333333333334,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.16,subtropical,elongated,demersal,27,107,Sander vitreus,Sander vitreus,FishBase,0.988,freshbrack
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,Sardinella aurita,Sardinella aurita,FishBase,0.988,brackmarine
Sardinops sagax,1,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,2.61,subtropical,fusiform / normal,pelagic-neritic,200,39.5,Sardinops sagax,Sardinops sagax,FishBase,0.988,marine
Scardinius erythrophthalmus,4,mainly animals (troph. 2.8 and up),variable,2.89,temperate,fusiform / normal,benthopelagic,NA,NA,Scardinius erythrophthalmus,Scardinius erythrophthalmus,FishBase,0.988,freshbrack
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,Scomber japonicus,Scomber japonicus,FishBase,0.988,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,Somber japonicus,Somber japonicus,FishBase,0.75,marine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,Scomber scombrus,Scomber scombrus,FishBase,0.988,brackmarine
Scomberomorus commerson,1.8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.380000114440918,tropical,fusiform / normal,pelagic-neritic,70,240,Scomberomorus commerson,Scomberomorus commerson,FishBase,0.988,marine
Scophthalmus rhombus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.22,temperate,short and / or deep,demersal,50,75,Scophthalmus rhombus,Scophthalmus rhombus,FishBase,0.988,marine
Scorpaena porcus,1.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.78,temperate,fusiform / normal,demersal,800,40.5,Scorpaena porcus,Scorpaena porcus,FishBase,0.988,marine
Sebastes alutus,8.14,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,deep-water,fusiform / normal,bathydemersal,825,53,Sebastes alutus,Sebastes alutus,FishBase,0.988,marine
Sebastes crameri,3,NA,NA,NA,temperate,fusiform / normal,bathydemersal,600,58,Sebastes crameri,Sebastes crameri,FishBase,0.988,marine
Sebastes elongatus,5,NA,NA,NA,temperate,fusiform / normal,demersal,425,39,Sebastes elongatus,Sebastes elongatus,FishBase,0.988,marine
Sebastes entomelas,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,549,60,Sebastes entomelas,Sebastes entomelas,FishBase,0.988,marine
Sebastes flavidus,6.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.51,temperate,fusiform / normal,reef-associated,549,66,Sebastes flavidus,Sebastes flavidus,FishBase,0.988,marine
Sebastes goodei,2.5,mainly animals (troph. 2.8 and up),variable,3.46,temperate,fusiform / normal,demersal,425,56,Sebastes goodei,Sebastes goodei,FishBase,0.988,brackmarine
Sebastes melanops,6.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,temperate,fusiform / normal,reef-associated,366,63,Sebastes melanops,Sebastes melanops,FishBase,0.988,marine
Sebastes mentella,11,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathypelagic,1441,77.5,Sebastes mentella,Sebastes mentella,FishBase,0.988,marine
Sebastes norvegicus,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic-oceanic,1000,100,Sebastes norvegicus,Sebastes norvegicus,FishBase,0.988,marine
Sebastes paucispinis,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.51,subtropical,fusiform / normal,reef-associated,476,91,Sebastes paucispinis,Sebastes paucispinis,FishBase,0.988,marine
Sebastes pinniger,4.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.8,subtropical,fusiform / normal,demersal,838,76,Sebastes pinniger,Sebastes pinniger,FishBase,0.988,marine
Sebastes rosaceus,4,NA,NA,NA,subtropical,fusiform / normal,demersal,128,36,Sebastes rosaceus,Sebastes rosaceus,FishBase,0.988,marine
Sebastes ruberrimus,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.99,subtropical,fusiform / normal,reef-associated,549,104,Sebastes ruberrimus,Sebastes ruberrimus,FishBase,0.988,marine
Sebastes viviparus,20,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.03,temperate,short and / or deep,demersal,300,66.5,Sebastes viviparus,Sebastes viviparus,FishBase,0.988,marine
Sillago sihama,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.18,tropical,elongated,reef-associated,60,31,Sillago sihama,Sillago sihama,FishBase,0.988,brackmarine
Silurus glanis,2.8333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,temperate,elongated,benthopelagic,30,500,Silurus glanis,Silurus glanis,FishBase,0.988,freshbrack
Solea solea,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.299999952316284,subtropical,short and / or deep,demersal,150,70,Solea solea,Solea solea,FishBase,0.988,brackmarine
Sparus aurata,1.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,subtropical,fusiform / normal,demersal,150,70,Sparus aurata,Sparus aurata,FishBase,0.988,brackmarine
Spondyliosoma cantharus,2,mainly animals (troph. 2.8 and up),variable,3.27,subtropical,fusiform / normal,benthopelagic,300,60,Spondyliosoma cantharus,Spondyliosoma cantharus,FishBase,0.988,marine
Sprattus sprattus,1.5,mainly animals (troph. 2.8 and up),selective plankton feeding,NA,temperate,fusiform / normal,pelagic-neritic,150,16,Sprattus sprattus,Sprattus sprattus,FishBase,0.988,brackmarine
Squalus acanthias,8.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,temperate,elongated,benthopelagic,1460,95,Squalus acanthias,Squalus acanthias,FishBase,0.988,brackmarine
Stenodus leucichthys,7.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.15,boreal,fusiform / normal,demersal,NA,150,Stenodus leucichthys,Stenodus leucichthys,FishBase,0.988,freshbrackmarine
Stenodus leucichthys,7.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.15,boreal,fusiform / normal,demersal,NA,150,Stenodus leucichtys,Stenodus leucichtys,FishBase,0.75,freshbrackmarine
Thaleichthys pacificus,3,mainly animals (troph. 2.8 and up),filtering plankton,3.25,temperate,elongated,pelagic-neritic,300,34,Thaleichthys pacificus,Thaleichthys pacificus,FishBase,0.988,freshbrackmarine
Thunnus alalunga,4.666666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.3,subtropical,fusiform / normal,pelagic-oceanic,600,140,Thunnus alalunga,Thunnus alalunga,FishBase,0.988,marine
Thunnus orientalis,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),NA,subtropical,fusiform / normal,pelagic-oceanic,550,300,Thunnus orientalis,Thunnus orientalis,FishBase,0.988,brackmarine
Thunnus thynnus,5.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.21,subtropical,fusiform / normal,pelagic-oceanic,985,458,Thunnus thynnus,Thunnus thynnus,FishBase,0.988,brackmarine
Thymallus arcticus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.32,temperate,fusiform / normal,benthopelagic,NA,76,Thymallus arcticus,Thymallus arcticus,FishBase,0.988,fresh
Tinca tinca,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27,temperate,fusiform / normal,demersal,NA,70,tinca tinca,Tinca tinca,FishBase,0.988,freshbrack
Trachurus trachurus,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.18,subtropical,fusiform / normal,pelagic-neritic,1050,70,Trachurus trachurus,Trachurus trachurus,FishBase,0.988,marine
Trichiurus lepturus,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.2,subtropical,eel-like,benthopelagic,589,234,Trichiurus lepturus,Trichiurus lepturus,FishBase,0.988,brackmarine
Trisopterus minutus,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.67,temperate,fusiform / normal,benthopelagic,440,40,Trisopterus minutus,Trisopterus minutus,FishBase,0.988,marine
Xiphias gladius,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,elongated,pelagic-oceanic,2878,455,Xiphias gladius,Xiphias gladius,FishBase,0.988,marine
Zeus faber,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.239999771118164,temperate,short and / or deep,benthopelagic,400,90,Zeus faber,Zeus faber,FishBase,0.988,brackmarine
Ailia coila,NA,NA,NA,NA,tropical,elongated,pelagic,NA,30,Ailia coila,Ailia coila,FishBase,0.988,freshbrack
Alepocephalus bairdii,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.69,deep-water,elongated,bathydemersal,1700,100,Alepocephalus bairdii,Alepocephalus bairdii,FishBase,0.988,marine
Aluterus monoceros,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.49,subtropical,short and / or deep,reef-associated,80,76.2,Aluterus monoceros,Aluterus monoceros,FishBase,0.988,marine
Amblypharyngodon mola,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,20,Amblypharyngodon mola,Amblypharyngodon mola,FishBase,0.988,fresh
Anabas testudineus,NA,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),2.76,tropical,fusiform / normal,demersal,NA,25,Anabas testudineus,Anabas testudineus,FishBase,0.988,freshbrack
Anchoa hepsetus,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.25,subtropical,elongated,pelagic-neritic,70,15.3,Anchoa hepsetus,Anchoa hepsetus,FishBase,0.988,brackmarine
Anguilla bicolor,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.55,tropical,eel-like,demersal,NA,123,Anguilla bicolor,Anguilla bicolor,FishBase,0.988,freshbrackmarine
Anguilla japonica,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.55,subtropical,eel-like,demersal,400,150,Anguilla japonica,Anguilla japonica,FishBase,0.988,freshbrackmarine
Aplodinotus grunniens,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,subtropical,fusiform / normal,demersal,NA,95,Aplodinotus grunniens,Aplodinotus grunniens,FishBase,0.988,fresh
Ariomma bondi,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.5,subtropical,fusiform / normal,demersal,500,30,Ariomma bondi,Ariomma bondi,FishBase,0.988,marine
Atrobucca nibe,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.96,deep-water,fusiform / normal,demersal,200,45,Atrobucca nibe,Atrobucca nibe,FishBase,0.988,marine
Auxis thazard,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,Auxis thazard,Auxis thazard,FishBase,0.988,marine
Barbonymus gonionotus,NA,plants/detritus+animals (troph. 2.2-2.79),grazing on aquatic plants,2.3599998950958248,tropical,fusiform / normal,benthopelagic,NA,40.5,Barbonymus goniontus,Barbonymus goniontus,FishBase,0.75,fresh
Boops boops,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.11,subtropical,fusiform / normal,demersal,350,40,Boops boops,Boops boops,FishBase,0.988,marine
Bothus podas,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.369999885559082,subtropical,short and / or deep,demersal,400,45,Bothus podus,Bothus podus,FishBase,0.75,marine
Botia dario,NA,NA,NA,NA,tropical,fusiform / normal,demersal,NA,15.1,Botia dario,Botia dario,FishBase,0.988,fresh
Brama japonica,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,subtropical,short and / or deep,pelagic-oceanic,620,61,Brama japonica,Brama japonica,FishBase,0.988,marine
Brevoortia aurea,NA,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.75,subtropical,fusiform / normal,pelagic-neritic,NA,34.4,Brevoortia aurea,Brevoortia aurea,FishBase,0.988,marine
Brycon orbignyanus,NA,plants/detritus+animals (troph. 2.2-2.79),NA,NA,tropical,fusiform / normal,benthopelagic,NA,79.5,Brycon orbignyanus,Brycon orbignyanus,FishBase,0.988,fresh
Caranx crysos,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.63,subtropical,fusiform / normal,reef-associated,100,70,Caranx crysos,Caranx crysos,FishBase,0.988,brackmarine
Centrophorus squamosus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,temperate,elongated,bathydemersal,2400,164,Centrophorus squamosus,Centrophorus squamosus,FishBase,0.988,marine
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,Centropristis striata,Centropristis striata,FishBase,0.988,marine
Centroscyllium fabricii,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.13,deep-water,elongated,bathydemersal,NA,107,Centroscyllium fabricii,Centroscyllium fabricii,FishBase,0.988,marine
Centroscymnus coelolepis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.19,temperate,elongated,bathydemersal,3700,120,Centroscymnus coelolepis,Centroscymnus coelolepis,FishBase,0.988,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,Cephalopholis taeniops,Cephalopholis taeniops,FishBase,0.988,marine
Chaenocephalus aceratus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.96,polar,elongated,demersal,770,72,Chaenocephalus aceratus,Chaenocephalus aceratus,FishBase,0.988,marine
Chanda nama,NA,mainly animals (troph. 2.8 and up),NA,3.59,tropical,short and / or deep,benthopelagic,NA,11,Chanda nama,Chanda nama,FishBase,0.988,freshbrack
Channa marulius,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,tropical,elongated,benthopelagic,NA,183,Channa marulius,Channa marulius,FishBase,0.988,fresh
Channa micropeltes,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.85,tropical,elongated,benthopelagic,NA,130,Channa micropeltes,Channa micropeltes,FishBase,0.988,fresh
Channa punctata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,tropical,elongated,benthopelagic,NA,31,Channa punctata,Channa punctata,FishBase,0.988,freshbrack
Chela cachius,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,9.6,Chela cachius,Chela cachius,FishBase,0.988,freshbrack
Chelidonichthys lucerna,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,elongated,demersal,318,75.1,Chelidonichthyus lucernus,Chelidonichthyus lucernus,FishBase,0.75,marine
Chelidonichthys lucerna,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,elongated,demersal,318,75.1,Chelidonichthys lucerna,Chelidonichthys lucerna,FishBase,0.988,marine
Chirocentrus dorab,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,elongated,reef-associated,120,100,Chirocentrus dorab,Chirocentrus dorab,FishBase,0.988,brackmarine
Clarias batrachus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,tropical,elongated,demersal,NA,47,Clarias batrachus,Clarias batrachus,FishBase,0.988,freshbrack
Clarias macrocephalus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,tropical,elongated,benthopelagic,NA,120,Clarias macrocephalus,Clarias macrocephalus,FishBase,0.988,freshbrack
Clupeoides borneensis,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.1,tropical,fusiform / normal,pelagic,NA,8,Clupeoides borneensis,Clupeoides borneensis,FishBase,0.988,freshbrack
Coregonus artedi,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.35,temperate,elongated,pelagic-neritic,NA,57,Coregonus artedi,Coregonus artedi,FishBase,0.988,freshbrackmarine
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,Coregonus clupeaformis,Coregonus clupeaformis,FishBase,0.988,freshbrack
Coregonus macrophthalmus,NA,NA,NA,3.3,temperate,fusiform / normal,pelagic,NA,30,Coregonus macrophthalmus,Coregonus macrophthalmus,FishBase,0.988,fresh
Corica soborna,NA,NA,NA,NA,tropical,fusiform / normal,pelagic-neritic,NA,5.3,Corica soborna,Corica soborna,FishBase,0.988,freshbrackmarine
Cyclocheilichthys apogon,NA,plants/detritus+animals (troph. 2.2-2.79),NA,3.1,tropical,fusiform / normal,benthopelagic,NA,28.7,Cyclocheilichthys apogon,Cyclocheilichthys apogon,FishBase,0.988,fresh
Cynoscion arenarius,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),NA,subtropical,fusiform / normal,demersal,NA,63.5,Cynoscion arenarius,Cynoscion arenarius,FishBase,0.988,brackmarine
Cynoscion jamaicensis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,subtropical,fusiform / normal,demersal,70,50,Cynoscion jamaicensis,Cynoscion jamaicensis,FishBase,0.988,brackmarine
Cynoscion nothus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),NA,subtropical,fusiform / normal,demersal,18,36,Cynoscion nothus,Cynoscion nothus,FishBase,0.988,brackmarine
Danio dangila,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,15,Danio dangila,Danio dangila,FishBase,0.988,fresh
Dentex maroccanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.85,subtropical,fusiform / normal,demersal,500,45,Dentex maroccanus,Dentex maroccanus,FishBase,0.988,marine
Diplodus puntazzo,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.07,subtropical,fusiform / normal,benthopelagic,150,60,Diplodus puntazzo,Diplodus puntazzo,FishBase,0.988,brackmarine
Diplodus vulgaris,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,subtropical,fusiform / normal,benthopelagic,160,45,Diplodus vulgaris,Diplodus vulgaris,FishBase,0.988,marine
Echelus myrus,NA,NA,NA,NA,subtropical,eel-like,demersal,550,100,Echelus myrus,Echelus myrus,FishBase,0.988,brackmarine
Eleotris fusca,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,tropical,elongated,demersal,5,26,Eleotris fusca,Eleotris fusca,FishBase,0.988,freshbrackmarine
Eleutheronema tetradactylum,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.11,tropical,elongated,pelagic-neritic,23,200,Eleutheronema tetradactylum,Eleutheronema tetradactylum,FishBase,0.988,freshbrackmarine
Elops saurus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.11,subtropical,elongated,reef-associated,50,100,Elops saurus,Elops saurus,FishBase,0.988,brackmarine
Epinephelus sexfasciatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),NA,tropical,fusiform / normal,reef-associated,80,40,Epinephelus sexfasciatus,Epinephelus sexfasciatus,FishBase,0.988,marine
Etmopterus princeps,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),NA,deep-water,elongated,bathydemersal,2213,75,Etmopterus princeps,Etmopterus princeps,FishBase,0.988,marine
Euthynnus alletteratus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.98,tropical,fusiform / normal,reef-associated,150,122,Euthynnus alletteratus,Euthynnus alletteratus,FishBase,0.988,brackmarine
Gasterochisma melampus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.35,subtropical,fusiform / normal,pelagic-oceanic,NA,164,Gasterochisma melampus,Gasterochisma melampus,FishBase,0.988,marine
Glossogobius giuris,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,tropical,fusiform / normal,benthopelagic,5,50,Glossogobius giuris,Glossogobius giuris,FishBase,0.988,freshbrackmarine
Glossogobius giuris,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,tropical,fusiform / normal,benthopelagic,5,50,Glossogobius giurias,Glossogobius giurias,FishBase,0.75,freshbrackmarine
Gudusia chapra,NA,NA,NA,NA,subtropical,fusiform / normal,pelagic,NA,20,Gudusia chapra,Gudusia chapra,FishBase,0.988,freshbrack
Harpadon nehereus,NA,mainly animals (troph. 2.8 and up),NA,4.2,tropical,elongated,benthopelagic,NA,40,Harpadon nehereus,Harpadon nehereus,FishBase,0.988,brackmarine
Helostoma temminckii,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.8199999332427974,tropical,short and / or deep,benthopelagic,NA,30,Helostoma temminckii,Helostoma temminckii,FishBase,0.988,fresh
Hemisorubim platyrhynchos,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,elongated,demersal,NA,NA,Hemisorubim platyrhynchos,Hemisorubim platyrhynchos,FishBase,0.988,fresh
Henicorhynchus siamensis,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,tropical,fusiform / normal,benthopelagic,NA,20,Henicorhynchus siamensis,Henicorhynchus siamensis,FishBase,0.988,fresh
Hydrolagus affinis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4,deep-water,elongated,bathydemersal,3000,130,Hydrolagus affinis,Hydrolagus affinis,FishBase,0.988,marine
Hydrolagus colliei,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.68,temperate,elongated,demersal,913,100,Hydrolagus colliei,Hydrolagus colliei,FishBase,0.988,marine
Hyporhamphus ihi,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.22,temperate,eel-like,pelagic-neritic,NA,26,Hyporhamphus ihi,Hyporhamphus ihi,FishBase,0.988,marine
Hyporhamphus limbatus,NA,mainly animals (troph. 2.8 and up),NA,3.2,tropical,elongated,pelagic-neritic,NA,35,Hyporhamphus limbatus,Hyporhamphus limbatus,FishBase,0.988,freshbrackmarine
Isopsetta isolepis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.59,temperate,short and / or deep,demersal,425,55,Isopsetta isolepis,Isopsetta isolepis,FishBase,0.988,marine
Lagocephalus lagocephalus,NA,mainly animals (troph. 2.8 and up),variable,3.73,subtropical,fusiform / normal,benthopelagic,476,61,Lagocepahlus lagocephalus,Lagocepahlus lagocephalus,FishBase,0.75,marine
Lampris guttatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.22,deep-water,short and / or deep,bathypelagic,500,200,Lampris guttatus,Lampris guttatus,FishBase,0.988,marine
Lepidocephalichthys guntea,NA,NA,NA,NA,tropical,elongated,demersal,NA,15,Lepidocephalichthys guntea,Lepidocephalichthys guntea,FishBase,0.988,freshbrack
Lepidopsetta bilineata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.48,temperate,short and / or deep,demersal,575,58,Lepidopsetta bilineata,Lepidopsetta bilineata,FishBase,0.988,marine
