ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude.x,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,country_region,updated_ref_info,location,latitude_details,latitude.y,longitude,weight_from_study_g,length_from_study,X13,abs_lat2
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",255,NA,Prochilodus reticulatus,fapun3,0.39137488,finfish,10.654451,NA,28,NaN,2,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,Maracaibo,NA,10.654451,-71.714795,NA,NA,NA,10.654451
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",968,Marbled_lungfish_wild_skinless_boneless_dorsal_muscle_raw,Protopterus aethiopicus,fapun3,0.0378,finfish,0.755775,-0.755775,200,200,3.43,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",969,Marbled_lungfish_wild_skinless_boneless_dorsal_muscle_raw,Protopterus aethiopicus,fapun3,0.0897,finfish,1.433393,1.433393,200,200,3.43,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",970,Marbled_lungfish_wild_skinless_boneless_dorsal_muscle_raw,Protopterus aethiopicus,fapun3,0.0424,finfish,1.504705,1.504705,200,200,3.43,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72",971,Lungfish_wild_muscle_fillet_raw,Protopterus spp.,fapun3,1.59855542,finfish,0.033333,-0.033333,44.3,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martínez B., Miranda J.M., Nebot C., Rodriguez J.L., Cepeda A., Franco C.M. (2010). Differentiation of farmed and wild turbot (Psetta maxima): Proximate chemical composition, fatty acid profile, trace minerals and antimicrobial resistance of contaminant bacteria. Food Sci Tech Int 16(5): 435-437",973,Turbot_wild_muscle_flesh_raw,Psetta maxima,fapun3,0.438659,finfish,42.575055,42.575055,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",976,Pintado_wild_muscle_tissue_raw,Pseudoplatystoma corruscans,fapun3,0.226572759,finfish,16.837027,-16.837027,166,166,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",1286,NA,Pseudoplatystoma corruscans,fapun3,0.157269241,finfish,23.421,NA,166,166,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",NA,-23.421,-51.933056,NA,NA,NA,23.421
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",1277,NA,Pterodoras granulosus,fapun3,0.521163219,finfish,23.421,NA,70,NaN,2.55,variable,plants/detritus+animals (troph. 2.2-2.79),potamodromous,NA,NA,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",NA,-23.421,-51.933056,NA,NA,NA,23.421
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",982,Swamp_barb_wild_boneless_skinless_fillet_raw,Puntius brevis,fapun3,0.10777949,finfish,15.190255,15.190255,12,12,2.91,browsing on substrate,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1960,Jat Punti,Puntius sophore,fapun3,329,finfish,23.81,NA,19.30434783,16,NA,NA,NA,amphidromous,Sylhet,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",1332,NA,Raja clavata,fapun3,0.195,finfish,NA,NA,105,NaN,4.15,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Surtt J., Lee H.J., Kwon H. (2009). Regional Difference in Fatty Acid Content of Korean Shellfish. Food Sci. Biotechnol 18: 367 - 373",1611,NA,Rapana venosa,fapun3,0.19,mollusc,34,NA,NaN,16.1,3.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,Korea,NA,34,128,NA,NA,NA,34
"Surtt J., Lee H.J., Kwon H. (2009). Regional Difference in Fatty Acid Content of Korean Shellfish. Food Sci. Biotechnol 18: 367 - 373",1612,NA,Rapana venosa,fapun3,0.65,mollusc,36,NA,NaN,16.1,3.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,Korea,NA,36,126,NA,NA,NA,36
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",501,Blackline_rasbora_wild_boneless_skinless_fillet_raw,Rasbora borapetensis,fapun3,0.12890879,finfish,15.190255,15.190255,6,6,3.29,NA,mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",502,Blackline_rasbora_wild_boneless_skinless_fillet_raw,Rasbora borapetensis,fapun3,0.12890879,finfish,14.967522,14.967522,6,6,3.29,NA,mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",1349,NA,Rastrelliger kanagurta,fapun3,1.366183316,finfish,4.210484,NA,37.91176471,32,3.1900000569999998,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,The samples were obtained from local market  in Malaysia and were procured at four different times to obtain four replicates.,"approximate location used, actual location unknown",4.210484,101.975766,NA,NA,NA,4.210484
"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72",989,silver_fish_wild_whole_raw,Rastrineobola argentea,fapun3,0.59471936,finfish,0.033333,-0.033333,9,9,3.410000086,selective plankton feeding,mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lytle J.S., Lytle T.F. (1994). Fatty acid and cholesterol content of sharks and rays. Journal of Food Composition and Analysis 7: 110-118",994,Atlantic_sharpnose_shark_wild_fillet_along_dorsal_line_raw,Rhizoprionodon terraenovae,fapun3,0.1,finfish,25.304304,25.304304,110,110,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",1367,NA,Rhomboplites aurorubens,fapun3,0.23429,finfish,19.432608,NA,60,NaN,3.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,"seafood market in mexico city, exact source location unkown",NA,19.432608,-99.133208,NA,NA,NA,19.432608
"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",1367,NA,Rhomboplites aurorubens,fapun3,0.23429,finfish,19.432608,NA,60,NaN,3.8,NA,NA,NA,NA,NA,"seafood market in mexico city, exact source location unkown",NA,19.432608,-99.133208,NA,NA,NA,19.432608
"Surtt J., Lee H.J., Kwon H. (2009). Regional Difference in Fatty Acid Content of Korean Shellfish. Food Sci. Biotechnol 18: 367 - 373",1624,NA,Ruditapes philippinarum,fapun3,0.601,mollusc,34,NA,NaN,8,2,filtering plankton,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,Korea,NA,34,128,NA,NA,NA,34
"Surtt J., Lee H.J., Kwon H. (2009). Regional Difference in Fatty Acid Content of Korean Shellfish. Food Sci. Biotechnol 18: 367 - 373",1625,NA,Ruditapes philippinarum,fapun3,0.277,mollusc,36,NA,NaN,8,2,filtering plankton,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,Korea,NA,36,126,NA,NA,NA,36
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",995,Kutum_wild_muscle_tissue_raw,Rutilus frisii,fapun3,0.31879,finfish,37,37,70,70,3.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",1280,NA,Salminus brasiliensis,fapun3,0.150188424,finfish,23.421,NA,100,NaN,3.79,variable,mainly animals (troph. 2.8 and up),potamodromous,NA,NA,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",NA,-23.421,-51.933056,NA,NA,NA,23.421
"Usydus Z., Szlinder-Richert J., Adamczyk M., Szatkowska U. (2011). Marine and farmed fish in the Polish market: Comparison of the nutritional value. Food Chemistry 126: 78-84",999,Baltic_salmon_wild_skinless_fillet_raw,Salmo salar,fapun3,5.299994826,finfish,55.028022,55.028022,144.2142857,123,3.76,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",1317,NA,Salmo salar,fapun3,4.471,finfish,NA,NA,144.2142857,123,3.76,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",1661,NA,Salmus sp.,fapun3,1.666810953,finfish,23.421,NA,NaN,NaN,3.799999952,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",NA,-23.421,-51.933056,NA,NA,NA,23.421
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",228,Brook_trout_wild_female_flesh_raw,Salvelinus fontinalis,fapun3,1,finfish,47.878794,47.878794,86,86,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",283,Brook_trout_wild_female_flesh_raw,Salvelinus fontinalis,fapun3,0.49,finfish,52.998485,52.998485,86,86,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",284,Lake_trout_wild_female_flesh_raw,Salvelinus namaycush,fapun3,0.6,finfish,52.636704,52.636704,150,150,3.77,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),non-migratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",1002,Pike_perch_wild_skinless_fillet_raw,Sander lucioperca,fapun3,0.174667,finfish,53.866389,53.866389,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",1004,Zander_wild_fillet_raw,Sander lucioperca,fapun3,0.0111718,finfish,38.023757,38.023757,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641",1005,Zander_wild_fillet_raw,Sander lucioperca,fapun3,0.00993348,finfish,36.967401,36.967401,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",1009,Zander_wild_muscle_tissue_raw,Sander lucioperca,fapun3,0.07454148,finfish,37,37,100,100,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osako K., Saito H., Weng W., Kuwahara K., Tanaka M. (2009). Lipid characteristics of coastal migratory Sarda orientalis tissues. Fish Sci 75: 1055-1066",1011,Oriental_bonito_wild_dorsal_white_muscle_fillet_raw,Sarda orientalis,fapun3,0.2190342,finfish,32.750286,32.750286,100.25,95,4.2100000380000004,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osako K., Saito H., Weng W., Kuwahara K., Tanaka M. (2009). Lipid characteristics of coastal migratory Sarda orientalis tissues. Fish Sci 75: 1055-1066",1012,Oriental_bonito_wild_dorsal_white_muscle_fillet_raw,Sarda orientalis,fapun3,0.753289,finfish,32.750286,32.750286,100.25,95,4.2100000380000004,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osako K., Saito H., Weng W., Kuwahara K., Tanaka M. (2009). Lipid characteristics of coastal migratory Sarda orientalis tissues. Fish Sci 75: 1055-1066",1013,Oriental_bonito_wild_dorsal_white_muscle_fillet_raw,Sarda orientalis,fapun3,0.2138869,finfish,32.750286,32.750286,100.25,95,4.2100000380000004,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",1014,Bonito_wild_edible_part_raw,Sarda sarda,fapun3,1.124374407,finfish,42.163403,42.163403,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",1017,Atlantic_bonito_adult_fish_muscle_flesh_middle_portion_raw,Sarda sarda,fapun3,0.56364,finfish,23.372169,-23.372169,91.05,90,4.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1022,Sardine_wild_small_size_fillet_raw,Sardina pilchardus,fapun3,0.132321222,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1023,Sardine_wild_large_size_fillet_raw,Sardina pilchardus,fapun3,0.232960416,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1024,Sardine_wild_large_size_fillet_raw,Sardina pilchardus,fapun3,0.723871455,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",1025,Sardine_wild_small_size_fillet_raw,Sardina pilchardus,fapun3,0.438386043,finfish,41.87194,41.87194,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",1027,Sardine_wild_skinless_fillet_raw,Sardina pilchardus,fapun3,2.512595598,finfish,41.85509,41.85509,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",1029,Sardine_wild_skinless_fillet_raw,Sardina pilchardus,fapun3,1.051529081,finfish,41.85509,41.85509,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",1318,NA,Sardina pilchardus,fapun3,2.271,finfish,NA,NA,26.94444444,25,2.79,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Rebah F.B., Abdelmouleh A., Kammoun W., Yezza A. (2010). Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from Tunisian coast. Journal of the Marine Biological Association of the United Kingdom 90(3): 569-573",1031,Round_sardinella_wild_whole_fish_raw,Sardinella aurita,fapun3,2.1404725,finfish,34.208024,34.208024,28.75,25,3.130000114,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özogul Y., Özogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638",1038,Sardine_wild_fillet_raw,Sardinella aurita,fapun3,0.85408476,finfish,38.963745,38.963745,28.75,25,3.130000114,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402",1039,Round_sardinella_red_muscle_flesh_raw,Sardinella aurita,fapun3,2.673417,finfish,14.764504,14.764504,28.75,25,3.130000114,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402",1040,Round_sardinella_white_muscle_flesh_raw,Sardinella aurita,fapun3,0.505845,finfish,14.764504,14.764504,28.75,25,3.130000114,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97",1584,NA,Sardinella brachysoma,fapun3,0.480926,finfish,23.55052,NA,13,NaN,NA,NA,NA,NA,NA,NA,"in the City of São Paulo, where the samples were obtained through donation. The seasons chosen for analysis were summer and winter, and the samples were collected in one month of each season during 2011","approximate location used, actual location unknown",-23.55052,-46.633309,NA,NA,NA,23.55052
"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97",1589,NA,Sardinella brachysoma,fapun3,1.30857164,finfish,23.55052,NA,13,NaN,NA,NA,NA,NA,NA,NA,"in the City of São Paulo, where the samples were obtained through donation. The seasons chosen for analysis were summer and winter, and the samples were collected in one month of each season during 2012","approximate location used, actual location unknown",-23.55052,-46.633309,NA,NA,NA,23.55052
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",1041,Brazilian_sardinella_adult_fish_muscle_flesh_middle_portion_raw,Sardinella brasiliensis,fapun3,2.82555,finfish,23.372169,-23.372169,26.5,25,3.1,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",1347,NA,Sardinella fimbriata,fapun3,0.836917028,finfish,4.210484,NA,13,NaN,2.700000048,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),NA,NA,NA,The samples were obtained from local market  in Malaysia and were procured at four different times to obtain four replicates.,"approximate location used, actual location unknown",4.210484,101.975766,NA,NA,NA,4.210484
"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402",1043,Madeiran_sardinella_red_muscle_flesh_raw,Sardinella maderensis,fapun3,3.63715,finfish,14.764504,14.764504,31.25,35,3.2,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402",1044,Madeiran_sardinella_white_muscle_flesh_raw,Sardinella maderensis,fapun3,1.067192,finfish,14.764504,14.764504,31.25,35,3.2,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huynh M.D., Kitts D.D. (2009). Evaluating nutritional quality of pacific fish species from fatty acid signatures. Food Chemistry 114: 912-918",1046,Sardine_wild_whole_fish_raw,Sardinops sagax,fapun3,2.998954899,finfish,53.726668,53.726668,37.125,30,2.61,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",1051,Brushtooth_lizardfish_wild_fillet_raw,Saurida undosquamis,fapun3,0.149236864,finfish,37.370157,37.370157,50,50,4.25,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17",1052,Brown_meagre_wild_fillet_raw,Sciaena umbra,fapun3,0.092383952,finfish,38.483333,38.483333,66.75,57,3.83,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17",1052,Brown_meagre_wild_fillet_raw,Sciaena umbra,fapun3,0.092383952,finfish,38.483333,38.483333,66.75,57,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
