Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm,obs_id,taxize_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af639,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,11.0767,2.1074,fi174,"Ireland, Cork Habour",Mar,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901943
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af640,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,10.8262,2.0461,fi174,"Ireland, Cork Habour",Apr,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901944
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af641,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,10.166,2.132,fi174,"Ireland, Cork Habour",May,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901945
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af642,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,10.5315,2.0655,fi174,"Ireland, Cork Habour",Jun,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901946
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af643,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,12.7946,2.072,fi174,"Ireland, Cork Habour",Jul,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901947
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af644,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,14.337,2.295,fi174,"Ireland, Cork Habour",Aug,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901948
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af645,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,NA,NA,fi174,"Ireland, Cork Habour",Sep,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901949
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af646,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,12.3,1.975,fi174,"Ireland, Cork Habour",Oct,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901950
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af647,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,NA,NA,fi174,"Ireland, Cork Habour",Nov,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901951
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af648,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,NA,NA,fi174,"Ireland, Cork Habour",Dec,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901952
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af649,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,9.9425,1.6605,fi174,"Ireland, Cork Habour",Jan,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901953
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af650,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,10.1015,1.8614,fi174,"Ireland, Cork Habour",Feb,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901954
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af651,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, farmed, edible meat, raw",NA,NA,NA,NA,NA,10.8984,2.0554,fi174,"Ireland, Cork Habour",Mar,proximates expressed per DM - conversion to FW; FA converted using XFA,1999,0901955
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af652,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, whole body, raw",NA,NA,NA,NA,NA,NA,1.46,fi177,"USA, WA, Gig Harbour",Spring,FAT- (analyzed according to AOAC 1975),1990,0901956
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af653,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, whole body, raw",NA,NA,NA,NA,NA,NA,2.84,fi177,"USA, WA, Gig Harbour",Summer,FAT- (analyzed according to AOAC 1975),1990,0901957
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af654,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, whole body, raw",NA,NA,NA,NA,NA,NA,2.64,fi177,"USA, WA, Gig Harbour",Fall,FAT- (analyzed according to AOAC 1975),1990,0901958
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af674,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific oyster, whole body, raw",NA,NA,NA,0.359906152,0.249945452,NA,NA,fi177,"USA, WA, Gig Harbour","Spring, summer, fall",FAT- (analyzed according to AOAC 1975),1990,0901978
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af790,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",168,1.922,0.019,0.05480064,0.079938048,7.66,0.88,fi226,"Italy, Adriatic Sea, Lagoon of Venice",Jun 2001,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902094
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af791,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",161,1.126,0.012,0.0114187473,0.0250059285,2.39,0.3,fi226,"Italy, Adriatic Sea, Lagoon of Venice",Sep 2001,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902095
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af792,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",195,1.193,0.012,0.049339608,0.05912044,4.92,0.66,fi226,"Italy, Adriatic Sea, Lagoon of Venice",Feb 2002,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902096
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af793,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",148,1.849,0.015,0.041350528,0.074383872,6.11,0.72,fi226,"Italy, Adriatic Sea, Lagoon of Venice",Jul 2002,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902097
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af794,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",240,1.722,0.013,0.01731738888,0.0375026256,4.04,0.44,fi226,"Italy, Adriatic Sea, Lagoon of Venice",Sep 2002,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902098
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af806,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, raw",NA,NA,NA,NA,NA,NA,NA,fi230,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,VITB12: Lactobacillus leichmannii,2001,0902110
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,af922,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific cupped oyster, flesh, raw",77.9,2.1,26.8,NA,NA,8.6,1.7,fi244,"France, samples taken from main production site",NA,NA,2007,0902226
Crassostrea gigas,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,15,45,Crassostrea gigas,Crassostrea gigas,0.988,NA,brackmarine,bc980,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, wild, raw",NA,NA,NA,NA,NA,7.76,2.85,fi156,"USA, WA, Willapa Bay",Nov 1978,NA,1979,0900999
Crassostrea rhizophorae,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,50,12,Crassostrea rhizophorae,Crassostrea rhizophorae,0.988,NA,brackmarine,bc1111,Crassostrea rhizophorae,Mollusc,Mangrove cupped oyster,NA,"Mangrove oyster, wild, meat removed from shell, raw",NA,NA,NA,0.120628,0.063728,10.2,1.5,fi193,"Brazil, Rio di Janeiro city, Barra de Guaratiba",Spring,FA converted using XFA,2004,0901130
Crassostrea rhizophorae,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,50,12,Crassostrea rhizophorae,Crassostrea rhizophorae,0.988,NA,brackmarine,bc1112,Crassostrea rhizophorae,Mollusc,Mangrove cupped oyster,NA,"Mangrove oyster, wild, meat removed from shell, raw",NA,NA,NA,0.055512,0.0320736,9.9,1.6,fi193,"Brazil, Rio di Janeiro city, Barra de Guaratiba",Summer,FA converted using XFA,2004,0901131
Crassostrea rhizophorae,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,50,12,Crassostrea rhizophorae,Crassostrea rhizophorae,0.988,NA,brackmarine,bc1113,Crassostrea rhizophorae,Mollusc,Mangrove cupped oyster,NA,"Mangrove oyster, wild, meat removed from shell, raw",NA,NA,NA,0.110386,0.072832,9.3,1.5,fi193,"Brazil, Rio di Janeiro city, Barra de Guaratiba",Autumn,FA converted using XFA,2004,0901132
Crassostrea rhizophorae,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,50,12,Crassostrea rhizophorae,Crassostrea rhizophorae,0.988,NA,brackmarine,bc1114,Crassostrea rhizophorae,Mollusc,Mangrove cupped oyster,NA,"Mangrove oyster, wild, meat removed from shell, raw",NA,NA,NA,0.164832,0.079184,9.6,2,fi193,"Brazil, Rio di Janeiro city, Barra de Guaratiba",Winter,FA converted using XFA,2004,0901133
Crassostrea rhizophorae,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,50,12,Crassostrea rhizophorae,Crassostrea rhizophorae,0.988,NA,brackmarine,bc1116,Crassostrea rhizophorae,Mollusc,Mangrove cupped oyster,NA,"Oyster, edible part, raw",NA,NA,NA,NA,NA,3.22,1.06,fi203,"Brazil, Piauí, Parnaíba delta",NA,minerals expressed per DM - conversion to FW,2007,0901155
Crassostrea virginica,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,79,30,Crassostrea virginica,Crassostrea virginica,0.988,NA,brackmarine,af349,Crassostrea virginica,Mollusc,American cupped oyster,NA,"Eastern Oysters, farmed, raw",NA,NA,NA,NA,NA,NA,NA,fi120,"USA, MD, Nanticoke River",May 1989,FAT- ( analyzed according to AOAC 1984: 43.257-43.2770; tr: VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g,1992,0901653
Crassostrea virginica,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,79,30,Crassostrea virginica,Crassostrea virginica,0.988,NA,brackmarine,bc775,Crassostrea virginica,Mollusc,American cupped oyster,NA,"Eastern Oysters, wild, raw",NA,NA,NA,NA,NA,5.6,1.2,fi120,"USA, MD, Nanticoke River",Mar 1989,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,0900794
Crassostrea virginica,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,79,30,Crassostrea virginica,Crassostrea virginica,0.988,NA,brackmarine,bc776,Crassostrea virginica,Mollusc,American cupped oyster,NA,"Eastern Oysters, wild, raw",NA,NA,NA,NA,NA,6.3,1.2,fi120,"USA, MD, Nanticoke River",Oct 1989,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,0900795
Crassostrea virginica,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,79,30,Crassostrea virginica,Crassostrea virginica,0.988,NA,brackmarine,c190,Crassostrea virginica,Mollusc,Eastern Oyster,muscle,"Eastern Oyster, muscle",NA,NA,NA,0.11,0.09,NA,NA,55,NA,NA,NA,NA,NA
Crassostrea virginica,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,79,30,Crassostrea virginica,Crassostrea virginica,0.988,NA,brackmarine,c191,Crassostrea virginica,Mollusc,Eastern Oyster,muscle,"Eastern Oyster, muscle",61,7.65,82.5,NA,NA,8.59,2.36,65,NA,NA,NA,NA,NA
Crassostrea virginica,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,subtropical,benthic,79,30,Crassostrea virginica,Crassostrea virginica,0.988,NA,brackmarine,seadata3,Crassostrea virginica,Mollusc,NA,whole,"NA, whole, edible flesh",61,7.65,82.46,NA,NA,NA,NA,sea1,"eastern Virginia, USA",NA,NA,NA,NA
Donax trunculus,NA,NA,NA,NA,temperate,benthic,25,4.4,Donax trunculus,Donax trunculus,0.988,NA,marine,af743,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",381.0254,NA,NA,NA,NA,8.4,0.69,fi192,"Turkey, Kumbag, Marmara Sea","Winter (Dec, Jan, Feb) 2005, 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902047
Donax trunculus,NA,NA,NA,NA,temperate,benthic,25,4.4,Donax trunculus,Donax trunculus,0.988,NA,marine,af744,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",254.2106,NA,NA,NA,NA,10.61,1.33,fi192,"Turkey, Kumbag, Marmara Sea","Spring (Mar, Apr, May) 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902048
Donax trunculus,NA,NA,NA,NA,temperate,benthic,25,4.4,Donax trunculus,Donax trunculus,0.988,NA,marine,af745,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",270.1418,NA,NA,NA,NA,8.21,0.7,fi192,"Turkey, Kumbag, Marmara Sea","Summer (Jun, Jul, Aug) 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902049
Donax trunculus,NA,NA,NA,NA,temperate,benthic,25,4.4,Donax trunculus,Donax trunculus,0.988,NA,marine,af746,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",448.9326,NA,NA,NA,NA,8.12,0.87,fi192,"Turkey, Kumbag, Marmara Sea","Autumn (Sep, Oct, Nov) 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902050
Dosidicus gigas,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.11,tropical,pelagic,1200,400,Dosidicus gigas,Dosidicus gigas,0.988,NA,marine,af749,Dosidicus gigas,Mollusc,Jumbo flying squid,NA,"Jumbo squid, mantle meat, raw",NA,NA,NA,NA,NA,12.278,0.336,fi194,Unknown,NA,Proximates expressed per DM - conversion to FW,2007,0902053
Eledone moschata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.98,subtropical,benthic,496,19.4,Eledone moschata,Eledone moschata,0.988,NA,marine,bc1178,Eledone moschata,Mollusc,Musky octopus,NA,"Musky octopus, wild, arm flesh, raw",NA,NA,NA,0.02181936,0.05826824,12.21,0.6,fi225,"Unknown, Eastern Medierranean Sea",Spring,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901217
Eledone moschata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.98,subtropical,benthic,496,19.4,Eledone moschata,Eledone moschata,0.988,NA,marine,bc1179,Eledone moschata,Mollusc,Musky octopus,NA,"Musky octopus, wild, arm flesh, raw",NA,NA,NA,0.040965608,0.094559208,14.32,0.66,fi225,"Unknown, Eastern Medierranean Sea",Autumn,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901218
Eledone moschata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.98,subtropical,benthic,496,19.4,Eledone moschata,Eledone moschata,0.988,NA,marine,bc1180,Eledone moschata,Mollusc,Musky octopus,NA,"Musky octopus, wild, arm flesh, raw",NA,NA,NA,0.041710624,0.080269936,14.5,0.68,fi225,"Unknown, Eastern Medierranean Sea",Winter,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901219
Ensis directus,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,temperate,benthic,73,26,Ensis directus,Ensis directus,0.988,NA,brackmarine,c221,Ensis directus,Mollusc,Atlantic Jackknife Clam,whole,"Atlantic Jackknife Clam, whole",50,11,6.32,NA,NA,11.2,1.5,27,NA,NA,NA,NA,NA
Enteroctopus dofleini,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.33,temperate,benthic,1500,300,Enteroctopus dofleini,Enteroctopus dofleini,0.988,NA,marine,c223,Enteroctopus dofleini,Mollusc,Pacific Giant Octopus,muscle,"Pacific Giant Octopus, muscle",24,5.3,NA,NA,NA,11.9,0.6,19,NA,NA,NA,NA,NA
Eriphia verrucosa,NA,NA,NA,NA,subtropical,benthic,NA,8,Eriphia verrucosa,Eriphia verrucosa,0.988,NA,marine,seadata134,Eriphia verrucosa,Crustacean,NA,NA,"NA, edible muscle",91.7,3.3687,NA,NA,NA,18.73,0.67,sea11,Aegean Sea,NA,NA,NA,NA
Euphausia superba,NA,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.25,polar,pelagic,130,3,Euphausia superba,Euphausia superba,0.988,NA,marine,bc1115,Euphausia superba,Crustacean,Antarctic krill,NA,"Antarctic krill, wild, whole, raw",NA,NA,NA,0.02696,0.01287,NA,NA,fi200,"USA, North of South Georgia, South Atlantic Ocean",Jan/Feb 1996,NA,1999,0901134
Ficus subintermedia,NA,mainly animals (troph. 2.8 and up),NA,NA,tropical,benthic,40,13,Ficus subintermedia,Ficus subintermedia,0.988,NA,marine,bc993,Ficus subintermedia,Mollusc,Underlined fig shell,NA,"Underlined fig shell, wild, female, autotomy tissue, raw",NA,NA,NA,NA,NA,16.0176,1.3845,fi163,"Taiwan, Kaohsiung (off coast)","mean shell length and weight: 6.48cm, 21.1g",proximates expressed per DM - conversion to FW,2002,0901012
Ficus subintermedia,NA,mainly animals (troph. 2.8 and up),NA,NA,tropical,benthic,40,13,Ficus subintermedia,Ficus subintermedia,0.988,NA,marine,bc994,Ficus subintermedia,Mollusc,Underlined fig shell,NA,"Underlined fig shell, wild, male, foot, raw",NA,NA,NA,NA,NA,16.176,2.328,fi163,"Taiwan, Kaohsiung (off coast)","mean shell length and weight: 52.3cm, 11.2g",proximates expressed per DM - conversion to FW,2002,0901013
Ficus subintermedia,NA,mainly animals (troph. 2.8 and up),NA,NA,tropical,benthic,40,13,Ficus subintermedia,Ficus subintermedia,0.988,NA,marine,bc995,Ficus subintermedia,Mollusc,Underlined fig shell,NA,"Underlined fig shell, wild, male, autotomy tissue, raw",NA,NA,NA,NA,NA,15.3765,2.8341,fi163,"Taiwan, Kaohsiung (off coast)","mean shell length and weight: 52.3cm, 11.2g",proximates expressed per DM - conversion to FW,2002,0901014
Fissurella picta,NA,mainly plants/detritus (troph. 2-2.19),NA,2,temperate,benthic,105,8.6,Fissurella picta,Fissurella picta,0.988,NA,marine,seadata77,Fissurella picta,Mollusc,NA,NA,"NA, whole, edible flesh",27,NA,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2007",NA,NA,NA,NA
Fissurella picta,NA,mainly plants/detritus (troph. 2-2.19),NA,2,temperate,benthic,105,8.6,Fissurella picta,Fissurella picta,0.988,NA,marine,seadata78,Fissurella picta,Mollusc,NA,NA,"NA, whole, edible flesh",NA,8.11,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2008",NA,NA,NA,NA
Fissurella picta,NA,mainly plants/detritus (troph. 2-2.19),NA,2,temperate,benthic,105,8.6,Fissurella picta,Fissurella picta,0.988,NA,marine,seadata79,Fissurella picta,Mollusc,NA,NA,"NA, whole, edible flesh",NA,NA,1.51,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2009",NA,NA,NA,NA
Fissurella picta,NA,NA,NA,NA,temperate,benthic,105,8.6,Fissurella picta,Fissurella picta,0.988,NA,marine,seadata77,Fissurella picta,Mollusc,NA,NA,"NA, whole, edible flesh",27,NA,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2007",NA,NA,NA,NA
Fissurella picta,NA,NA,NA,NA,temperate,benthic,105,8.6,Fissurella picta,Fissurella picta,0.988,NA,marine,seadata78,Fissurella picta,Mollusc,NA,NA,"NA, whole, edible flesh",NA,8.11,NA,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2008",NA,NA,NA,NA
Fissurella picta,NA,NA,NA,NA,temperate,benthic,105,8.6,Fissurella picta,Fissurella picta,0.988,NA,marine,seadata79,Fissurella picta,Mollusc,NA,NA,"NA, whole, edible flesh",NA,NA,1.51,NA,NA,NA,NA,sea9,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2009",NA,NA,NA,NA
Homarus americanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,temperate,benthic,480,64,Homarus americanus,Homarus americanus,0.988,NA,marine,af616,Homarus americanus,Crustacean,American lobster,NA,"American lobster, muscle tissue (claw, leg, abdomen), raw",47.3,0.23,2.9,NA,NA,NA,NA,fi159,USA/Canada,NA,NA,2008,0901920
Homarus americanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,temperate,benthic,480,64,Homarus americanus,Homarus americanus,0.988,NA,marine,af617,Homarus americanus,Crustacean,American lobster,NA,"American lobster, hepatopancreas, raw",29.3,2.9,3.1,NA,NA,NA,NA,fi159,USA/Canada,NA,NA,2008,0901921
Homarus americanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,temperate,benthic,480,64,Homarus americanus,Homarus americanus,0.988,NA,marine,af618,Homarus americanus,Crustacean,American lobster,NA,"American lobster, gonads, raw",17.3,1.2,1.7,NA,NA,NA,NA,fi159,USA/Canada,NA,NA,2008,0901922
Homarus americanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,temperate,benthic,480,64,Homarus americanus,Homarus americanus,0.988,NA,marine,c337,Homarus americanus,Crustacean,American lobster,muscle,"American lobster, muscle",NA,NA,NA,0.24,0.12,NA,NA,55,NA,NA,NA,NA,NA
Homarus gammarus,NA,plants/detritus+animals (troph. 2.2-2.79),variable,3.7,subtropical,benthic,150,65,Homarus gammarus,Homarus gammarus,0.988,NA,marine,af619,Homarus gammarus,Crustacean,European lobster,NA,"European lobster, muscle tissue (claw, leg, abdomen), raw",45.6,0.18,2.6,NA,NA,NA,NA,fi159,"UK, Scotland",NA,NA,2008,0901923
Homarus gammarus,NA,plants/detritus+animals (troph. 2.2-2.79),variable,3.7,subtropical,benthic,150,65,Homarus gammarus,Homarus gammarus,0.988,NA,marine,af620,Homarus gammarus,Crustacean,European lobster,NA,"European lobster, hepatopancreas, raw",33.5,1.6,4.1,NA,NA,NA,NA,fi159,"UK, Scotland",NA,NA,2008,0901924
