Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,realm
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1224,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),liver,"Lumpsucker, wild, male, liver, raw",4.5,1.93,2.61,NA,NA,8.1,35,im11,"Iceland, North Atlantic",NA,NA,2011,0901263,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1236,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),eggs,"Lumpsucker, roe, wild, raw",NA,NA,NA,0.922597745949185,1.58281163076752,NA,6.7,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901275,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1237,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),eggs,"Lumpsucker, roe, wild, raw",NA,NA,NA,0.716296458331869,1.11106647592442,NA,4.9,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901276,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1238,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),eggs,"Lumpsucker, roe, wild, raw",NA,NA,NA,0.790729074498178,1.0958577168704,NA,5.1,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901277,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1239,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),muscle,"Lumpsucker, wild, male, fillet, raw",NA,NA,NA,1.98875115578933,2.01296876766411,NA,26.5,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901278,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1240,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),muscle,"Lumpsucker, wild, male, fillet, raw",NA,NA,NA,1.43608511403896,1.52260758770623,NA,21.8,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901279,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,bc1241,Cyclopterus lumpus,Finfish,Lumpfish(=Lumpsucker),muscle,"Lumpsucker, wild, male, fillet, raw",NA,NA,NA,1.39754671028517,1.46303752572508,NA,20.2,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901280,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,c196,Cyclopterus lumpus,Finfish,Lumpfish,muscle,"Lumpfish, muscle",NA,NA,NA,NA,NA,7.7,5.7,27,NA,NA,NA,NA,NA,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,c197,Cyclopterus lumpus,Finfish,Lumpfish,eggs,"Lumpfish, eggs",NA,NA,NA,NA,NA,13.6,3.6,27,NA,NA,NA,NA,NA,marine
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,c198,Cyclopterus lumpus,Finfish,Lumpfish,whole,"Lumpfish, whole",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,marine
Cynoglossus arel,2,mainly animals (troph. 2.8 and up),variable,3.259999990463257,tropical,elongated,demersal,125,40,bc527,Cynoglossus arel,Finfish,Largescale tonguesole,muscle,"Large-scale tongue sole, wild, fillet, raw",NA,NA,NA,NA,NA,18.49,0.7,fi88,"Malaysia, West coast of Peninsular",NA,NA,2011,0900546,brackmarine
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,af36,Cyprinus carpio,Finfish,Common carp,muscle_skinless,"Common carp, wild, skinless, boneless fillets, raw",NA,NA,NA,NA,0.0140405242006236,NA,1.19,fi17,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,0901340,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc139,Cyprinus carpio,Finfish,Common carp,muscle,"Common carp, wild, edible flesh, raw",NA,NA,NA,0.171254403,NA,NA,3.61,fi27,"Iran, Caspian sea, Anzalii/Babolsar/Torkaman",Nov 2006,FA converted using XFA,2010,0900139,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc160,Cyprinus carpio,Finfish,Common carp,muscle_skinless,"Carp, wild, skinless fillet, raw",52,0.6,0.9,NA,NA,19,1,fi32,"Greece, Evros River",Summer 1987,NA,1989,0900160,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc161,Cyprinus carpio,Finfish,Common carp,muscle_skinless,"Carp, wild, skinless fillet, raw",69,0.6,0.9,NA,NA,19,1.2,fi32,"Greece, Evros River",Summer 1988,NA,1989,0900161,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc186,Cyprinus carpio,Finfish,Common carp,muscle,"Common carp, wild, muscle tissue, raw",NA,NA,NA,0.039733144,0.055667084,NA,0.88,fi34,"Turkey, Adana, Seyhan Dam Lake",NA,FA converted using XFA,2007,0900186,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc226,Cyprinus carpio,Finfish,Common carp,muscle_skinless,"Carp, wild, skinless, boneless fillet, raw",NA,NA,NA,0.011632,0.05816,NA,1.4,fi47,"Greece, Evros River",Jul-Aug 1987,FA converted using XFA,1991,0900226,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc349,Cyprinus carpio,Finfish,Common carp,muscle,"Common carp, wild, edible flesh, raw",NA,NA,0.165168,NA,NA,19.4,3.6,fi71,"Iran, Caspian sea",Nov,minerals expressed per DM - conversion to FW; all mineral values in brackets: values seem in many cases very low compared to reference data and no explanation is provided;,2009,0900368,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,bc85,Cyprinus carpio,Finfish,Common carp,muscle,"Common carp, wild, boneless fillet, raw",NA,NA,1.25,NA,NA,18.34,3.5,fi16,"Turkey, Seyhan dam lake",NA,FOL-: analyzed using HPLC,2009,0900085,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,c203,Cyprinus carpio,Finfish,Common Carp,muscle,"Common Carp, muscle",37,1.25,4.7,NA,NA,17.8,2.5,27,NA,NA,NA,NA,NA,freshbrack
Cyprinus carpio,1.9742857142857142,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.05,subtropical,fusiform / normal,benthopelagic,NA,120,c204,Cyprinus carpio,Finfish,Common Carp,whole,"Common Carp, whole",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,freshbrack
Dallia pectoralis,2,mainly animals (troph. 2.8 and up),variable,3.31,boreal,fusiform / normal,demersal,NA,33,c210,Dallia pectoralis,Finfish,Alaska Blackfish,whole,"Alaska Blackfish, whole",236,4.6,NA,NA,NA,15.5,1.75,34,NA,NA,NA,NA,NA,fresh
Dallia pectoralis,2,mainly animals (troph. 2.8 and up),variable,3.31,boreal,fusiform / normal,demersal,NA,33,c211,Dallia pectoralis,Finfish,Alaska Blackfish,whole,"Alaska Blackfish, muscle",880,NA,NA,NA,NA,16.9,0.7,11,NA,NA,NA,NA,NA,fresh
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,bc894,Decapterus punctatus,Finfish,Round scad,muscle,"Round scad, wild, fillet, frozen",NA,NA,NA,0.05849834,0.30967986,22.6,1.2,fi138,"USA, Gulf of Mexico",Apr 1991,FA converted using XFA,1997,0900913,marine
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,bc895,Decapterus punctatus,Finfish,Round scad,muscle,"Round scad, wild, fillet, frozen",NA,NA,NA,0.10575312,0.7470817,21.5,2.3,fi138,"USA, Gulf of Mexico",Oct 1992,FA converted using XFA,1997,0900914,marine
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,bc287,Dentex dentex,Finfish,Common dentex,muscle,"Common dentex, wild, fillet, raw",NA,NA,NA,0.05028781,0.124360395,21.95,1.61,fi60,"Turkey, Izmir Gulf, Aegean Sea",Apr 2006,FA converted using XFA,2010,0900306,marine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc1534,Dicentrarchus labrax,Finfish,European seabass,muscle_skinless,"Sea bass, wild, skinless fillet, raw",1.6,0.4,0.43,NA,NA,20.1,1.6,fi244,"France, Atlantique Nord Est",NA,NA,2007,0902451,freshbrackmarine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc233,Dicentrarchus labrax,Finfish,European seabass,muscle_skinless,"Sea bass, wild, skinless fillet, raw",NA,NA,NA,0.072612096,0.091899684,18.74,2.18,fi48,"Turkey, Mediterranean Sea, Iskenderun Bay",Nov (Autumn) 2001,PROT- (analyzed according to AOAC 1984); FA converted using XFA,2006,0900233,freshbrackmarine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc234,Dicentrarchus labrax,Finfish,European seabass,muscle_skinless,"Sea bass, wild, skinless fillet, raw",NA,NA,NA,0.054142144,0.075042604,19.75,1.22,fi48,"Turkey, Mediterranean Sea, Iskenderun Bay",Feb (Winter) 2001,PROT- (analyzed according to AOAC 1984); FA converted using XFA,2006,0900234,freshbrackmarine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc235,Dicentrarchus labrax,Finfish,European seabass,muscle_skinless,"Sea bass, wild, skinless fillet, raw",NA,NA,NA,0.36861055,0.76913067,21.38,6.05,fi48,"Turkey, Mediterranean Sea, Iskenderun Bay",Apr (Spring) 2001,PROT- (analyzed according to AOAC 1984); FA converted using XFA,2006,0900235,freshbrackmarine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc236,Dicentrarchus labrax,Finfish,European seabass,muscle_skinless,"Sea bass, wild, skinless fillet, raw",NA,NA,NA,0.352387815,0.674479845,21.79,5.85,fi48,"Turkey, Mediterranean Sea, Iskenderun Bay",July (Summer) 2001,PROT- (analyzed according to AOAC 1984); FA converted using XFA,2006,0900236,freshbrackmarine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc346,Dicentrarchus labrax,Finfish,European seabass,muscle,"Sea bass, wild, fillet, raw",NA,1.54595,1.0682,0.1232992,0.226824,19.2,1.4,fi70,"Greece, Aegean Sea",May 2000,FA converted using XFA; minerals expressed per DM - conversion to FW,2002,0900365,freshbrackmarine
Dicentrarchus labrax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.47,subtropical,fusiform / normal,demersal,100,103,bc418,Dicentrarchus labrax,Finfish,European seabass,muscle,"Seabass/Bass, wild, edible flesh, raw",NA,NA,NA,NA,NA,21,2,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900437,freshbrackmarine
Diplodus annularis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.21,subtropical,fusiform / normal,benthopelagic,90,27.5,bc316,Diplodus annularis,Finfish,Annular seabream,muscle,"Annular seabream, wild, fillet, raw",NA,NA,NA,0.075960704,0.194097264,NA,2.52,fi67,"Turkey, Mediterranean Sea",NA,FA converted using XFA,2009,0900335,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc503,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,20.38,1.41,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Feb 2005,NA,2008,0900522,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc504,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,18.11,2.05,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Mar 2005,NA,2008,0900523,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc505,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,18.71,0.35,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Apr 2005,NA,2008,0900524,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc506,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,18.59,0.23,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",May 2005,NA,2008,0900525,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc507,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,19.38,1.85,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Jun 2004,NA,2008,0900526,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc508,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,20.18,0.73,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Aug 2004,NA,2008,0900527,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc509,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,19.27,2.27,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Oct 2004,NA,2008,0900528,brackmarine
Diplodus sargus,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.24,subtropical,fusiform / normal,demersal,50,45,bc510,Diplodus sargus,Finfish,White seabream,muscle,"White sea bream, wild, fillet, raw",NA,NA,NA,NA,NA,19.83,0.79,fi87,"Lebanon, Antelias, Eastern Mediterranean Sea",Dec 2004,NA,2008,0900529,brackmarine
Eleginus gracilis,2.2,mainly animals (troph. 2.8 and up),variable,3.78,polar,fusiform / normal,demersal,300,55,c213,Eleginus gracilis,Finfish,Saffron Cod,muscle,"Saffron Cod, muscle",NA,NA,NA,NA,NA,14.7,0.8,34,NA,NA,NA,NA,NA,freshbrackmarine
Eleginus gracilis,2.2,mainly animals (troph. 2.8 and up),variable,3.78,polar,fusiform / normal,demersal,300,55,c214,Eleginus gracilis,Finfish,Saffron Cod,liver,"Saffron Cod, liver",6,3.8,NA,NA,NA,8,45.1,34,NA,NA,NA,NA,NA,freshbrackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc265,Engraulis encrasicolus,Finfish,European anchovy,muscle_organs,"Anchovy, wild, edible part, raw",NA,NA,NA,1.701033544,3.030125952,14.1,18.44,fi57,"Turkey, Black Sea",fall 1995-spring 1996,FA converted using XFA,1998,0900284,brackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc363,Engraulis encrasicolus,Finfish,European anchovy,muscle,"Anchovy, wild, skin-on fillet, raw",NA,NA,NA,0.520800918711097,0.786013267533626,NA,4.53,fi73,"Italy, North Adriatic Sea",Autumn 2006,FAME converted using ShF and XFA,2010,0900382,brackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc364,Engraulis encrasicolus,Finfish,European anchovy,muscle,"Anchovy, wild, skin-on fillet, raw",NA,NA,NA,0.881727265228362,1.16565214979173,NA,5.79,fi73,"Italy, North Adriatic Sea",Spring 2006,FAME converted using ShF and XFA,2010,0900383,brackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc393,Engraulis encrasicolus,Finfish,European anchovy,muscle,"Anchovy, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,0900412,brackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc433,Engraulis encrasicolus,Finfish,European anchovy,muscle,"Anchovy, wild, edible flesh, raw",NA,NA,NA,NA,NA,18.2,4,fi80,"Greece, Aegean Sea",Spring,FAT- (analyzed according to AOAC 1975),1995,0900452,brackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc434,Engraulis encrasicolus,Finfish,European anchovy,muscle,"Anchovy, wild, edible flesh, raw",NA,NA,NA,NA,NA,18.1,0.6,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900453,brackmarine
Engraulis encrasicolus,1,mainly animals (troph. 2.8 and up),selective plankton feeding,3.12,temperate,elongated,pelagic-neritic,400,20,bc435,Engraulis encrasicolus,Finfish,European anchovy,muscle,"Anchovy, wild, edible flesh, raw",NA,NA,NA,NA,NA,21,0.9,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900454,brackmarine
Eopsetta jordani,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.1,temperate,short and / or deep,demersal,550,53,af599,Eopsetta jordani,Finfish,Petrale sole,muscle_skinless,"Petrale sole, skinless fillet, raw",NA,NA,NA,NA,NA,17.6,0.8,fi195,"USA, Oregoon",NA,NA,1976,0901903,marine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,bc586,Epinephelus aeneus,Finfish,White grouper,muscle,"White grouper, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.087734448,0.28838638,NA,2.33,fi104,"Mauritania, Nouakchott, local fish market",Jan,FA converted using XFA,2011,0900605,brackmarine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,bc587,Epinephelus aeneus,Finfish,White grouper,muscle,"White grouper, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.111803643,0.21686959,NA,2.41,fi104,"Mauritania, Nouakchott, local fish market",Mar,FA converted using XFA,2011,0900606,brackmarine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,bc588,Epinephelus aeneus,Finfish,White grouper,muscle,"White grouper, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.072037925,0.22204631,NA,1.97,fi104,"Mauritania, Nouakchott, local fish market",May,FA converted using XFA,2011,0900607,brackmarine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,bc589,Epinephelus aeneus,Finfish,White grouper,muscle,"White grouper, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.08989824,0.23826688,NA,1.72,fi104,"Mauritania, Nouakchott, local fish market",Jul,FA converted using XFA,2011,0900608,brackmarine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,bc590,Epinephelus aeneus,Finfish,White grouper,muscle,"White grouper, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.09970389,0.32723328,NA,1.98,fi104,"Mauritania, Nouakchott, local fish market",Sep,FA converted using XFA,2011,0900609,brackmarine
Epinephelus aeneus,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,subtropical,fusiform / normal,demersal,200,120,bc591,Epinephelus aeneus,Finfish,White grouper,muscle,"White grouper, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.087199302,0.27315444,NA,2.03,fi104,"Mauritania, Nouakchott, local fish market",Nov,FA converted using XFA,2011,0900610,brackmarine
Epinephelus coioides,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,subtropical,fusiform / normal,reef-associated,100,120,bc320,Epinephelus coioides,Finfish,Orange-spotted grouper,muscle,"Orange-spotted grouper, wild, fillet, raw",NA,NA,NA,NA,NA,NA,0.97,fi67,"Turkey, Mediterranean Sea",NA,NA,2009,0900339,brackmarine
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc133,Esox lucius,Finfish,Northern pike,muscle,"Pike, wild, dorsal muscle, raw",11.8859,0.10481,0.62663,NA,NA,NA,NA,fi26,"Poland, Kisajno Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900133,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc134,Esox lucius,Finfish,Northern pike,muscle,"Pike, wild, dorsal muscle, raw",10.6455,0.106455,0.613815,NA,NA,NA,NA,fi26,"Poland, Dargin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900134,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc135,Esox lucius,Finfish,Northern pike,muscle,"Pike, wild, dorsal muscle, raw",10.4566,0.08624,1.155616,NA,NA,NA,NA,fi26,"Poland, Dargin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900135,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc1423,Esox lucius,Finfish,NA,muscle,"Pike, wild, flesh, raw",19,0.2,0.4,NA,0.2,20,0.8,fc001,"Canada, Canadian Arctic, Yukon and Inuit communities residing in Northwest Territories, Nunavut and Labrador",2 seasons (highest & lowest months of harvesting cycle in Yukon First Nations (1995) & Inuit (1998-1999) communities),Samples were taken in the wild (informed by the author),2002,0902340,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc1458,Esox lucius,Finfish,NA,muscle,"Pike, wild, meat, raw",60,0.4,0.7,NA,NA,19,0.8,fc003,"Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope).",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,0902375,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc1486,Esox lucius,Finfish,NA,muscle,"Pike, wild, meat, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902403,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc1522,Esox lucius,Finfish,NA,muscle,"Pike, wild, meat, raw",NA,NA,NA,NA,0.1,NA,0.8,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902439,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc54,Esox lucius,Finfish,Northern pike,muscle,"Pike, wild, female, flesh, raw",7,0.1,1.1,NA,NA,17,NA,fi4,"Canada, James Bay, Vermeulle",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900054,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc55,Esox lucius,Finfish,Northern pike,muscle,"Pike, wild, female, flesh, raw",8,0.1,1,NA,NA,16,NA,fi4,"Canada, James Bay, Dollier",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900055,freshbrack
Esox lucius,1.9444444444444444,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.400000095367432,subtropical,elongated,demersal,30,137,bc671,Esox lucius,Finfish,Northern pike,muscle,"Northern pike, wild, fillet, raw",NA,NA,NA,0.008528929,0.035752452,NA,0.19,fi110,"Poland, Lake Dgał Wielki",Nov,FA converted using XFA,2008,0900690,freshbrack
