seanuts_id2,species1,nutrient,concentration,feeding_mode,feeding_level,EnvTemp,DemersPelag,BodyShapeI,part,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep,AgeMatMin,realm,source,reference
NA,Dallia pectoralis,epa,NA,variable,mainly animals (troph. 2.8 and up),boreal,demersal,fusiform / normal,NA,NA,3.4965075614664802,3.31,NA,2,fresh,seanuts,34
NA,Dallia pectoralis,epa,NA,variable,mainly animals (troph. 2.8 and up),boreal,demersal,fusiform / normal,NA,NA,3.4965075614664802,3.31,NA,2,fresh,seanuts,11
NA,Dallia pectoralis,dha,NA,variable,mainly animals (troph. 2.8 and up),boreal,demersal,fusiform / normal,NA,NA,3.4965075614664802,3.31,NA,2,fresh,seanuts,34
NA,Dallia pectoralis,dha,NA,variable,mainly animals (troph. 2.8 and up),boreal,demersal,fusiform / normal,NA,NA,3.4965075614664802,3.31,NA,2,fresh,seanuts,11
515,Decapterus punctatus,fapun_all_g,1.1096066,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,0.10400553809019655,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
516,Decapterus punctatus,fapun_all_g,0.4316572,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-0.840123524259016,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
515,Decapterus punctatus,fapun3,0.9233369,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-0.07976110566043872,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
516,Decapterus punctatus,fapun3,0.3945464,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-0.9300185283755641,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
515,Decapterus punctatus,protein,21.499999999999996,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,3.068052935133617,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
516,Decapterus punctatus,protein,22.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,3.1179499062782403,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
515,Decapterus punctatus,epa,0.10575312000000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-2.2466479579448713,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
516,Decapterus punctatus,epa,0.05849834000000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-2.8387569012153104,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
515,Decapterus punctatus,dha,0.7470817,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-0.29158072901327176,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
516,Decapterus punctatus,dha,0.30967986,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,-1.1722162247924126,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
515,Decapterus punctatus,fat_g,2.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,0.8329091229351039,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
516,Decapterus punctatus,fat_g,1.2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,reef-associated,fusiform / normal,NA,0.1823215567939546,3.4011973816621555,3.26,100,0.33,marine,seanuts,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
517,Dentex dentex,fapun_all_g,0.293164341,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-1.2270219364205295,4.605170185988092,4.5,200,2,marine,seanuts,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
517,Dentex dentex,fapun3,0.100847446,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-2.2941463396423054,4.605170185988092,4.5,200,2,marine,seanuts,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
517,Dentex dentex,protein,21.949999999999996,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,3.08876713952118,4.605170185988092,4.5,200,2,marine,seanuts,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
517,Dentex dentex,epa,0.05028781000000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-2.9899925771714155,4.605170185988092,4.5,200,2,marine,seanuts,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
517,Dentex dentex,dha,0.12436039500000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-2.0845715175341644,4.605170185988092,4.5,200,2,marine,seanuts,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
517,Dentex dentex,fat_g,1.61,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,0.4762341789963717,4.605170185988092,4.5,200,2,marine,seanuts,"Dincer T., Cakli S., Cadun A. (2010). Comparison of proximate and fatty acid composition of the flesh of wild and cultured fish species. Arch Lebensmittelhyg 61: 12-17"
522,Dicentrarchus labrax,protein,19.749999999999996,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,2.9831534913471307,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
523,Dicentrarchus labrax,protein,21.789999999999996,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,3.0814511489565284,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
524,Dicentrarchus labrax,protein,18.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,2.930660276810276,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
525,Dicentrarchus labrax,protein,21.38,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,3.062455905596899,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
520,Dicentrarchus labrax,fapun_all_g,0.5513568,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.5953731294899427,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
522,Dicentrarchus labrax,fapun_all_g,0.22074866799999998,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-1.5107304734913571,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
523,Dicentrarchus labrax,fapun_all_g,1.542959015,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.4337020111358332,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
524,Dicentrarchus labrax,fapun_all_g,0.371758804,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.9895100113399199,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
525,Dicentrarchus labrax,fapun_all_g,1.756676845,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.5634238679860225,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
1296,Dicentrarchus labrax,fapun_all_g,1.05114138,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.049876602353109874,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
520,Dicentrarchus labrax,fapun3,0.4140992,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.8816497203329887,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
1296,Dicentrarchus labrax,fapun3,0.64726772,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.43499528335946497,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
520,Dicentrarchus labrax,protein,19.200000000000003,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,2.954910279033736,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
521,Dicentrarchus labrax,protein,21,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,3.044522437723423,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
520,Dicentrarchus labrax,epa,0.12329919999999997,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-2.0931413570729522,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
522,Dicentrarchus labrax,epa,0.05414214400000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-2.9161423945457265,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
523,Dicentrarchus labrax,epa,0.352387815,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-1.0430229627029344,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
524,Dicentrarchus labrax,epa,0.07261209600000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-2.6226237594593047,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
525,Dicentrarchus labrax,epa,0.36861055,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.9980146123437479,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
1296,Dicentrarchus labrax,epa,0.187761132,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-1.672584698484386,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
520,Dicentrarchus labrax,dha,0.226824,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-1.4835808926212724,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
522,Dicentrarchus labrax,dha,0.075042604,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-2.5896992733937134,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
523,Dicentrarchus labrax,dha,0.674479845,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.3938134851744091,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
524,Dicentrarchus labrax,dha,0.09189968400000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-2.387057688146538,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
525,Dicentrarchus labrax,dha,0.76913067,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.26249440193500395,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
1296,Dicentrarchus labrax,dha,0.39317502,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,-0.9335004227374151,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
520,Dicentrarchus labrax,fat_g,1.4,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.3364722366212129,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
521,Dicentrarchus labrax,fat_g,2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,muscle,0.6931471805599453,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
522,Dicentrarchus labrax,fat_g,1.22,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.19885085874516517,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
523,Dicentrarchus labrax,fat_g,5.85,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,1.766441661243765,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
524,Dicentrarchus labrax,fat_g,2.18,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.7793248768009977,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
525,Dicentrarchus labrax,fat_g,6.05,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,1.80005827204275,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320"
1296,Dicentrarchus labrax,fat_g,3.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,1.1052568313867783,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
520,Dicentrarchus labrax,zn_mg,1.0682,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.06597498892353292,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
520,Dicentrarchus labrax,fe_mg,1.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,fusiform / normal,NA,0.4382549309311553,4.634728988229636,3.47,100,4,freshbrackmarine,seanuts,"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150"
526,Diplodus annularis,fapun_all_g,0.459959728,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-0.7766163411576179,3.3141860046725258,3.21,90,1.75,brackmarine,seanuts,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
526,Diplodus annularis,fapun3,0.279553056,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-1.2745631797144683,3.3141860046725258,3.21,90,1.75,brackmarine,seanuts,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
526,Diplodus annularis,epa,0.07596070400000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-2.5775391250451913,3.3141860046725258,3.21,90,1.75,brackmarine,seanuts,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
526,Diplodus annularis,dha,0.194097264,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,-1.639395884733413,3.3141860046725258,3.21,90,1.75,brackmarine,seanuts,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
526,Diplodus annularis,fat_g,2.52,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,benthopelagic,fusiform / normal,NA,0.9242589015233319,3.3141860046725258,3.21,90,1.75,brackmarine,seanuts,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
NA,Eleginus gracilis,ca_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,ca_mg,6,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,1.791759469228055,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,zn_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,zn_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fe_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fe_mg,3.8,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,1.33500106673234,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,protein_g,14.7,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,2.6878474937846906,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,protein_g,8,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,2.0794415416798357,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fat_g,0.8,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,-0.2231435513142097,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fat_g,45.1,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,3.8088822465086327,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fapun3,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fapun3,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fapun_all_g,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,fapun_all_g,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,mn_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,mn_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,mg_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,mg_mg,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,epa,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,epa,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,dha,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
NA,Eleginus gracilis,dha,NA,variable,mainly animals (troph. 2.8 and up),polar,demersal,fusiform / normal,NA,NA,4.007333185232471,3.78,300,2.2,freshbrackmarine,seanuts,34
