ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude.x,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,country_region,updated_ref_info,location,latitude_details,latitude.y,longitude,weight_from_study_g,length_from_study,X13,abs_lat2,log_length,log_concentration,reference
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",327,silver_rag_wild_fillet_frozen,Ariomma bondi,fapun3,1.94355013,finfish,25.304304,25.304304,30,30,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4011973816621555,0.6645162646487015,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",328,silver_rag_wild_fillet_frozen,Ariomma bondi,fapun3,2.0049008,finfish,25.304304,25.304304,30,30,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4011973816621555,0.6955945832253126,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631"
"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",353,Arrow-tooth_flounder_wild_fillets_raw,Atheresthes stomias,fapun3,0.79535563,finfish,57.79,57.79,82.125,69,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23410650459726,-0.2289659310181992,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33"
"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",1557,NA,Atherina boyeri,fapun3,0.229481691,finfish,39.074208,NA,20,20,3.22,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),amphidromous,NA,NA,"The samples were obtained from fish markets in various regions of Greece (Macedonia, Attica, Peloponnese)","approximate location used, actual location unknown",39.074208,21.824312,NA,NA,NA,39.074208,2.995732273553991,-1.4719320304417312,"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758"
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",361,Frigate_tuna_adult_fish_muscle_flesh_middle_portion_raw,Auxis thazard thazard,fapun3,2.74065,finfish,23.372169,-23.372169,54,54,4.360000134,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9889840465642745,1.008195118543647,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72",364,Catfish_A_wild_muscle_fillet_raw,Bagrus docmak,fapun3,1.46188025,finfish,0.033333,-0.033333,127,127,4.08,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.844187086458591,0.37972344962818194,"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72"
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",365,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,Bagrus docmak,fapun3,0.091,finfish,0.755775,-0.755775,127,127,4.08,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.844187086458591,-2.396895772465287,"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029"
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",366,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,Bagrus docmak,fapun3,0.08176,finfish,1.504705,1.504705,127,127,4.08,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.844187086458591,-2.5039671525267426,"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029"
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",368,Grey_triggerfish_wild_fillet_raw,Balistes capriscus,fapun3,0.074655217,finfish,37.370157,37.370157,59.125,56.5,3.45,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.034240638152395,-2.5948748713035616,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",370,Garfish_wild_edible_part_raw,Belone belone,fapun3,2.98925319,finfish,42.163403,42.163403,92,89,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48863636973214,1.0950235869742966,"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
"Özogul Y., Özogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638",375,Bogue_wild_fillet_raw,Boops boops,fapun3,0.8458112,finfish,38.963745,38.963745,34.92857143,30,3.11,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4011973816621555,-0.1674591121302634,"Özogul Y., Özogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638"
"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",1559,NA,Boops boops,fapun3,0.198470397,finfish,39.074208,NA,34.92857143,30,3.11,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,"The samples were obtained from fish markets in various regions of Greece (Macedonia, Attica, Peloponnese)","approximate location used, actual location unknown",39.074208,21.824312,NA,NA,NA,39.074208,3.4011973816621555,-1.6171153234776579,"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758"
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",377,Wide-eyed_flounder_wild_fillet_raw,Bothus podas,fapun3,0.110581976,finfish,37.370157,37.370157,45,45,3.369999886,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8066624897703196,-2.201998168816199,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",379,Brazilian_menhaden_adult_fish_muscle_flesh_middle_portion_raw,Brevoortia aurea,fapun3,3.83672,finfish,23.372169,-23.372169,26,26,2.75,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.258096538021482,1.3446178349247548,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",386,Blue_runner_wild_fillet_raw,Caranx crysos,fapun3,1.693064776,finfish,37.370157,37.370157,70,70,3.63,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.248495242049359,0.5265403634940767,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",387,Blue_runner_adult_fish_muscle_flesh_middle_portion_raw,Caranx crysos,fapun3,5.9032,finfish,23.372169,-23.372169,70,70,3.63,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.248495242049359,1.7754945767620198,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",1370,NA,Caranx crysos,fapun3,0.54328,finfish,19.432608,NA,70,70,3.63,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,"seafood market in mexico city, exact source location unkown",NA,19.432608,-99.133208,NA,NA,NA,19.432608,4.248495242049359,-0.6101304381766011,"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336"
"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",388,Crucian_carp_wild_skinless_boneless_fillet_raw,Carassius carassius,fapun3,0.155806,finfish,41.53,41.53,64,64,3.11,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1588830833596715,-1.8591436353755904,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
"Lytle J.S., Lytle T.F. (1994). Fatty acid and cholesterol content of sharks and rays. Journal of Food Composition and Analysis 7: 110-118",389,Blacktip_shark_wild_fillet_along_dorsal_line_raw,Carcharhinus limbatus,fapun3,0.0889,finfish,25.304304,25.304304,262.75,226,4.46,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.420534999272286,-2.420243136462278,"Lytle J.S., Lytle T.F. (1994). Fatty acid and cholesterol content of sharks and rays. Journal of Food Composition and Analysis 7: 110-118"
"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443",392,Leafscale_gulper_shark_wild_dorsal_muscle_raw,Centrophorus squamosus,fapun3,0.364416756,finfish,57.596278,57.596278,164,164,4.4,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.099866427824199,-1.009457132216611,"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443",393,Black_dogfish_wild_dorsal_muscle_raw,Centroscyllium fabricii,fapun3,0.24224649,finfish,57.596278,57.596278,100.75,82,4.13,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.406719247264253,-1.417799517480317,"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443",394,Portuguese_dogfish_wild_dorsal_muscle_raw,Centroscymnus coelolepis,fapun3,0.302915125,finfish,57.596278,57.596278,120,120,4.19,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.787491742782046,-1.1943026282239968,"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",403,Blackfin_icefish_Icefish_adult_fish_muscle_flesh_middle_portion_raw,Chaenocephalus aceratus,fapun3,1.33416,finfish,62,-62,68.75,59,3.96,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07753744390572,0.2883018803311867,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213",80,Snakehead_murrel_wild_skin-on_raw,Channa striata,fapun3,0.0301504,finfish,14.903036,14.903036,100,100,3.36,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605170185988092,-3.5015570888986067,"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",415,Snakehead_wild_boneless_skinless_fillet_raw,Channa striata,fapun3,0.144345883,finfish,15.116386,15.116386,100,100,3.36,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605170185988092,-1.9355428942359327,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",416,Snakehead_wild_boneless_skinless_fillet_raw,Channa striata,fapun3,0.156680469,finfish,15.190255,15.190255,100,100,3.36,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605170185988092,-1.8535467768267195,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",417,Snakehead_wild_boneless_skinless_fillet_raw,Channa striata,fapun3,0.154338459,finfish,15.072255,15.072255,100,100,3.36,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605170185988092,-1.8686073024524408,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",421,Tub_gurnard_wild_boneless_skinless_fillet_raw,Chelidonichthys lucerna,fapun3,0.307470064,finfish,39.53794,39.53794,75,75,3.58,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31748811353631,-1.1793775493201888,"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060"
"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",422,Tub_gurnard_wild_boneless_skinless_fillet_raw,Chelidonichthys lucerna,fapun3,0.031216432,finfish,39.53794,39.53794,75,75,3.58,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31748811353631,-3.4668106561402467,"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060"
"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",423,Tub_gurnard_wild_boneless_skinless_fillet_raw,Chelidonichthys lucerna,fapun3,0.03693424,finfish,39.53794,39.53794,75,75,3.58,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31748811353631,-3.2986162449019165,"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060"
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",1291,NA,Chelidonichthys lucerna,fapun3,0.34718173,finfish,38.963745,NA,75,75,3.58,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,Turkey,"approximate location used, actual location unknown",38.963745,35.243322,NA,NA,NA,38.963745,4.31748811353631,-1.0579069185482155,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",424,Thicklip_grey_mullet_wild_fillet_raw,Chelon labrosus,fapun3,0.188735253,finfish,37.370157,37.370157,79.25,92,2.59,browsing on substrate,plants/detritus+animals (troph. 2.2-2.79),catadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5217885770490405,-1.6674100237066194,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",431,Nase_wild_skinless_boneless_fillet_raw,Chondrostoma nasus,fapun3,0.1915121,finfish,41.53,41.53,50,50,2,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.912023005428146,-1.6528042869789583,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213",44,Walking_catfish_wild_skin-on_fillet_raw,Clarias batrachus,fapun3,0.241696,finfish,14.903036,14.903036,47,47,3.42,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8501476017100584,-1.4200745408510995,"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213"
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",435,African_catfish_wild_skinless_boneless_dorsal_muscle_raw,Clarias gariepinus,fapun3,0.0768,finfish,1.504705,1.504705,170,170,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.135798437050262,-2.566550638828511,"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029"
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",436,African_catfish_wild_skinless_boneless_dorsal_muscle_raw,Clarias gariepinus,fapun3,0.0984,finfish,1.433393,1.433393,170,170,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.135798437050262,-2.3187144749239295,"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029"
"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72",437,Catfish_B_wild_muscle_fillet_raw,Clarias gariepinus,fapun3,1.048082,finfish,0.033333,-0.033333,170,170,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.135798437050262,0.046961827112735936,"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72"
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",438,North_African_catfish_wild_muscle_tissue_raw,Clarias gariepinus,fapun3,0.32797195,finfish,37,37,170,170,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.135798437050262,-1.114827192547574,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",446,Walking_catfish_wild_boneless_skinless_fillet_raw,Clarias macrocephalus,fapun3,0.134722953,finfish,15.116386,15.116386,120,120,3.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.787491742782046,-2.004534809191533,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8"
