ref_info,ref_number,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,notes
"Hadjinikolova L. (2008). Investigations on the chemical composition of carp (Cyprinus carpio L.), bighead carp (Aristichthys nobilis Rich.) and pike (Esox Lusius L.) during different stagees of individual growth. Bulgarian Journal of Agricultural Science 14(2): 121-126",61,"Hadjinikolova, L; ","Investigations on the chemical composition of carp (Cyprinus carpio L.), bighead carp (Aristichthys nobilis Rich.) and pike (Esox lusius L.) during different stages of individual growth",Bulgarian Journal of Agricultural Science,14,2,121-126,2008,,
"Heu M.-S., Kim J.-S., Shahidi F. (2003). Components and nutritional quality of shrimp processing by-products. Food Chemistry 82:235-242",62,"Heu, Min-Soo; Kim, Jin-Soo; Shahidi, Fereidoon; ",Components and nutritional quality of shrimp processing by-products,Food Chemistry,82,2,235-242,2003,Elsevier,
"Ho B.T., Paul D.R. (2009). Fatty acid profile of tra catfish (Pangasius hypophthalmus) compared to Atlantic salmon (Salmo salar) and Asian seabass (Lates calcarifer). Int Food Res J 16: 501-506",63,"Ho, BT; Paul, DR; ",Fatty acid profile of Tra catfish (Pangasius hypophthalmus) compared to Atlantic salmon (Salmo solar) and Asian Seabass (Lates calcarifer),International Food Research Journal,16,4,501-506,2009,,
http://www.sciencedirect.com.ezproxy.library.ubc.ca/science/article/pii/S0308814608007796,64,,,,,,,,,
"Huynh M.D., Kitts D.D. (2009). Evaluating nutritional quality of pacific fish species from fatty acid signatures. Food Chemistry 114: 912-918",65,"Huynh, Minh Dieu; Kitts, David D; ",Evaluating nutritional quality of pacific fish species from fatty acid signatures,Food Chemistry,114,3,912-918,2009,Elsevier,
"Ifon E.T., Umoh I.B. (1987). Biochemical and nutritional evaluation of Egreria radiata (Clam), a delicacy of some riverine peasant populations in Nigeria. Food Chemistry 24: 21-27",66,"Ifon, ET; Umoh, IB; ","Biochemical and nutritional evaluation of Egreria radiata (clam), a delicacy of some riverine peasant populations in Nigeria",Food chemistry,24,1,21-27,1987,Elsevier,
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",67,"JAHNCKE, MICHAEL L; GOOCH, JANET A; ",Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species,Journal of food science,62,3,626-631,1997,Wiley Online Library,
"Jankowska B., ZakÑ_Å_ Z., Å_mijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405",68,"Jankowska, Barbara; Zak__, Zdzis_aw; _mijewski, Tomasz; Szczepkowski, Miros_aw; ",A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch Sander lucioperca (L.),European Food Research and Technology,217,5,401-405,2003,Springer,
"Jankowska B., ZakÑ_Å_ Z., Å_mijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201",69,"Jankowska, B; Zak__, Z; _mijewski, T; Szczepkowski, M; ",Fatty acid composition of wild and cultured northern pike (Esox lucius),Journal of Applied Ichthyology,24,2,196-201,2008,Wiley Online Library,
"JimÍ©nez-Arce G. (1993). ComposiciÍ_n quÍ_mico-nutricional en diferentes tallas y sexos del cambute, Strombus gracilior (Mesogastropoda: Strombidae) de Playa PanamÍç, Costa Rica. Rev. Biol. Trop. 41(3): 345-349",70,"Jim_nez-Arce, G; ","Chemical and nutritional composition in the marine snail Strombus gracilior (Mesogastropoda: Strombidae) of various sizes and sexes in Playa Panam_, Costa Rica",Revista de biologia tropical,41,3A,345-349,1993,,
"Kalay M., SangÍ_n M.K., Ayas D., GÍ_Í_er M. (2008). Chemical composition and some trace element levels of thinlip mullet, Liza ramada caught from Mersin Gulf. Ekoloji 17(68): 11-16",71,"Kalay, Mustafa; Sang™n, Mustafa Kemal; Ayas, Deniz; G_çer, Mustafa; ","Chemical composition and some trace element levels of thinlip mullet, Liza ramada caught from Mersin Gulf",,,,,2008,,
"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",72,"Kalogeropoulos, Nick; Andrikopoulos, Nikolaos K; Hassapidou, Maria; ",Dietary evaluation of Mediterranean fish and molluscs pan_fried in virgin olive oil,Journal of the Science of Food and Agriculture,84,13,1750-1758,2004,Wiley Online Library,
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",73,"Kamal, D; Khan, AN; Rahman, MA; Ahamed, F; ","Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh.",Pakistan journal of biological sciences: PJBS,10,9,1559-1561,2007,,
"Karahadian C., Fowler K.P., Dyveke H.C. (1995). Comparison of chemical composition of striped bass (Morone saxatilis) from three Chesapeake Bay tributaries with those of two aquaculture hybrid striped bass types. Food Chemistry 54(4): 409-418",74,"Karahadian, Carol; Fowler, Kelly P; Cox, Dyveke H; ",Comparison of chemical composition of striped bass (Marone saxatilis) from three Chesapeake Bay tributaries with those of two aquaculture hybrid striped bass types,Food chemistry,54,4,409-418,1995,Elsevier,
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",75,"Karakoltsidis, Pavlos A; Zotos, Anastasios; Constantinides, Spiros M; ","Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs",Journal of food composition and analysis,8,3,258-273,1995,Elsevier,
"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258_„_273.",76,"Karakoltsidis, Pavlos A; Zotos, Anastasios; Constantinides, Spiros M; ","Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs",Journal of food composition and analysis,8,3,258-273,1995,Elsevier,
"Karakoltsidis, Pavlos A., Anastasios Zotos, and Spiros M. Constantinides. ""Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs.""‘_Journal of Food Composition and Analysis‘_8.3 (1995): 258-273.",77,"Karakoltsidis, Pavlos A., Anastasios Zotos, and Spiros M. Constantinides","Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs",Journal of food composition and analysis,8,,258-273,1995,,
"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",78,"Karapanagiotidis, Ioannis T; Yakupitiyage, Amararatne; Little, David C; Bell, Michael V; Mente, Eleni; ",The nutritional value of lipids in various tropical aquatic animals from rice_fish farming systems in northeast Thailand,Journal of Food Composition and Analysis,23,1,08-Jan,2010,Elsevier,
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",79,"Karnjanapratum, Supatra; Benjakul, Soottawat; Kishimura, Hideki; Tsai, Yung-Hsiang; ",Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea,Food chemistry,141,4,4138-4145,2013,Elsevier,
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",80,"Jiang, Ke-Ji; Zhang, Feng-Ying; Pi, Yan; Jiang, Li-Li; Yu, Zhong-Li; Zhang, Dan; Sun, Man-Man; Gao, Lu-Jiao; Qiao, Zhen-Guo; Ma, Ling-Bo; ","Amino acid, fatty acid, and metal compositions in edible parts of three cultured economic crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis",Journal of Aquatic Food Product Technology,23,1,73-86,2014,Taylor & Francis,
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",81,"King, I; Childs, MT; Dorsett, C; Ostrander, JG; Monsen, ER; ","Shellfish: proximate composition, minerals, fatty acids, and sterols.",Journal of the American Dietetic Association,90,5,677-685,1990,,
"Koubaa A., Abdelmouleh A., Bouain A., Mihoubi N.B. (2010). Experimental and statistical investigations of the global chemical composition of six trawling fish of the Gulf of GabÍ©s (Mediterranean Sea). Journal of the Marine Biological Association of the United Kingdom. 1-7 (article in press).",82,"Koubaa, Aida; Abdelmouleh, Abdelwaheb; Bouain, Abderrahmen; Mihoubi, Nourhène Boudhrioua; ",Experimental and statistical investigations of the global chemical composition of six trawling fish of the Gulf of Gabes (Mediterranean Sea),Journal of the Marine Biological Association of the United Kingdom,91,8,1689-1695,2011,Cambridge University Press,
"KÍ_Í_Í_kgÍ_lmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",83,"Kªçªkgªlmez, Aygªl; Celik, Mehmet; Ersoy, Beyza; Yanar, Yasemen; ",Effects of season on proximate and fatty acid compositions of two mediterranean fish_the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus),International journal of food science & technology,45,5,1056-1060,2010,Wiley Online Library,
"Kuhnlein &Soueida, 1992",84,"Kuhnleini, Harriet V; Soueida, Rula; ",Use and nutrient composition of traditional Baffin Inuit foods,Journal of Food Composition and Analysis,5,2,112-126,1992,Elsevier,
"Kuhnlein et al, 1991",85,"Kuhnlein, Harriet V; Kubow, Stan; Soueida, Rula; ",Lipid components of traditional Inuit foods and diets of Baffin Island,Journal of Food Composition and Analysis,4,3,227-236,1991,Elsevier,
"Kuhnlein et al, 1994",86,"Kuhnlein, Harriet V; Appavoo, Donna; Morrison, Natalia; Soueida, Rula; Pierrot, Patricia; ",Use and nutrient composition of traditional Saht“ (Hareskin) Dene/M_tis foods,Journal of Food Composition and Analysis,7,3,144-157,1994,Elsevier,
"Kuhnlein et al, 2002",87,"Kuhnleini, Harriet V; Soueida, Rula; ",Use and nutrient composition of traditional Baffin Inuit foods,Journal of Food Composition and Analysis,5,2,112-126,1992,Elsevier,
"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",88,"Kuhnlein, HV; Chan, HM; Leggee, D; Barthet, V; ","Macronutrient, mineral and fatty acid composition of Canadian Arctic traditional food",Journal of food composition and analysis,15,5,545-566,2002,Elsevier,
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",89,"Kwetegyeka, Justus; Mpango, George; Grahl-Nielsen, Otto; ",Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga,Lipids,43,11,1017-1029,2008,Springer,
"Lapa - Guimaraes J., De Felicio P. E., Guzman E.S.C. (2005). Chemical and microbial analyses of squid muscle (Loligo plei) during storage in ice. Food Chemistry. 91: 477 - 483",90,"Lapa-GuimarÊes, Judite; de Felêcio, Pedro Eduardo; Guzm_n, Emêlio Segundo Contreras; ",Chemical and microbial analyses of squid muscle (Loligo plei) during storage in ice,Food chemistry,91,3,477-483,2005,Elsevier,
"Latyshev N.A., Kasyanov S.P., Kharlamenko V.I., Svetashev V.I. (2009). Lipids and of fatty acids od edible crabs o the north-western Pacific. Food Chemistry 116: 657-661",91,"Latyshev, Nikolay A; Kasyanov, Sergey P; Kharlamenko, Vladimir I; Svetashev, Vasily I; ",Lipids and of fatty acids of edible crabs of the north-western Pacific,Food chemistry,116,3,657-661,2009,Elsevier,
Laxmilatha P. (2009). Proximate composition of the surf clam Mactra violacea (Gmelin 1791). Indian J. Fish. 56(2): 147-150,92,"Laxmilatha, P; ",Proximate composition of the surf clam Mactra violacea (Gmelin 1791),Indian Journal of Fisheries,56,2,147-150,2009,CMFRI; Kochi,
"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",93,"Lazos, Evangelos S; Aggelousis, George; Alexakis, Alexandros; ",Metal and proximate composition of the edible portion of 11 freshwater fish species,Journal of Food Composition and Analysis,2,4,371-381,1989,Elsevier,
"Liu L.L., Wang S.P. (2002). Histology and biochemical composition of the autotomy mantle of Ficus ficus (Mesogastropoda: Ficidae). Acta Zoologica 83:111-116",94,"Liu, LL; Wang, SP; ",Histology and biochemical composition of the autotomy mantle of Ficus ficus (Mesogastropoda: Ficidae),Acta Zoologica,83,2,111-116,2002,Wiley Online Library,
"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299",95,"Loukas, Vassilis; Dimizas, Christos; Sinanoglou, Vassilia J; Miniadis-Meimaroglou, Sofia; ","EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco and Trigla lyra from Mediterranean Sea",Chemistry and physics of lipids,163,3,292-299,2010,Elsevier,
"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153",96,"Lourenço, HM; Anacleto, P; Afonso, C; Ferraria, V; Martins, MF; Carvalho, ML; Lino, AR; Nunes, ML; ",Elemental composition of cephalopods from Portuguese continental waters,Food Chemistry,113,4,1146-1153,2009,Elsevier,
"LourenÍ_o H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580",97,"Lourenço, Helena M; Anacleto, Patrêcia; Afonso, Clöudia; Martins, Maria F; Carvalho, Maria L; Lino, Ana R; Nunes, Maria L; ",Chemical characterisation of Nephrops norvegicus from Portuguese coast,Journal of the Science of Food and Agriculture,89,15,2572-2580,2009,Wiley Online Library,
"ÅÅuczyÅ ska J., ToÅ ska E., ÅÅuczyÅ ski M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",98,"_uczy_ska, Joanna; To_ska, El_bieta; _uczy_ski, Marek J; ",Essential mineral components in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland),Fisheries & Aquatic Life,17,4,171-178,2009,,
"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97",99,"Luzia, Liania A; Sampaio, Geni R; Castellucci, Clöudia MN; Torres, Elizabeth AFS; ",The influence of season on the lipid profiles of five commercially important species of Brazilian fish,Food chemistry,83,1,93-97,2003,Elsevier,
"Lytle J.S., Lytle T.F. (1994). Fatty acid and cholesterol content of sharks and rays. Journal of Food Composition and Analysis 7: 110-118",100,"Lytle, Julia S; Lytle, Thomas F; ",Fatty acid and cholesterol content of sharks and rays,Journal of Food Composition and Analysis,7,02-Jan,110-118,1994,Elsevier,
"M. S. Astorga EspaÍ±a, E. M. RodrÍ_guez RodrÍ_guez & C. DÍ_az Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",101,"ROMERO, C DêAZ; ","Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): their contribution to dietary intake",International journal of food sciences and nutrition,56,5,347,2005,,
"M.S. Astorga-EspaÍ±a, E.M. RodrÍ_guez-RodrÍ_guez, C. DÍ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273_„_279",102,"Espa_a, MS Astorga; Rodrêguez, EM Rodrêguez; Romero, C Dêaz; ",Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile),Journal of food composition and analysis,20,04-Mar,273-279,2007,Elsevier,
"Mahanty, A., Ganguly, S., Verma, A., Sahoo, S., Mitra, P., Paria, P., Sharma, A.P., Singh, B.K. and Mohanty, B.P., 2014. Nutrient profile of small indigenous fish Puntius sophore: proximate composition, amino acid, fatty acid and micronutrient profiles. National Academy Science Letters, 37(1), pp.39-44.",103,"Mahanty, Arabinda; Ganguly, Satabdi; Verma, Anjali; Sahoo, Shilpa; Mitra, Priyanka; Paria, Prasenjit; Sharma, Anil Prakash; Singh, Brijesh Kumar; Mohanty, Bimal Prasanna; ","Nutrient profile of small indigenous fish Puntius sophore: proximate composition, amino acid, fatty acid and micronutrient profiles",National Academy Science Letters,37,1,39-44,2014,Springer,
"Mai J., Shetty J.K., Kan T.-M., Kinsella J.E. (1980). protein and amino acid composition of select freshwater fish. J. Agric. Food Chem. 28(4): 884-885",104,"Mai, Jimbin; Shetty, Jayarama K; Kan, Tze-Ming; Kinsella, John E; ",Protein and amino acid composition of select freshwater fish,Journal of agricultural and food chemistry,28,4,884-885,1980,ACS Publications,
"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",105,"Mairesse, Guillaume; Thomas, Marielle; Gardeur, Jean_No•l; Brun_Bellut, Jean; ","Effects of geographic source, rearing system, and season on the nutritional quality of wild and farmed Perca fluviatilis",Lipids,41,3,221-229,2006,Wiley Online Library,
"Majumdar R.K., Basu S. (2009). Studies on seasonal variation in the biochemical composition of the Indian shad, Tenualosa ilisha (Hamilton, 1822). Indian J. Fish 56(3): 205-209",106,"Majumdar, RK; Basu, S; ","Studies on seasonal variation in the biochemical composition of the Indian shad, Tenualosa ilisha (Hamilton, 1822).",Indian Journal of Fisheries,56,3,205-209,2009,Central Marine Fisheries Research Institute,
"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",107,"Marques, Ant‹nio; Teixeira, B_rbara; Barrento, Sara; Anacleto, Patrêcia; Carvalho, Maria Luêsa; Nunes, Maria Leonor; ",Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications,Journal of Food Composition and Analysis,23,3,230-237,2010,Elsevier,
"MartÍ_nez B., Miranda J.M., Nebot C., Rodriguez J.L., Cepeda A., Franco C.M. (2010). Differentiation of farmed and wild turbot (Psetta maxima): Proximate chemical composition, fatty acid profile, trace minerals and antimicrobial resistance of contaminant bacteria. Food Sci Tech Int 16(5): 435-437",108,"Martênez, B; Miranda, JM; Nebot, C; Rodriguez, JL; Cepeda, A; Franco, CM; ","Differentiation of farmed and wild turbot (Psetta maxima): proximate chemical composition, fatty acid profile, trace minerals and antimicrobial resistance of contaminant bacteria",Food science and technology international,16,5,435-441,2010,"Sage Publications Sage UK: London, England",
"Martino R.C., Da Cruz G.M. (2004). Proximate Composition and Fatty Acid Content of the Mangrove Crassostrea rhizophorae along the year seasons. Brazilian Archives of Biology and Technology 47: 955 - 960",109,"Martino, Ricardo Cavalcanti; Cruz, Gracinda Maria da; ",Proximate composition and fatty acid content of the mangrove oyster Crassostrea rhizophorae along the year seasons,Brazilian Archives of Biology and Technology,47,6,955-960,2004,SciELO Brasil,
"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72",110,"Masa, Justus; Ogwok, Patrick; Muyonga, John Herbert; Kwetegyeka, Justus; Makokha, Vincent; Ocen, Denis; ","Fatty acid composition of muscle, liver, and adipose tissue of freshwater fish from Lake Victoria, Uganda",Journal of Aquatic Food Product Technology,20,1,64-72,2011,Taylor & Francis,
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",111,"Mathew, Suseela; Ammu, K; Nair, PG Viswanathan; Devadasan, K; ",Cholesterol content of Indian fish and shellfish,Food Chemistry,66,4,455-461,1999,Elsevier,
"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243",112,"Mattila, Pirjo; Piironen, Vieno; Uusi-Rauva, Esko; Koivistoinen, Pekka; ",Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products,Journal of food composition and analysis,8,3,232-243,1995,Elsevier,
"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243",113,"Mattila, Pirjo; Piironen, Vieno; Uusi-Rauva, Esko; Koivistoinen, Pekka; ",Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products,Journal of food composition and analysis,8,3,232-243,1995,Elsevier,
"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160",114,"Mattila, Pirjo; Ronkainen, Riitta; Lehikoinen, Kaisa; Piironen, Vieno; ","Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms",Journal of Food Composition and Analysis,12,3,153-160,1999,Elsevier,
"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160",115,"Mattila, Pirjo; Ronkainen, Riitta; Lehikoinen, Kaisa; Piironen, Vieno; ","Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms",Journal of Food Composition and Analysis,12,3,153-160,1999,Elsevier,
MÍ©ndez E. GonzÍçlez R.M. (1997). Seasonal changes in the chemical and lipid composition of fillets of the Southwest Atlantic hake (Merluccius hubbsi). Food Chemistry 59(2): 213-217,116,"M_ndez, Eduardo; Gonzölez, Ruth M; ",Seasonal changes in the chemical and lipid composition of fillets of the Southwest Atlantic hake (Merluccius hubbsi),Food chemistry,59,2,213-217,1997,Elsevier,
"MÍ©ndez E., GonzÍçlez R.M., Inocente G., Giudice H., Grompone M.A. (1996). Lipid content and fatty acid composition of fillets of six fishes from the Rio de la Plata. Journal of Food Composition and Analysis 9: 163-170",117,"M_ndez, Eduardo; Gonz_lez, Ruth M; Inocente, Gustavo; Giudice, Horacio; Grompone, Mar__a A; ",Lipid content and fatty acid composition of fillets of six fishes from the Rio de la Plata,Journal of Food Composition and Analysis,9,2,163-170,1996,Elsevier,
"Miniadis-Meimaroglou S., Dimizas C., Loukas V., Moukas A., Vlachos A., Thomaidis N., Paraskevopoulou V., Dasenakis M. (2007). Proximate composition, fatty acids, cholesterol, minerals in frozen red porgy. Chemistry and Physics of Lipids 146: 104-110",118,"Miniadis-Meimaroglou, Sofia; Dimizas, Christos; Loukas, Vassilis; Moukas, Athanasios; Vlachos, Alexandra; Thomaidis, Nikolaos; Paraskevopoulou, Vassiliki; Dasenakis, Manolis; ","Proximate composition, fatty acids, cholesterol, minerals in frozen red porgy",Chemistry and Physics of Lipids,146,2,104-110,2007,Elsevier,
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",119,"Moreira, Altair B; Visentainer, Jesu__ V; de Souza, Nilson E; Matsushita, Makoto; ",Fatty acids profile and cholesterol contents of three Brazilian Brycon freshwater fishes,Journal of food composition and analysis,14,6,565-574,2001,Elsevier,
"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",120,"Musaiger, > Abdulrahman O; Al-Rumaidh, Mohammed J; ",Proximate and mineral composition of crab meat consumed in Bahrain,International journal of food sciences and nutrition,56,4,231-235,2005,Taylor & Francis,
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",121,"Bragagnolo, N., and D. B. Rodriguez-Amaya","Total lipid, cholesterol, and fatty acids of farmed freshwater prawn (Macrobrachium rosenbergii) and wild marine shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri).",Journal of Food Composition and Analysis,14,4,359-369,2001,Elsevier,
"Nakamura Y.-N., Ando M., Seoka M., Kawasaki K.-i., Tsukamasa Y. (2007). Changes of proximate anf fatty acid compositions of the dorsal and ventral ordinary muscles of the full-cycle cultured Pacific bluefin tuna Thunnus orientalis with growth. Food Chemistry 103: 234-241",122,"Nakamura, Yoshi-Nori; Ando, Masashi; Seoka, Manabu; Kawasaki, Ken-ichi; Tsukamasa, Yasuyuki; ",Changes of proximate and fatty acid compositions of the dorsal and ventral ordinary muscles of the full-cycle cultured Pacific bluefin tuna Thunnus orientalis with the growth,Food Chemistry,103,1,234-241,2007,Elsevier,
"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260",123,"NETTLETON, JOYCE A., and JACOB EXLER",Nutrients in wild and farmed fish and shellfish,Journal of Food Science,57,2,257-260,1992,Wiley Online Library,
"NjinkouÍ© J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402",124,"Njinkou_, Jean-Michel; Barnathan, Gilles; Miralles, Joseph; Gaydou, Emile-Marcel; Samb, Abdoulaye; ","Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops",Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,131,3,395-402,2002,Elsevier,
"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213",125,"Nurhasan, Mulia; Maehre, Hanne K; Malde, Marian Kjellevold; Stormo, Svein K; Halwart, Matthias; James, David; Elvevoll, Edel O; ",Nutritional composition of aquatic species in Laotian rice field ecosystems,Journal of Food Composition and Analysis,23,3,205-213,2010,Elsevier,
