ref_info,ref_number
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5
"Rueda F.M., Hernández M.D., Egea M.A., Aguado F., García B., Martínez F.J. (2001). Differences in tissue fatty acid composition between reared and wild sharpsnout sea bream, Diplodus puntazzo (Cetti, 1777). British Journal of Nutrition 86: 617-622",174
"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",160
"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201",69
"Selmi S., Sadok S. (2008). The influence of season on lipid content and fatty acids profile of Euthynnus alletteratus fillets and by-products. Journal of Muscle Foods 21: 365-378",181
"Procopia de Moura A.F., Torres R.P., Mancini - Filho J., Filho A.T. (2002). Caracterizacao da fracao lipidica de amostras comercias de camarao - rosa. Archivos Latinamericanos de Nutricion 52: 207 - 211",162
"Olsson G.B., Olsen R.L., Carlehög M., Ofstad R. (2003). Seasonal variations in chemical and sensory characteristics of farmed and wild Atlantic halibut (Hippoglossus hippoglossus). Aquaculture 217: 191-205",132
"Stephen N.M., Shakila J.R., Jeyasekaran G., Sukumar D. (2010). Effect of different types of heat processing on chemical changes in tuna. J Food Sci Technol 47(2): 174-181",191
"Ho B.T., Paul D.R. (2009). Fatty acid profile of tra catfish (Pangasius hypophthalmus) compared to Atlantic salmon (Salmo salar) and Asian seabass (Lates calcarifer). Int Food Res J 16: 501-506",63
"Phillips K.L., Jackson G.D., Nichols P.D. (2001). Prediation on myctophids by the squid Moroteuthis ingens around Macquarie and Heard Islands: stomach content and fatty acid analyses. Mar Ecol Progr Ser 215: 179-189",157
"Tsape K., Sinanoglou V.J., Miniadis - Meimaroglou S. (2010). Comparative analysis of the fatty acid and sterol profiles of widly consumed Mediterranean crustacean species. Food Chemistry 122: 292 - 299",198
"Álvarez V., Medina I., Prego R., Aubourg S.P. (2009). Lipid and mineral distribution in different zones of farmed and wild blackspot seabream (Pagellus bogaraveo). Eur. J. Lipid Sci. Technol. 111: 957-966",4
"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299",95
"Bragagnolo N., Rodriguez-Amaya D.B. (2001). Total lipid, cholesterol, and fatty acids of farmed freshwater prawn (Macrobrachium rosenbergii) and wild marine shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri). Journal of Food Composition and Analysis 14: 359-369",25
"Osako K., Saito H., Weng W., Kuwahara K., Tanaka M. (2009). Lipid characteristics of coastal migratory Sarda orientalis tissues. Fish Sci 75: 1055-1066",136
"Özyurt G. Duysak Ö., Akamca E., Tureli C. (2006). Seasonal changes of fatty acids of cuttlefish Sepia officinalis L. (Mollusca: Cephalopoda) in the north eastern Mediterranean sea. Food Chemistry 95: 382-385",153
"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",12
"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",2
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",203
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",166
"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",138
"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",105
"Rodríguez C., Acosta C., Badía P., Cejas J.R., Santamaría F.J., Lorenzo A. (2004). Assessment of lipid and essential fatty acids requirements of black seabream (Spondyliosoma cantharus) by comparison of lipid composition in muscle and liver of wild and captive adult fish. Comparative Biochemistry and Physiology, PartB 139:619-629",170
"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",176
"Appavoo et al, 1991",8
Méndez E. González R.M. (1997). Seasonal changes in the chemical and lipid composition of fillets of the Southwest Atlantic hake (Merluccius hubbsi). Food Chemistry 59(2): 213-217,116
"Rasoarahona J.R.E., Barnathan G., Bianchini J.-P., Gaydou E.M. (2005). Influence of season on the lipid content and fatty acid profiles of three tilapia species (Oreochromis niloticus, O. macrochir and Tilapia rendalli) from Madagascar. Food Chemistry 91:683-694",165
"Kuhnlein et al, 1991",85
"Belinsky et al, 1996",17
"Kuhnlein et al, 1994",86
"Kuhnlein et al, 2002",87
"Kuhnlein &Soueida, 1992",84
"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",140
"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",139
"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243",113
"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243",112
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",111
"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160",115
"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160",114
"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97",99
"Stanek M., Kupcewicz B., Dabrowski J., Janicki B. (2010). Estimation of Fat content and Fatty acids profile in the meat of spiny - cheek crayfish (Orconeces Limosus Raf.) from the Brda river and the lake Goplo). Journal Central European Agriculture 11: 297 - 304",188
"Surtt J., Lee H.J., Kwon H. (2009). Regional Difference in Fatty Acid Content of Korean Shellfish. Food Sci. Biotechnol 18: 367 - 373",192
"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029",89
"Bachok Z., Meziane T., Mfilinge P.L., Tsuchiaya M. (2009). Fatty acid markers as an indicator for temporal changes in food sources of the bivalve Quidnipagus palatum. Aquatic Ecosystem Health Management 12: 390-400",9
"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700",51
"Cripps G.C., Watkins J.L., Hill H.J., Atkinson A. (1999). Fatty acid content of Antartic krill Euphausia superba at South Georgia related to regional populations and variations in diet. Mar. Ecol. Prog. Ser. 181: 177-188",36
"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",121
Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,187
"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2006). Effect of way of cooking on content of essential polyunsaturated fatty acids in muscle tissue of humpback salmon (Oncorhynchus gorbuscha). Food Chemistry 96: 446-451",50
"Sushchik N.N., Gladyshev M.I., Kalachova G.S. (2007). Seasonal dynamics on fatty acid content of a common food fish from the Yenisei river, Serbian grayling, Thymallus arcticus. Food Chemistry 104: 1353 - 1358",193
"Skonberg, Denise I., and Brian L. Perkins. ""Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat."" Food Chemistry 77.4 (2002): 401-404.",186
"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",98
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",101
"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855",197
"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109",172
"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258–273.",76
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",171
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",6
"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498.",53
"Zied Zarai,a∗ Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265–1270. 2011",216
"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",13
"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153",96
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",79
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",211
"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",102
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",20
"Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580",97
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",54
"Göksu M.Z., Akar M., Cevik F., Findik Ö. (2005). Bioaccumulation of some heavy metals (Cd, Fe, Zn, Cu) in two bivalvia species (Pinctada radiata, Leach 1814 and Brachidontes pharaonis, Fischer 1870). Turk J Vet Anim Sci 29: 89-93",55
http://www.sciencedirect.com.ezproxy.library.ubc.ca/science/article/pii/S0308814608007796,64
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",80
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",15
"Yap C.K., Ismail A., Tan S.G. (2004). Heavy metal (Cd, Cu, Pb and Zn) concentrations in the green-lipped mussel Perna viridis (Linnaeus) collected from some wild and aquacultural sites in the west coast of Peninsular Malaysia. Food Chemistry 84: 569-575",213
"Eslami S., Hajizadeh Moghaddam A., Jafari N., Nabavi S.F., Nabavi M.S., Ebrahimzadeh M.A. (2010). Trace element level in different tissues of Rutilus frisii kutum collected from Tajan river, Iran. Biological Trace Element Research 1-9 (article in press)",45
"Sankar, T. V., Anandan, R., Mathew, S., Asha, K. K., Lakshmanan, P. T., Varkey, J., ... & Mohanty, B. P. (2013). Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala Coast, India. Eur. J. Exp. Biol, 3(1), 85-89.",177
"Exler, J. (1987). Composition of foods: finfish and shellfish products, raw, processed, prepared. Agriculture Handbook Number 8-15. US Department of Agriculture, Human Nutrition Information Service.",46
