include,trad_food_id,Food Item ID,Subgroup,database,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,CA(mg),FE(mg),ZN(mg),F20D5N3(g),F22D6N3(g),AS(mcg),CD(mcg),HG(mcg),PB(mcg)
y,50,15015,Finfish,USDA,,,32,COD,,"Fish, cod, Atlantic, raw",r,Gadus morhua (L.),,Gadus morhua,,,,,2014,SR27,16,0.38,0.45,0.064,0.12,,,,
y,55,0900406,Finfish,biocomp,"Norway, Northern Sea",W,31,HAL,,"Atlantic halibut, wild, ventral white fillet (skinless, boneless, visible fat removed), raw",r,Hippoglossus hippoglossus ,Atlantic halibut ,Hippoglossus hippoglossus ,Aug,"mean length and weight (gutted): 71cm, 4194g; immature fish",,FA: tr= <0.001g FA/100g muscle,2003,fi77,,,,0.016,0.033,,,,
y,55,0900408,Finfish,biocomp,"Iceland, off the north-west coast, Atlantic Sea",W,31,HAL,,"Atlantic halibut, wild, fillet (without visible fat), raw",r,Hippoglossus hippoglossus ,Atlantic halibut,Hippoglossus hippoglossus ,Jul 2001,meang weight: 1133g,,FAT- (analyzed according to AOAC 1999),2002,fi78,,,,,,,,,
y,55,0902330,Finfish,biocomp,"Norway, The Norwegian Sea",W,31,HAL,Kveite,"Atlantic halibut, wild, raw",r,Hippoglossus hippoglossus,Atlantic halibut,Hippoglossus hippoglossus,"Sep-Oct 2007, Jan 2008",[Muscle B cut],,,2012,fi361,4.3,0.18,0.42,0.34,0.5,,,,
y,55,0074,Finfish,Denmark food composition,,,31,HAL,,"Halibut, atlantic, raw",r,Hippoglossus hippoglossus,,Hippoglossus hippoglossus,,,,,2009,DK7,15,0.5,0.5,0.187,0.272,,,,
y,56,0901869,Finfish,AnFood,"USA, Oregon/Washington/Alaska",,31,HAP,,"Pacific halibut, skinless muscle flesh, raw",r,Hippoglossus stenolepis,Pacific halibut,Hippoglossus stenolepis,,,,,1976,fi195,,,,,,,,,
y,57,0901920,Crustacean,AnFood,USA/Canada,,43,LBA,,"American lobster, muscle tissue (claw, leg, abdomen), raw",r,Homarus americanus,American lobster,Homarus americanus,,mean weight: 580g; edible tissue defined as muscle+hepatopancreas+gonads+roe,,,2008,fi159,47.3,0.23,2.9,,,1100,2,1,10
y,57,0901921,Crustacean,AnFood,USA/Canada,,43,LBA,,"American lobster, hepatopancreas, raw",r,Homarus americanus,American lobster,Homarus americanus,,mean weight: 580g; edible tissue defined as muscle+hepatopancreas+gonads+roe,,,2008,fi159,29.3,2.9,3.1,,,2000,1100,13,11
y,57,0901922,Crustacean,AnFood,USA/Canada,,43,LBA,,"American lobster, gonads, raw",r,Homarus americanus,American lobster,Homarus americanus,,mean weight: 580g; edible tissue defined as muscle+hepatopancreas+gonads+roe,,,2008,fi159,17.3,1.2,1.7,,,1200,,1,
y,57,0902033,Crustacean,AnFood,USA/Canada,,43,LBA,,"American Lobster, female, muscle from claws, raw",r,Homarus americanus,American Lobster,Homarus americanus,Apr 2007,"total length and weight: 8.95cm, 610.6g; EDIBLE total meat: 0.302",,FA converted using XFA,2009,fi190,,,,,,,,,
y,57,0902034,Crustacean,AnFood,USA/Canada,,43,LBA,,"American Lobster, male, muscle from claws, raw",r,Homarus americanus,American Lobster,Homarus americanus,Apr 2007,"total length and weight: 8.71cm,546.8g; EDIBLE total meat: 0.285",,FA converted using XFA,2009,fi190,,,,,,,,,
y,57,0902037,Crustacean,AnFood,USA/Canada,,43,LBA,,"American Lobster, female, hepatopancreas, raw",r,Homarus americanus,American Lobster,Homarus americanus,Apr 2007,"total length and weight: 8.95cm, 610.6g; EDIBLE total meat: 0.302",,FA converted using XFA,2009,fi190,,,,,,,,,
y,57,0902038,Crustacean,AnFood,USA/Canada,,43,LBA,,"American Lobster, male, hepatopancreas, raw",r,Homarus americanus,American Lobster,Homarus americanus,Apr 2007,"total length and weight: 8.71cm,546.8g; EDIBLE total meat: 0.285",,FA converted using XFA,2009,fi190,,,,,,,,,
y,57,0902039,Crustacean,AnFood,USA/Canada,,43,LBA,,"American lobster, female, gonads, raw",r,Homarus americanus,American Lobster,Homarus americanus,Apr 2007,"total length and weight: 8.95cm, 610.6g; EDIBLE total meat: 0.302",,FA converted using XFA,2009,fi190,,,,,,,,,
y,57,0083,Crustacean,Denmark food composition,,,43,LBA,,"Lobster, raw",r,Homarus vulgaris,,Homarus americanus,,,,,2009,DK7,48,0.3,4.6,0.251,0.118,,,,
y,57,15147,Crustacean,USDA,,,43,LBA,,"Crustacean, lobster, northern, raw",r,Homarus americanus Milne-Edwards,,Homarus americanus,,,,,2014,SR27,84,0.26,3.53,0.102,0.068,,,,
y,60,0900300,Finfish,biocomp,"USA, Alaska, British Columbia, Pacific Northwest waters",W,23,SUS,,"Surf smelt (marine waters), wild, whole fish, raw",r,Hypomesus pretious,Surf smelt,Hypomesus pretious,Summer,"mean length and weight of fish: 15.1cm, 35g",,FA converted using XFA,2009,fi59,,,,0.35548449,0.56855524,,,,
y,62,0900774,Finfish,biocomp,"USA, MS, Tombigbee River",W,13,ITP,,"Channel catfish, wild, fillet, raw",r,Ictalurus punctatus,Channel catfish,Ictalurus punctatus,Apr 1989,,2,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,62,0900775,Finfish,biocomp,"USA, MS, Tombigbee River",W,13,ITP,,"Channel catfish, wild, fillet, raw",r,Ictalurus punctatus,Channel catfish,Ictalurus punctatus,Nov 1988,,2,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,62,15010,Finfish,USDA,,W,13,ITP,,"Fish, catfish, channel, wild, raw",r,Ictalurus punctatus (Rafinesque),,Ictalurus punctatus,,,,,2014,SR27,14,0.3,0.51,0.13,0.234,,,,
y,65,0901905,Finfish,AnFood,"USA, Bering Sea/Puget Sound",,31,ROS,,"Rock sole, skinless fillet, raw",r,Lepidopsetta bilineata,Rock sole,Lepidopsetta bilineata,,,,,1976,fi195,,,,,,,,,
y,65,0900943,Finfish,biocomp,Russia (East),W,31,ROS,,"Rock sole, wild, skinless dorsal fillet, frozen",r,Lepidopsetta bilineata,Rock sole,Lepidopsetta bilineata,,,,FA expressed per DM - conversion to FW,2007,fi146,,,,0.174717,0.111537,,,,
y,67,15108,Finfish,USDA,,,13,LEJ,,"Fish, sunfish, pumpkin seed, raw",r,Lepomis gibbosus (L.),,Lepomis gibbosus,,,,,2014,SR27,80,1.2,1.55,0.037,0.072,,,,
y,70,0900136,Finfish,biocomp,"Poland, Dargin Lake",W,13,FBU,,"Burbot, wild, dorsal muscle, raw",r,Lota lota,Burbot,Lota lota,Jun 1997,"length and weight: 39.3cm, 524.7g",1,Minerals given per DM - conversion to FW,2009,fi26,11.5947,0.146668,0.82253,,,,,,
y,70,0900920,Finfish,biocomp,"USA, NY, Ithaca, Cayuga Lake",W,13,FBU,,"Burbot, wild, fillet, raw",r,Lota lota,Burbot,Lota lota,,,1,,1980,fi141,,,,,,,,,
y,70,0934,Finfish,Denmark food composition,,,13,FBU,,"Burbot, raw",r,Lota lota,,Lota lota,,,,,2009,DK7,38,0.4,0.53,,,,,,
y,70,15006,Finfish,USDA,,,13,FBU,,"Fish, burbot, raw",r,Lota lota (L.),,Lota lota,,,,,2014,SR27,50,0.9,0.76,0.07,0.096,,,,
y,71,0900303,Finfish,biocomp,"USA, Alaska, British Columbia, Pacific Northwest waters",W,37,CAP,,"Capelin, wild, whole fish, raw",r,Mallotus villosus,Capelin,Mallotus villosus,Summer,"mean length and weight of fish: 14.3cm, 26g",,FA converted using XFA,2009,fi59,,,,0.36230105,0.45922235,,,,
y,71,0901262,Finfish,biocomp,"Iceland, North Atlantic",W,37,CAP,Loðnuhrogn   ,"Capelin, roe, wild, raw",r,"Mallotus villosus (Müller, 1776)",Capelin,Mallotus villosus,,,7,,2011,im11,39,0.16,2.3,,,,,1.5,
y,72,0901407,Finfish,AnFood,Unknown,,32,HAD,,"Haddock, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,,,2,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,,,,0.018,0.06,,,,
y,72,0902221,Finfish,AnFood,Unknown,,32,HAD,,"Haddock, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,,,5,,2007,fi244,9.2,0.28,0.32,,,,,,
y,72,0900632,Finfish,biocomp,"Unknown, Nolsoyar Bank",W,32,HAD,,"Haddock, wild, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",1,,2006,fi105,,,,,,,,,
y,72,0900633,Finfish,biocomp,"Unknown, Nolsoyar Bank",W,32,HAD,,"Haddock, wild, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",1,,2006,fi105,,,,,,,,,
y,72,0901251,Finfish,biocomp,"Iceland, North Atlantic",W,32,HAD,"Ýsa, flök","Haddock, wild, fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,,data entered without mean/max/SD,13,,2011,im11,7.8,0.11,0.29,,,,,5,
y,72,0901286,Finfish,biocomp,"Iceland, North Atlantic",W,32,HAD,"Ýsa, flök","Haddock, wild, fillet, raw",r,Melanogrammus aeglefinus ,Haddock,Melanogrammus aeglefinus,,,,FAME converted using ShF and XFA,2011,im11,,,,0.060220439,0.137400308,,,,
y,72,0901287,Finfish,biocomp,"Iceland, North Atlantic",W,32,HAD,"Ýsa, flök","Haddock, wild, fillet, raw",r,Melanogrammus aeglefinus ,Haddock,Melanogrammus aeglefinus,,,,FAME converted using ShF and XFA,2011,im11,,,,0.044520072,0.115993934,,,,
y,72,0901288,Finfish,biocomp,"Iceland, North Atlantic",W,32,HAD,"Ýsa, flök","Haddock, wild, fillet, raw",r,Melanogrammus aeglefinus ,Haddock,Melanogrammus aeglefinus,,,,FAME converted using ShF and XFA,2011,im11,,,,0.057734954,0.117637353,,,,
y,72,0901297,Finfish,biocomp,"Iceland, North Atlantic",W,32,HAD,"Ýsa, flök","Haddock, wild, fillet, raw",r,Melanogrammus aeglefinus ,Haddock,Melanogrammus aeglefinus,,,,,2011,im11,,,,,,,,,
y,72,0471,Finfish,Denmark food composition,,,32,HAD,,"Haddock, raw",r,Melanogrammus aeglefinus,,Melanogrammus aeglefinus,,,,,2009,DK7,18,0.6,0.3,0.129,0.387,,,,
y,72,15033,Finfish,USDA,,,32,HAD,,"Fish, haddock, raw",r,Melanogrammus aeglefinus (L.),,Melanogrammus aeglefinus,,,,,2014,SR27,11,0.17,0.32,0.042,0.089,,,,
y,75,0900298,Finfish,biocomp,"USA, Alaska, British Columbia, Pacific Northwest waters",W,32,NHA,,"Pacific hake, wild, skinless fillet, raw",r,Merluccius productus,North pacific hake,Merluccius productus,Summer,"mean length and weight of fish: 43.4cm, 1173g",,FA converted using XFA,2009,fi59,,,,0.069467419,0.118810272,,,,
y,75,0900837,Finfish,biocomp,"USA, OR, Northeast Pacific, Astoria",W,32,NHA,,"Pacific whiting, wild, fillet, raw",r,Merluccius productus,North Pacific hake,Merluccius productus,,,,,1984,fi125,9.2,0.2579,0.3969,,,,,11.5,
y,75,0900838,Finfish,biocomp,"USA, OR, Northeast Pacific, Astoria",W,32,NHA,,"Pacific whiting, wild, fillet, raw",r,Merluccius productus,North Pacific hake,Merluccius productus,,,,,1984,fi125,10.4,0.2437,0.3052,,,,,11.3,
y,75,0900986,Finfish,biocomp,"USA, north OR coast",W,32,NHA,,"Pacific hake, wild, fillet, raw",r,Merluccius productus,North Pacific hake,Merluccius productus,Aug 1977,"mean length and weight of fish: 53cm, 1000g",1,,1979,fi156,,,,,,,,,
y,78,15020,Finfish,USDA,,,33,CKA,,"Fish, croaker, Atlantic, raw",r,Micropogonias undulatus (L.),,Micropogonias undulatus,,,,,2014,SR27,15,0.37,0.42,0.123,0.097,,,,
y,81,0901900,Finfish,AnFood,"USA, Washington/Oregon/N California",,31,MIP,,"Dover sole, skinless fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus,,,,,1976,fi195,,,,,,,,,
y,81,0900195,Finfish,biocomp,"USA, off the OR coast, Pacific Ocean",W,31,MIP,,"Dover sole, wild, boneless, skinless fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus,Sep 1987,,1,CHOLE-: colorimetric method using ferric chloride (Sweeney and Weihrauch 1976),1991,fi36,,,,0.08,0.09,,,,
y,81,0900831,Finfish,biocomp,"USA, OR, Northeast Pacific, Newport",W,31,MIP,,"Dover sole, wild, fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus,,,,,1984,fi125,11.5,0.1984,0.3428,,,,,12.1,
y,81,0900832,Finfish,biocomp,"USA, AK, Northeast Pacific, Cape Ommaney",W,31,MIP,,"Dover sole, wild, fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus,,,,,1984,fi125,11.9,0.1795,0.3179,,,,,12.8,
y,81,0900833,Finfish,biocomp,"USA, CA, Northeast Pacific, Santa Cruz",W,31,MIP,,"Dover sole, wild, fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus,,,,,1984,fi125,20.2,0.256,0.5056,,,,,10.1,
y,81,0900982,Finfish,biocomp,"USA, north of Astoria Canyon, North Pacific",W,31,MIP,,"Dover sole, wild, fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus,Aug 1977,"mean length and weight of fish: 38cm, 500g",3,,1979,fi156,,,,,,,,,
y,83,0900892,Finfish,biocomp,"USA, MD, Potomac river",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 48.6cm, 2200g",,FA converted using XFA,1995,fi132,,,,0.108376051,0.137723084,,,,
y,83,0900893,Finfish,biocomp,"USA, MD, Upper Bay",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4-5y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 47.2cm, 2000g",,FA converted using XFA,1995,fi132,,,,0.116950645,0.127684165,,,,
y,83,0900894,Finfish,biocomp,"USA, MD, Choptank river",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 57.6cm, 3450g",,FA converted using XFA,1995,fi132,,,,0.109320718,0.092059552,,,,
y,83,0900895,Finfish,biocomp,"USA, MD, Upper Bay",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 48.3cm, 3040g",,FA converted using XFA,1995,fi132,,,,0.153419175,0.2022475,,,,
y,83,0900896,Finfish,biocomp,"USA, MD, Liberty Reservoir",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,Spring (May) 1991,"mean length and weight: 45.7cm, 2120g",,FA converted using XFA,1995,fi132,,,,0.030294607,0.039406969,,,,
y,83,0900897,Finfish,biocomp,"USA, MD, Upper Bay",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Winter (Oct, Nov) 1990","mean length and weight: 32.3cm, 730g",,FA converted using XFA,1995,fi132,,,,0.202316218,0.217035819,,,,
y,83,0900898,Finfish,biocomp,"USA, MD, Choptank river",W,25,STB,,"Striped bass, wild, skinless fillet (incl. belly flaps), male (2y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,Winter (Jan) 1991,"mean length and weight: 48cm, 2300g",,FA converted using XFA,1995,fi132,,,,0.144192955,0.0885191,,,,
y,83,15004,Finfish,USDA,,,33,STB,,"Fish, bass, striped, raw",r,Morone saxatilis (Walbaum),,Morone saxatilis,,,,,2014,SR27,15,0.84,0.4,0.169,0.585,,,,
y,84,0901533,Finfish,AnFood,"Unknown (samples from local fish market, Hyderabad, India)",,33,MUF,,"Mullet, wild, skinless, muscle flesh, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,Dec 1988-Mar 1994,,1,,1993,fi98,15.7,0.8,2.2,,,,,,
y,84,0900321,Finfish,biocomp,"Turkey, local fish market (Meiterranean and Aegean Sea)",W,33,MUF,,"Mullet, wild, fillet, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,,,,FA converted using XFA,2007,fi66,,,,0.18973185,0.138955993,,,,
y,84,0900349,Finfish,biocomp,"Turkey, Mediterranean Sea",W,33,MUF,,"Flathead mullet, wild, fillet, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,,,1,FA converted using XFA,2009,fi67,,,,0.170965683,0.086497201,,,,
y,84,0900421,Finfish,biocomp,"Greece, Aegean Sea",W,33,MUF,Kephalos,"Grey mullet, wild, edible flesh, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,,,,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,fi80,,,,[0.0878312],[0.0988101],,,,
y,84,0900460,Finfish,biocomp,"Greece, Aegean Sea",W,33,MUF,Kephalos,"Grey mullet, wild, edible flesh, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,Spring,,,FAT- (analyzed according to AOAC 1975),1995,fi80,,,,,,,,,
y,84,0900461,Finfish,biocomp,"Greece, Aegean Sea",W,33,MUF,Kephalos,"Grey mullet, wild, edible flesh, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,Fall,,,FAT- (analyzed according to AOAC 1975),1995,fi80,,,,,,,,,
y,84,0900462,Finfish,biocomp,"Greece, Aegean Sea",W,33,MUF,Kephalos,"Grey mullet, wild, edible flesh, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus,Winter,,,FAT- (analyzed according to AOAC 1975),1995,fi80,,,,,,,,,
y,84,15055,Finfish,USDA,,,33,MUF,,"Fish, mullet, striped, raw",r,Mugil cephalus L.,,Mugil cephalus,,,,,2014,SR27,41,1.02,0.52,0.217,0.108,,,,
y,90,0187,Mollusc,Denmark food composition,,,54,MUS,,"Mussel, raw",r,Mytilus edulis,,Mytilus edulis,,,,,2009,DK7,30,7.7,3.4,0.209,0.085,,,,
y,90,15164,Mollusc,USDA,,,54,MUS,,"Mollusks, mussel, blue, raw",r,Mytilus edulis L.,,Mytilus edulis,,,,,2014,SR27,26,3.95,1.6,0.188,0.253,,,,
y,95,0901894,Finfish,AnFood,"USA, SE Alaska/Washington",,23,PIN,,"Pink salmon, skinless fillet, raw",r,Oncorhynchus gorbuscha,Pink(=Humpback)salmon,Oncorhynchus gorbuscha,,,,,1976,fi195,,,,,,,,,
y,95,0900302,Finfish,biocomp,"USA, Alaska, British Columbia, Pacific Northwest waters",W,23,PIN,,"Pink salmon (marine waters), wild, skinless fillet, raw",r,Oncorhynchus gorbusha,Pink salmon,Oncorhynchus gorbusha,Summer,"mean length and weight of fish: 49.5cm, 1528g",,FA converted using XFA,2009,fi59,,,,0.289409995,0.68509049,,,,
y,95,0900504,Finfish,biocomp,"Russia, Siberia",W,23,PIN,,"Humpback salmon, wild, skinless dorsal muscle fillet, frozen",r,Oncorhynchus gorbuscha,Pink salmon,Oncorhynchus gorbusha,,,,FA expressed per DM - conversion to FW,2006,fi84,,,,0.166696,0.328416,,,,
y,95,15083,Finfish,USDA,,,23,PIN,,"Fish, salmon, pink, raw",r,Oncorhynchus gorbuscha (Walbaum),,Oncorhynchus gorbuscha,,,,,2014,SR27,7,0.38,0.39,0.182,0.333,,,,
y,96,0901892,Finfish,AnFood,"USA, Puget Sound",,23,CHU,,"Chum salmon, skinless fillet, raw",r,Oncorhynchus keta,Chum(=Keta=Dog)salmon,Oncorhynchus keta,,,,,1976,fi195,,,,,,,,,
y,96,15079,Finfish,USDA,,,23,CHU,,"Fish, salmon, chum, raw",r,Oncorhynchus keta (Walbaum),,Oncorhynchus keta,,,,,2014,SR27,11,0.55,0.47,0.233,0.394,,,,
y,97,0901895,Finfish,AnFood,"USA, Washington/Oregon/Puget Sound",,23,COH,,"Coho salmon, skinless fillet, raw",r,Oncorhynchus kisutch,Coho(=Silver)salmon,Oncorhynchus kisutch,,,,,1976,fi195,,,,,,,,,
y,97,0900778,Finfish,biocomp,"USA, WA, Neah Bay",W,23,COH,,"Coho salmon, wild, skinless fillet, raw",r,Oncorhynchus kisutch,Coho(=silver)salmon,Oncorhynchus kisutch,Jul 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,97,0900779,Finfish,biocomp,"USA, WA, Neah Bay",W,23,COH,,"Coho salmon, wild, skinless fillet, raw",r,Oncorhynchus kisutch,Coho(=silver)salmon,Oncorhynchus kisutch,Sep 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,97,15081,Finfish,USDA,,W,23,COH,,"Fish, salmon, coho, wild, raw",r,Oncorhynchus kisutch (Walbaum),,Oncorhynchus kisutch,,,,,2014,SR27,36,0.56,0.41,0.429,0.656,,,,
y,98,0901559,Finfish,AnFood,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",,23,TRR,Trucha,"Rainbow trout, muscle flesh, skinless, raw",r,Oncorhynchus mykiss,Rainbow trout,Oncorhynchus mykiss,,,1,FA converted using XFA,2000,fi99,71.33,1.45,,0.02513,0.231196,,,,
y,98,0901913,Finfish,AnFood,"USA, SE Alaska",,23,TRR,,"Steelhead trout, skinless fillet, raw",r,Salmo gairdneri,Rainbow trout,Oncorhynchus mykiss,,,,,1976,fi195,,,,,,,,,
y,98,0900782,Finfish,biocomp,"USA, MT, Clark Canyon / ID, Snake River",W,23,TRR,,"Rainbow trout, wild, skinless fillet, raw",r,Salmo gairdneri,Rainbow trout,Oncorhynchus mykiss,Jun 1989,,2,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,98,0900783,Finfish,biocomp,"USA, ID, Snake River",W,23,TRR,,"Rainbow trout, wild, skinless fillet, raw",r,Salmo gairdneri,Rainbow trout,Oncorhynchus mykiss,Oct 1988,,2,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,,,,,,,,,
y,98,0900922,Finfish,biocomp,"USA, NY, Ithaca, Cayuga Lake",W,23,TRR,,"Rainbow trout, wild, fillet, raw",r,Salmo gairdneri,Rainbow trout,Oncorhynchus mykiss,,,1,,1980,fi141,,,,,,,,,
y,98,0886,Finfish,Denmark food composition,,,23,TRR,,"Rainbow trout, raw",r,Oncorhynchus mykiss (Salmo irideus),,Oncorhynchus mykiss,,,,,2009,DK7,127,0.4,0.48,0.322,1.16,,,,
y,98,15115,Finfish,USDA,,W,23,TRR,,"Fish, trout, rainbow, wild, raw",r,Salmo gairdneri Richardson,,Oncorhynchus mykiss,,,,,2014,SR27,67,0.7,1.08,0.167,0.42,,,,
y,100,0901896,Finfish,AnFood,"USA, British colombia/Washington/Colorado River/Oregon",,23,SOC,,"Sockeye salmon, skinless fillet, raw",r,Oncorhynchus nerka,Sockeye(=Red)salmon,Oncorhynchus nerka,,,,,1976,fi195,,,,,,,,,
y,100,15085,Finfish,USDA,,,23,SOC,,"Fish, salmon, sockeye, raw",r,Oncorhynchus nerka (Walbaum),,Oncorhynchus nerka,,,,,2014,SR27,10,0.42,0.42,0.348,0.681,,,,
y,101,0901893,Finfish,AnFood,"USA, Oregon/Washington/Alaska",,23,CHI,,"Chinook salmon, skinless fillet, raw",r,Oncorhynchus tshawytscha,Chinook(=Spring=King)salmon,Oncorhynchus tshawytscha,,,,,1976,fi195,,,,,,,,,
y,101,0900194,Finfish,biocomp,"USA, off the OR coast, Pacific Ocean",W,23,CHI,,"Chinook salmon, wild, boneless, skinless fillet, raw",r,Oncorhynchus tshawytscha,Chinook salmon,Oncorhynchus tshawytscha,Sep 1987,,1,CHOLE-: colorimetric method using ferric chloride (Sweeney and Weihrauch 1976),1991,fi36,,,,0.44,0.55,,,,
y,101,0900987,Finfish,biocomp,"USA, Columbia River",W,23,CHI,,"Chinook salmon, wild, fillet, raw",r,Oncorhynchus tshawytscha,Chinook(=Spring=King)salmon,Oncorhynchus tshawytscha,Aug 1977,"mean length and weight of fish: 86cm, 8700g",3,,1979,fi156,,,,,,,,,
y,101,15078,Finfish,USDA,,,23,CHI,,"Fish, salmon, chinook, raw",r,Oncorhynchus tshawytscha (Walbaum),,Oncorhynchus tshawytscha,,,,,2014,SR27,26,0.25,0.44,1.008,0.944,,,,
y,102,0901855,Finfish,AnFood,"USA, Washington/Oregon",,33,CLI,,"Lingcod, skinless muscle flesh, raw",r,Ophiodon elongatus,Lingcod,Ophiodon elongatus,,,,,1976,fi195,,,,,,,,,
y,102,0900978,Finfish,biocomp,"USA, south of Astoria Canyon, North Pacific",W,33,CLI,,"Ling cod, wild, fillet, raw",r,Ophiodon elongatus,Lingcod,Ophiodon elongatus,Aug 1977,"mean length and weight of fish: 67cm, 3000g",3,,1979,fi156,,,,,,,,,
y,102,15045,Finfish,USDA,,,33,CLI,,"Fish, lingcod, raw",r,Ophiodon elongatus Girard,,Ophiodon elongatus,,,,,2014,SR27,14,0.32,0.45,0,0,,,,
y,103,15099,Finfish,USDA,,,23,SMR,,"Fish, smelt, rainbow, raw",r,Osmerus mordax (Mitchill),,Osmerus mordax,,,,,2014,SR27,60,0.9,1.65,0.275,0.418,,,,
y,104,0901874,Molluscs,AnFood,"USA, SE Alaska",,53,OFO,,"Native oyster, edible flesh, raw",r,Ostrea lurida,Yaquina oyster,Ostrea lurida,,,,,1976,fi195,,,,,,,,,
y,109,0900850,Finfish,biocomp,"USA, Great Lakes",W,13,FPY,,"Yellow perch, wild, skinless fillet, raw",r,Perca flavescens,American yellow perch,Perca flavescens,,fish weight: 150g,,All values expressed per DM - conversion to FW; FA converted using XFA,2006,fi128,2.992,0.086955,0.135388,0.000384852,0.056503323,18.513,7.854,,71.247
y,109,0900924,Finfish,biocomp,"USA, NY, Ithaca, Cayuga Lake",W,13,FPY,,"Yellow perch, wild, fillet, raw",r,Perca flavescens,American yellow perch,Perca flavescens,,,1,,1980,fi141,,,,,,,,,
