ref_info,seanuts_id2,notes,food_name_clean,species_name,food_name_clean,length_from_study,weight_from_study,length_source,season,country_region,abs_lat,Mar_fresh,wild_farmed,subgroup,body_parts_included_excluded,included_excluded,protein_g,fat_g,,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,vit_a_IU,K_mg,mg_mg,tl,,latitude,slmax,isscaap_cat
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1910,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Perna viridis,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,mollusc,,,11,1.7,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1911,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Puntius sophore,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),,finfish,,,16.3,4.9,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1912,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Rastrelliger kanagurta,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,finfish,,,19.2,1.7,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1913,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Rita rita,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),,finfish,,,19.5,1.6,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1914,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Sardinella longiceps,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,finfish,,,17.1,9.2,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1915,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Schizothorax richardsonii,,,,,,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),,finfish,,,16.4,2.5,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1916,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Sperata seenghala,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),,finfish,,,19,0.8,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1917,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Stolephorus commersonii,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,finfish,,,16.4,1.2,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1918,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Stolephorus waitei,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,finfish,,,20.3,1.1,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1919,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Tenualosa ilisha,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),,finfish,,,20.7,10.5,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1920,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Thunnus albacares,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,finfish,,,23.9,0.6,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1921,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Tor putitora,,,,,,"collected from landing stations in India, no specific locations published",22.57,Cold water (captured),,finfish,,,17.9,4.3,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1922,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Trichiurus lepturus,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine water (captured),,finfish,,,17.9,3.4,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1923,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Xenentodon cancila,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater (captured),,finfish,,,15.7,0.7,,,,,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1924,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Ailia coila,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,NA,180,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1925,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Amblypharyngodon mola,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,94.6,133.3,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1926,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Cyprinus carpio,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,NA,152.1,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1927,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Crassostrea madrasensis,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,mollusc,,,NA,NA,,NA,NA,377.9,383.4,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1928,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Epinephelus spp.,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,47.8,107.8,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1929,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Etroplus suratensis,,,,,,"collected from landing stations in India, no specific locations published",22.57,Brackish,,finfish,,,NA,NA,,NA,NA,115.3,186.6,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1930,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Fenneropenaeus indicus,,,,,,"collected from landing stations in India, no specific locations published",22.57,Brackish,,crustacean,,,NA,NA,,NA,NA,84.5,80.6,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1931,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Gudusia chapra,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,NA,342,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1932,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Katsuwonus pelamis,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,104.8,,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1933,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Lates calcarifer,,,,,,"collected from landing stations in India, no specific locations published",22.57,Brackish,,finfish,,,NA,NA,,NA,NA,155.2,127.6,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1934,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Leiognathus splendens,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,224.5,226.2,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1935,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Neolissochilus hexagonolepis,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,301.8,210.1,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1936,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Oncorhynchus mykiss,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,81.5,224.6,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1937,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Penaeus monodon,,,,,,"collected from landing stations in India, no specific locations published",22.57,Brackish,,crustacean,,,NA,NA,,NA,NA,108.5,54.1,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1938,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Perna viridis,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,mollusc,,,NA,NA,,NA,NA,169.9,158.9,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1939,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Puntius sophore,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,303.8,161.7,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1940,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Schizothorax richardsonii,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,235.8,93.3,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1941,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Sardinella longiceps,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,937.9,534.9,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1942,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Sperata seenghala,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,35.2,49.6,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1943,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Tenualosa ilisha,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,304.5,934.5,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1944,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Tor putitora,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,201.9,11.5,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1945,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Trichiurus lepturus,,,,,,"collected from landing stations in India, no specific locations published",22.57,Marine,,finfish,,,NA,NA,,NA,NA,203.1,567.8,,,,,,,,,,,
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1946,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Xenentodon cancila,,,,,,"collected from landing stations in India, no specific locations published",22.57,Freshwater,,finfish,,,NA,NA,,NA,NA,NA,70,,,,,,,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1947,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Baim,Mastacembelus armatus,Baim,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Bones<comma> viscera<comma> fins<comma> skin<comma> dorsal spine<comma> snout,excluded,17.9,1.7,,NA,NA,NA,NA,449a,1.1a,1.9a,27,322a,35a,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1948,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already","Bele, Bailla",Glossogobius giuris,"Bele, Bailla",,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins<comma> scales,excluded,16.6,0.4,,NA,NA,NA,NA,790,2.1,2.3,NA,210,38,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1949,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Boro Kholisha,Colisa fasciata,Boro Kholisha,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins<comma> scales,excluded,15.2,2.5,,NA,NA,NA,NA,1700,2.3,4.1,46,210,44,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1950,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Chanda,Pseudambassis ranga,Chanda,,,,July–September 2012,Khulna,23.81,freshwater,wild,finfish,Viscera<comma> fins,excluded,15.5,3.8,,NA,NA,NA,NA,1153a,2.6a,2.1a,336,206a,45a,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1951,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Chapila,Gudusia chapra,Chapila,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins<comma> scales,excluded,15.5,3.8,,NA,NA,NA,NA,1063a,2.1a,7.6a,73,281a,41a,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1952,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Chela,Chela cachius,Chela,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins<comma> scales,excluded,15.2,2.4,,NA,NA,NA,NA,1000,4.7,0.84,132,85,39,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1953,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Darkina,Esomus danricus,Darkina,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> scales,excluded,15.5,3.2,,NA,NA,NA,NA,891a,4.0a,12a,660,200a,38a,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1954,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Dhela,Osteobrama cotio cotio,Dhela,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins<comma> scales,excluded,14.7,3.8,,NA,NA,NA,NA,1200,3.7,1.8,NA,110,39,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1955,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Ekthute,Hyporhamphus limbatus,Ekthute,,,,July–September 2012,Khulna,23.81,freshwater,wild,finfish,Viscera<comma> fins,excluded,17.9,1.7,,NA,NA,NA,NA,1300,3.6,1.5,NA,140,51,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1956,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Foli,Notopterus notopterus,Foli,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Bones<comma> viscera<comma> fins<comma> scales<comma> operculum,excluded,20.5,0.6,,NA,NA,NA,NA,230,1.6,1.7,NA,280,34,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1957,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Golsha,Mystus cavasius,Golsha,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Bones<comma> viscera<comma> fins<comma> barbell,excluded,16.8,5.1,,NA,NA,NA,NA,120,1.3,1.8,NA,210,26,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1958,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Guchi,Mastacembelus pancalus,Guchi,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins,excluded,17.9,2.6,,NA,NA,NA,NA,491a,1.3a,2.7a,78,294a,34a,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1959,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Gutum,Lepidocephalichthys guntea,Gutum,,,,July–September 2012,Mymensingh,23.81,freshwater,wild,finfish,Viscera<comma> fins,excluded,17.2,3.9,,NA,NA,NA,NA,950,2.5,3.3,76,240,57,,,,,
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1960,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",Jat Punti,Puntius sophore,Jat Punti,,,,July–September 2012,Sylhet,23.81,freshwater,wild,finfish,Viscera<comma> fins<comma> scales,excluded,15.7,7.2,,329,2.5,40,86,1042a,2.9a,2.2a,54,203a,39a,,,,,
