Food Item ID,Database,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS_Sci_name,Season,Other,Sample source,Portion of fish sampled,Life stage,Size of sampled fish,Length,Length_type,Length_source,TL,TL_se,n,n_type,Comments on data processing/methods,Nutrient_ref,BiblioID,EDIBLE,PROTCNT(g),PROTCNP(g),PROT-(g),PROT_g_sd,FAT(g),FAT_sd,FATCE(g),FAT-(g),CHOAVLDF(g),CHOCDF(g),CHO-(g),CA(mg),CA_sd,CA_units,CU(mg),CU_sd,CU_units,FE(mg),FE_sd,FE_units,ID(mcg),K(mg),K_sd,K_units,MN(mg),MN_sd,MN_units,SE(mcg),SE_sd,SE_units,ZN(mg),ZN_sd,ZN_units,VitA_RAE,VitA_RAE_sd,VitA_RAE_units,VIT_E ,VIT_E_sd,VIT_E_units,VITK,VITK_sd,VITK_units,RETOL(mcg),RETOLSUM(mcg),CHOCAL(mcg),VIT_D,VIT_D_sd,VIT_D_units,TOCPHA(mg),THIA(mg),THIA-(mg),RIBF(mg),NIA(mg),NIA-(mg),VITB6A(mg),VITB6_sd,VITB6_units,FOL(mcg),FOL_units,FOL-(mcg),VITB12(mcg),VITC(mg),VITC_sd,VITC_units,Saturated Fatty Acids (total),SAFA_units,22:6 n-3 DHA (g),DHA units,22:6 n-3_sd,Total n-6,n-6 units,Total n-6_sd,20:5 n-3 (EPA),EPA units,20:5 n-3_sd,Total PUFA,Total PUFA units,PUFA_sd,Total n-3 ,Total n-3 units,Total n-3_sd
0900887,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,33,YNJ,Goete,"Jamaica weakfish, adult fish, muscle flesh, middle portion, raw",r,Cynoscion jamaicensis,Jamaica weakfish,Cynoscion jamaicensis,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,1.40,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.45,,0.23,g,NA,0.08,g,NA,0.18,g,NA,NA,g,NA,0.47,g,NA
0900882,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,33,MUB,Tainha,"Lebranche mullet, adult fish, muscle flesh, middle portion, raw",r,Mugil liza,Lebranche mullet,Mugil liza,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,2.58,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.87,,0.63,g,NA,0.12,g,NA,0.24,g,NA,NA,g,NA,1.05,g,NA
0900875,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,33,MTI,Badejo-mira,"Comb grouper, adult fish, muscle flesh, middle portion, raw",r,Mycteroperca acutirostris,Comb grouper,Mycteroperca acutirostris,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,4.97,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.56,,1.25,g,NA,0.24,g,NA,0.44,g,NA,NA,g,NA,1.94,g,NA
0900891,INFOODS,Finfish,"Antarctic, South Shetlands Archipelago, King George Islands, Admiralty Bay",W,33,NON,NA,"Rock perch, adult fish, muscle flesh, middle portion, raw",r,Notothenia neglecta,Yellowbelly rockcod,Notothenia neglecta,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,3.19,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.71,,0.79,g,NA,0.15,g,NA,0.52,g,NA,NA,g,NA,1.42,g,NA
0900877,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,35,THA,Sardinha da lage,"Atlantic thread herring, adult fish, muscle flesh, middle portion, raw",r,Opisthonema oglinum,Atlantic thread herring,Opisthonema oglinum,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,13.30,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,5.27,,2.53,g,NA,0.45,g,NA,0.90,g,NA,NA,g,NA,4.03,g,NA
0900888,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,37,BLU,Enchova,"Bluefish, adult fish, muscle flesh, middle portion, raw",r,Pomatomus saltatrix,Bluefish,Pomatomus saltatrix,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,18.70,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,6.23,,2.51,g,NA,0.92,g,NA,0.75,g,NA,NA,g,NA,4.28,g,NA
0900880,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,36,BON,Serra,"Atlantic bonito, adult fish, muscle flesh, middle portion, raw",r,Sarda sarda,Atlantic bonito,Sarda sarda,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,2.44,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.56,,0.20,g,NA,0.15,g,NA,0.27,g,NA,NA,g,NA,0.56,g,NA
0900878,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,35,BSR,Sardinha Brasileira,"Brazilian sardinella, adult fish, muscle flesh, middle portion, raw",r,Sardinella brasiliensis,Brazilian sardinella,Sardinella brasiliensis,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,8.19,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,3.01,,1.84,g,NA,0.30,g,NA,0.70,g,NA,NA,g,NA,2.83,g,NA
0900883,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,37,MAZ,Cavalinha,"adult fish, muscle flesh, middle portion, raw",r,Scomber colias,Scomber mackerels nei,Scomper spp,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,6.94,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.46,,0.45,g,NA,0.48,g,NA,0.63,g,NA,NA,g,NA,1.42,g,NA
0900889,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,36,BFT,Atum,"Atlantic bluefin tuna, adult fish, muscle flesh, middle portion, raw",r,Thunnus thynnus,Atlantic bluefin tuna,Thunnus thynnus,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,4.71,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.31,,1.71,g,NA,0.18,g,NA,0.22,g,NA,NA,g,NA,2.04,g,NA
0900886,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,37,HOM,Xixarro,"Atlantic horse mackerel, adult fish, muscle flesh, middle portion, raw",r,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,6.57,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,2.13,,1.85,g,NA,0.31,g,NA,0.55,g,NA,NA,g,NA,2.75,g,NA
0900879,INFOODS,Finfish,"Brazil, São Paulo, Santos cost",W,34,LHT,Peixe espada,"Largehead hairtail, adult fish, muscle flesh, middle portion, raw",r,Trichiurus lepturus,Largehead hairtail,Trichiurus lepturus,NA,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi131,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.80,,0.57,g,NA,0.29,g,NA,0.21,g,NA,NA,g,NA,0.99,g,NA
0900892,INFOODS,Finfish,"USA, MD, Potomac river",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 48.6cm, 2200g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,19.60,NA,NA,NA,2.63,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.10,,0.14,g,NA,0.08,g,NA,0.11,g,NA,0.43,g,NA,0.35,g,NA
0900893,INFOODS,Finfish,"USA, MD, Upper Bay",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4-5y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 47.2cm, 2000g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,19.00,NA,NA,NA,2.55,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.07,,0.13,g,NA,0.07,g,NA,0.12,g,NA,0.44,g,NA,0.37,g,NA
0900894,INFOODS,Finfish,"USA, MD, Choptank river",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 57.6cm, 3450g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,18.10,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.69,,0.09,g,NA,0.06,g,NA,0.11,g,NA,0.34,g,NA,0.28,g,NA
0900895,INFOODS,Finfish,"USA, MD, Upper Bay",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Spring (Apr 1990, May 1990, 1991)","mean length and weight: 48.3cm, 3040g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,16.40,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.14,,0.20,g,NA,0.11,g,NA,0.15,g,NA,0.69,g,NA,0.57,g,NA
0900896,INFOODS,Finfish,"USA, MD, Liberty Reservoir",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,Spring (May) 1991,"mean length and weight: 45.7cm, 2120g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,19.20,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.28,,0.04,g,NA,0.05,g,NA,0.03,g,NA,0.18,g,NA,0.13,g,NA
0900897,INFOODS,Finfish,"USA, MD, Upper Bay",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (4y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,"Winter (Oct, Nov) 1990","mean length and weight: 32.3cm, 730g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,20.40,NA,NA,NA,3.51,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.38,,0.22,g,NA,0.11,g,NA,0.20,g,NA,0.72,g,NA,0.61,g,NA
0900898,INFOODS,Finfish,"USA, MD, Choptank river",W,25,STB,NA,"Striped bass, wild, skinless fillet (incl. belly flaps), male (2y), raw",r,Morone saxatilis,Striped bass,Morone saxatilis,Winter (Jan) 1991,"mean length and weight: 48cm, 2300g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi132,NA,21.90,NA,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.96,,0.09,g,NA,0.10,g,NA,0.14,g,NA,0.48,g,NA,0.38,g,NA
0900899,INFOODS,Finfish,"Senegal, marine region (Atlantic)",W,33,RPG,NA,"Red porgy, wild, muscle flesh, frozen",r,Pagrus pagrus,Red porgy,Pagrus pagrus,Mar 2005,NA,come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,NA,NA,fi133,NA,21.50,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,0.06,NA,mg,1.42,NA,mg,NA,NA,NA,mg,0.02,NA,mg,NA,NA,mcg,0.61,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.28,,0.10,g,NA,0.04,g,NA,0.04,g,NA,0.18,g,NA,0.14,g,NA
0900900,INFOODS,Finfish,"Spain, Canary Islands, North Atlantic",W,33,BRB,NA,"Black seabream, wild, fully grown, muscle tissue, raw",r,Spondyliosoma cantharus,Black seabream,Spondyliosoma cantharus,Jan,"mean length and weight of fish: 27.5cm, 477g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FAT expressed per DM - conversion to FW; FA converted using XFA,NA,fi135,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.17,,0.16,g,NA,0.05,g,NA,0.03,g,NA,NA,g,NA,0.20,g,NA
0900901,INFOODS,Finfish,"Argentinia/Uruguay, South Atlantic",W,32,HKP,NA,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",r,Merluccius hubbsi,Argentine hake,Merluccius hubbsi,Feb,"mean length and weight of fish: 48cm, 800g",come back ,NA,NA,NA,,,,,,1,number of independent analytical samples,NA,NA,fi137,NA,NA,NA,NA,NA,3.40,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,NA,,0.45,g,NA,NA,g,NA,0.17,g,NA,NA,g,NA,NA,g,NA
0900902,INFOODS,Finfish,"Argentinia/Uruguay, South Atlantic",W,32,HKP,NA,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",r,Merluccius hubbsi,Argentine hake,Merluccius hubbsi,Mar,"mean length and weight of fish: 48cm, 800g",come back ,NA,NA,NA,,,,,,1,number of independent analytical samples,NA,NA,fi137,NA,NA,NA,NA,NA,1.10,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,NA,,0.31,g,NA,NA,g,NA,0.07,g,NA,NA,g,NA,NA,g,NA
0900903,INFOODS,Finfish,"Argentinia/Uruguay, South Atlantic",W,32,HKP,NA,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",r,Merluccius hubbsi,Argentine hake,Merluccius hubbsi,Apr,"mean length and weight of fish: 48cm, 800g",come back ,NA,NA,NA,,,,,,1,number of independent analytical samples,NA,NA,fi137,NA,NA,NA,NA,NA,1.70,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,NA,,0.38,g,NA,NA,g,NA,0.08,g,NA,NA,g,NA,NA,g,NA
0900904,INFOODS,Finfish,"Argentinia/Uruguay, South Atlantic",W,32,HKP,NA,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",r,Merluccius hubbsi,Argentine hake,Merluccius hubbsi,Jul,"mean length and weight of fish: 48cm, 800g",come back ,NA,NA,NA,,,,,,1,number of independent analytical samples,NA,NA,fi137,NA,NA,NA,NA,NA,1.30,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,NA,,0.30,g,NA,NA,g,NA,0.06,g,NA,NA,g,NA,NA,g,NA
0900905,INFOODS,Finfish,"Argentinia/Uruguay, South Atlantic",W,32,HKP,NA,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",r,Merluccius hubbsi,Argentine hake,Merluccius hubbsi,Dec,"mean length and weight of fish: 48cm, 800g",come back ,NA,NA,NA,,,,,,1,number of independent analytical samples,NA,NA,fi137,NA,NA,NA,NA,NA,1.40,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,NA,,0.32,g,NA,NA,g,NA,0.09,g,NA,NA,g,NA,NA,g,NA
0900917,INFOODS,Finfish,"USA, Gulf of Mexico",W,34,IMB,NA,"silver rag, wild, fillet, frozen",r,Ariomma bondi,silver-rag driftfish,Ariomma bondi,Oct 1992,"mean length and weight of fish: 17.4cm, 90g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi138,NA,22.30,NA,NA,NA,6.40,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,1.52,,1.43,g,NA,0.25,g,NA,0.17,g,NA,2.42,g,NA,2.00,g,NA
0900918,INFOODS,Finfish,"USA, Gulf of Mexico",W,34,IMB,NA,"silver rag, wild, fillet, frozen",r,Ariomma bondi,silver-rag driftfish,Ariomma bondi,Oct 1992,"mean length and weight of fish: 18.1cm, 114g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi138,NA,20.80,NA,NA,NA,8.30,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,2.36,,1.31,g,NA,0.52,g,NA,0.24,g,NA,2.76,g,NA,1.94,g,NA
0900913,INFOODS,Finfish,"USA, Gulf of Mexico",W,37,WEC,NA,"Round scad, wild, fillet, frozen",r,Decapturus punctatus,Round scad,Decapterus punctatus,Apr 1991,"mean length and weight of fish: 16.6cm, 52.6g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi138,NA,22.60,NA,NA,NA,1.20,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.29,,0.31,g,NA,0.04,g,NA,0.06,g,NA,0.43,g,NA,0.39,g,NA
0900914,INFOODS,Finfish,"USA, Gulf of Mexico",W,37,WEC,NA,"Round scad, wild, fillet, frozen",r,Decapturus punctatus,Round scad,Decapterus punctatus,Oct 1992,"mean length and weight of fish: 18.2cm, 77.3g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi138,NA,21.50,NA,NA,NA,2.30,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.57,,0.75,g,NA,0.15,g,NA,0.11,g,NA,1.11,g,NA,0.92,g,NA
0900915,INFOODS,Finfish,"USA, Gulf of Mexico",W,35,RRH,NA,"Round herring, wild, fillet, frozen",r,Etrumeus teres,Red-eye round herring,Etrumeus teres,Feb 1991,"mean length and weight of fish: 13.9cm, 22.7g",come back ,NA,NA,NA,,,,,,NA,number of independent analytical samples,FA converted using XFA,NA,fi138,NA,20.80,NA,NA,NA,1.40,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg,NA,NA,mg,NA,NA,NA,mg,NA,NA,mg,NA,NA,mcg,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,,NA,NA,NA,come back,mg,0.36,,0.39,g,NA,0.04,g,NA,0.08,g,NA,0.54,g,NA,0.51,g,NA
