"","species","CA_mg","ZN_mg","FE_mg","EPA_g","DHA_g","Length","max_length","Subgroup","Habitat","TL","FoodTroph","Herbivory2","Abs_lat","DemersPelag","taxon","max_size","Weight"
"258","Eutrigla gurnardus",NA,NA,NA,NA,NA,60,53,"Finfish","marine",3.57,4.37,"mainly animals (troph. 2.8 and up)",56.511018,"demersal","Miscellaneous demersal fishes",1.16694850615986,956
"259","Gadus macrocephalus",13.3,0.3731,0.16,NA,NA,119,100,"Finfish","marine",4.01,4.37,"mainly animals (troph. 2.8 and up)",56.167222,"demersal","Cods, hakes, haddocks",12.3796690927466,22700
"260","Gadus macrocephalus",NA,NA,NA,NA,NA,119,100,"Finfish","marine",4.01,4.37,"mainly animals (troph. 2.8 and up)",46.25,"demersal","Cods, hakes, haddocks",12.3796690927466,22700
"261","Gadus macrocephalus",11.3,0.3627,0.17,NA,NA,119,100,"Finfish","marine",4.01,4.37,"mainly animals (troph. 2.8 and up)",54.586138,"demersal","Cods, hakes, haddocks",12.3796690927466,22700
"262","Gadus macrocephalus",10.8,0.416,0.21,NA,NA,119,100,"Finfish","marine",4.01,4.37,"mainly animals (troph. 2.8 and up)",48.383118,"demersal","Cods, hakes, haddocks",12.3796690927466,22700
"263","Gadus macrocephalus",NA,NA,NA,0.054679898,0.144061265,119,100,"Finfish","marine",4.01,4.37,"mainly animals (troph. 2.8 and up)",57.79,"demersal","Cods, hakes, haddocks",12.3796690927466,22700
"264","Gadus morhua",NA,NA,NA,0.073775946,0.18396877,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"265","Gadus morhua",NA,NA,NA,NA,NA,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"266","Gadus morhua",NA,NA,NA,NA,NA,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"267","Gadus morhua",NA,NA,NA,NA,NA,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"268","Gadus morhua",NA,NA,NA,NA,NA,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"269","Gadus morhua",NA,NA,NA,0.05697345,0.129272235,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"270","Gadus morhua",NA,NA,NA,0.057327117,0.14931632,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"271","Gadus morhua",NA,NA,NA,0.063226,0.152914,200,200,"Finfish","marine",4.4,4.29,"mainly animals (troph. 2.8 and up)",65.882236,"benthopelagic","Cods, hakes, haddocks",83.4437018466275,96000
"272","Gadus morhua",NA,NA,NA,NA,NA,200,186,"Finfish","marine",4.42,4.29,"mainly animals (troph. 2.8 and up)",61.92411,"benthopelagic","Cods, hakes, haddocks",66.9225024,96000
"273","Gadus morhua",NA,NA,NA,NA,NA,200,186,"Finfish","marine",4.42,4.29,"mainly animals (troph. 2.8 and up)",62.1,"benthopelagic","Cods, hakes, haddocks",66.9225024,96000
"274","Gadus morhua",NA,NA,NA,0.004089305,0.027430143,200,186,"Finfish","marine",4.42,4.29,"mainly animals (troph. 2.8 and up)",55.028022,"benthopelagic","Cods, hakes, haddocks",66.9225024,96000
"275","Gadus morhua",NA,NA,NA,NA,NA,200,186,"Finfish","marine",4.42,4.29,"mainly animals (troph. 2.8 and up)",62.1,"benthopelagic","Cods, hakes, haddocks",66.9225024,96000
"276","Gadus morhua",8.7,0.34,0.12,NA,NA,200,186,"Finfish","marine",4.42,4.29,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Cods, hakes, haddocks",66.9225024,96000
"277","Gasterochisma melampus",11,0.5,0.9,0.087873,0.32737,164,164,"Finfish","marine",4.4,4.35,"mainly animals (troph. 2.8 and up)",36.102376,"pelagic-oceanic","Tunas, bonitos, billfishes",NA,NA
"278","Gudusia chapra",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",3.3,NA,NA,24.4333,"pelagic","Shads",0.11092675237764,NA
"279","Mugil cephalus",NA,NA,NA,NA,NA,100,250,"Finfish","marine",3.9,2.48,"mainly plants/detritus (troph. 2-2.19)",3.144341,"benthopelagic","Sharks, rays, chimaeras",229.982206538414,NA
"280","Hemisorubim platyrhynchos",NA,NA,NA,0.01850096,0.04047085,52.5,52.5,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",19.427757,"demersal","Miscellaneous freshwater fishes",1.44519999564613,1470
"281","Henicorhynchus siamensis",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2,2,"mainly plants/detritus (troph. 2-2.19)",12.265754,"benthopelagic","Carps, barbels and other cyprinids",0.0714420077036495,NA
"282","Heteropneustes fossilis",NA,NA,NA,NA,NA,30,30,"Finfish","freshwater",3.7,3.89,"mainly animals (troph. 2.8 and up)",22.816667,"demersal","Miscellaneous freshwater fishes",0.163432765119389,NA
"283","Heteropneustes fossilis",NA,NA,NA,NA,NA,30,30,"Finfish","freshwater",3.7,3.89,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous freshwater fishes",0.163432765119389,NA
"284","Hippoglossus hippoglossus",NA,NA,NA,0.016,0.033,470,470,"Finfish","marine",4.5,4.28,"mainly animals (troph. 2.8 and up)",59.400365,"demersal","Flounders, halibuts, soles",3093.83316982119,320000
"285","Hippoglossus hippoglossus",NA,NA,NA,NA,NA,470,470,"Finfish","marine",4.5,4.28,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Flounders, halibuts, soles",3093.83316982119,320000
"286","Huso huso",NA,NA,NA,NA,NA,800,800,"Finfish","marine",4.1,4.06,"mainly animals (troph. 2.8 and up)",41.068616,"pelagic","Sturgeons, paddlefishes",6076.6260795329,3200000
"287","Hydrolagus affinis",NA,NA,NA,NA,NA,130,130,"Finfish","marine",4,4,"mainly animals (troph. 2.8 and up)",57.596278,"bathydemersal","Sharks, rays, chimaeras",11.5963764447718,NA
"288","Hyperoglyphe antarctica",NA,NA,NA,NA,NA,140,115,"Finfish","marine",3.95,3.95,"mainly animals (troph. 2.8 and up)",40.900557,"benthopelagic","Miscellaneous demersal fishes",33.2483057284534,63000
"289","Hyporhamphus ihi",NA,NA,NA,NA,NA,26,26,"Finfish","marine",3.2,3.22,"mainly animals (troph. 2.8 and up)",40.900557,"pelagic-neritic","Miscellaneous pelagic fishes",0.0217980987929594,NA
"290","Ictalurus punctatus",NA,NA,NA,NA,NA,132,132,"Finfish","freshwater",3.9,3.40000009536743,"mainly animals (troph. 2.8 and up)",31.444178,"benthopelagic","Miscellaneous freshwater fishes",20.1884181378632,26300
"291","Ictalurus punctatus",NA,NA,NA,NA,NA,132,132,"Finfish","freshwater",3.9,3.40000009536743,"mainly animals (troph. 2.8 and up)",31.444178,"benthopelagic","Miscellaneous freshwater fishes",20.1884181378632,26300
"292","Isopsetta isolepis",NA,NA,NA,NA,NA,55,55,"Finfish","marine",3.6,3.59,"mainly animals (troph. 2.8 and up)",46.25,"demersal","Flounders, halibuts, soles",2.17628389838283,NA
"293","Isurus oxyrinchus",12,0.4,1.2,0.0253916,0.205086,400,392,"Finfish","marine",4.28,4.32,"mainly animals (troph. 2.8 and up)",36.102376,"pelagic-oceanic","Sharks, rays, chimaeras",403.461039503645,505760
"294","Katsuwonus pelamis",NA,NA,NA,NA,NA,110,110,"Finfish","marine",4.4,4.03,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-oceanic","Tunas, bonitos, billfishes",24.46480761849,34500
"295","Katsuwonus pelamis",NA,NA,NA,0.22828,0.616356,110,110,"Finfish","marine",4.4,4.03,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-oceanic","Tunas, bonitos, billfishes",24.46480761849,34500
"296","Katsuwonus pelamis",NA,NA,NA,NA,NA,110,110,"Finfish","marine",4.4,4.03,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-oceanic","Tunas, bonitos, billfishes",24.46480761849,34500
"297","Lamna nasus",10,0.4,1.8,0.0310271,0.288873,350,277,"Finfish","marine",4.21,4.36,"mainly animals (troph. 2.8 and up)",36.102376,"pelagic-oceanic","Sharks, rays, chimaeras",165.174797936241,230000
"298","Lampris guttatus",6,0.3,1,0.03002,0.1659,200,200,"Finfish","marine",4.22,4.22,"mainly animals (troph. 2.8 and up)",36.102376,"bathypelagic","Miscellaneous pelagic fishes",224.800008,270000
"299","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",6.255568,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"300","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",2.516667,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"301","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",2.516667,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"302","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",2.516667,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"303","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",2.516667,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"304","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",2.516667,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"305","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",2.516667,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"306","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",6.255568,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"307","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",6.255568,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"308","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",6.255568,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"309","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",6.255568,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"310","Lates angustifrons",NA,NA,NA,NA,NA,200,200,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",6.255568,"demersal","Miscellaneous freshwater fishes",103.532778311022,1e+05
"311","Lates calcarifer",NA,NA,NA,NA,NA,200,162,"Finfish","marine",4.35,3.82999992370606,"mainly animals (troph. 2.8 and up)",3.144341,"demersal","Miscellaneous diadromous fishes",54.2748721281666,60000
"312","Lates calcarifer",NA,NA,NA,NA,NA,200,162,"Finfish","marine",4.35,3.82999992370606,"mainly animals (troph. 2.8 and up)",9.71212,"demersal","Miscellaneous diadromous fishes",54.2748721281666,60000
"313","Lates calcarifer",NA,NA,NA,0.014318667,0.090058148,200,162,"Finfish","marine",4.35,3.82999992370606,"mainly animals (troph. 2.8 and up)",NA,"demersal","Miscellaneous diadromous fishes",54.2748721281666,60000
"314","Lates niloticus",NA,NA,NA,0.0119,0.05082,200,200,"Finfish","freshwater",4.5,3.95,"mainly animals (troph. 2.8 and up)",0.755775,"demersal","Miscellaneous freshwater fishes",94.4353422034629,2e+05
"315","Lates niloticus",NA,NA,NA,0.00693,0.04032,200,200,"Finfish","freshwater",4.5,3.95,"mainly animals (troph. 2.8 and up)",1.433393,"demersal","Miscellaneous freshwater fishes",94.4353422034629,2e+05
"316","Lates niloticus",NA,NA,NA,0.0084,0.02106,200,200,"Finfish","freshwater",4.5,3.95,"mainly animals (troph. 2.8 and up)",1.504705,"demersal","Miscellaneous freshwater fishes",94.4353422034629,2e+05
"317","Lates niloticus",NA,NA,NA,0.572958,2.0244516,200,200,"Finfish","freshwater",4.5,3.95,"mainly animals (troph. 2.8 and up)",0.033333,"demersal","Miscellaneous freshwater fishes",94.4353422034629,2e+05
"318","Lepidopsetta bilineata",NA,NA,NA,0.174717,0.111537,58,49,"Finfish","marine",3.21,3.48,"mainly animals (troph. 2.8 and up)",57.891497,"demersal","Flounders, halibuts, soles",1.39486131673965,1800
"319","Lepidorhombus whiffiagonis",NA,NA,NA,NA,NA,60,49,"Finfish","marine",3.58,3.51,"mainly animals (troph. 2.8 and up)",58.936601,"bathydemersal","Flounders, halibuts, soles",0.938506320730722,NA
"320","Lepidorhombus whiffiagonis",NA,NA,NA,NA,NA,60,49,"Finfish","marine",3.58,3.51,"mainly animals (troph. 2.8 and up)",58.936601,"bathydemersal","Flounders, halibuts, soles",0.938506320730722,NA
"321","Leptomelanosoma indicum",NA,NA,NA,NA,NA,142,142,"Finfish","marine",3.9,3.86,"mainly animals (troph. 2.8 and up)",3.144341,"demersal","Miscellaneous coastal fishes",34.9105400276881,NA
"322","Leuciscus idus",60,0.6,0.5,NA,NA,85,85,"Finfish","freshwater",3.8,3.79,"mainly animals (troph. 2.8 and up)",41.53,"benthopelagic","Carps, barbels and other cyprinids",8.68763847306472,4000
"323","Leuciscus idus",NA,NA,NA,0.128231,0.06749,85,85,"Finfish","freshwater",3.8,3.79,"mainly animals (troph. 2.8 and up)",41.53,"benthopelagic","Carps, barbels and other cyprinids",8.68763847306472,4000
"324","Leuciscus idus",60,0.5,0.6,NA,NA,85,85,"Finfish","freshwater",3.8,3.79,"mainly animals (troph. 2.8 and up)",41.53,"benthopelagic","Carps, barbels and other cyprinids",8.68763847306472,4000
"325","Limanda aspera",NA,NA,NA,0.085648433,0.060909734,49,39,"Finfish","marine",3.24,3.66,"mainly animals (troph. 2.8 and up)",22.314446,"demersal","Flounders, halibuts, soles",0.789949679037488,1700
"326","Limnothrissa miodon",NA,NA,NA,NA,NA,17,17,"Finfish","freshwater",3,2.71,"mainly animals (troph. 2.8 and up)",6.255568,"pelagic","Miscellaneous freshwater fishes",0.0343998060269975,NA
"327","Limnothrissa miodon",NA,NA,NA,NA,NA,17,17,"Finfish","freshwater",3,2.71,"mainly animals (troph. 2.8 and up)",6.255568,"pelagic","Miscellaneous freshwater fishes",0.0343998060269975,NA
"328","Lithognathus mormyrus",NA,NA,NA,NA,NA,55,45,"Finfish","marine",3.38,3.42,"mainly animals (troph. 2.8 and up)",34.208024,"demersal","Miscellaneous coastal fishes",1.25187779046807,NA
"329","Lithognathus mormyrus",NA,NA,NA,0.070493995,0.23366541,55,45,"Finfish","marine",3.38,3.42,"mainly animals (troph. 2.8 and up)",37.370157,"demersal","Miscellaneous coastal fishes",1.25187779046807,NA
"330","Lithognathus mormyrus",NA,NA,NA,NA,NA,55,45,"Finfish","marine",3.38,3.42,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Miscellaneous coastal fishes",1.25187779046807,NA
"331","Liza aurata",NA,NA,NA,0.335588757,NA,59,59,"Finfish","marine",2.5,2.84,"plants/detritus+animals (troph. 2.2-2.79)",35.707481,"pelagic-neritic","Miscellaneous coastal fishes",3.05656450492838,NA
"332","Liza aurata",6.9,0.193032,0.16,NA,NA,59,59,"Finfish","marine",2.5,2.84,"plants/detritus+animals (troph. 2.2-2.79)",35.707481,"pelagic-neritic","Miscellaneous coastal fishes",3.05656450492838,NA
"333","Liza aurata",NA,NA,NA,0.199357,0.065987167,59,59,"Finfish","marine",2.5,2.84,"plants/detritus+animals (troph. 2.2-2.79)",37.370157,"pelagic-neritic","Miscellaneous coastal fishes",3.05656450492838,NA
"334","Liza ramada",NA,0.425372,0.23,NA,NA,70,70,"Finfish","marine",2.2,2.34,"plants/detritus+animals (troph. 2.2-2.79)",36.8,"pelagic-neritic","Miscellaneous coastal fishes",2.75382296398005,2900
"335","Liza ramada",NA,0.4046436,0.24,NA,NA,70,70,"Finfish","marine",2.2,2.34,"plants/detritus+animals (troph. 2.2-2.79)",36.8,"pelagic-neritic","Miscellaneous coastal fishes",2.75382296398005,2900
"336","Liza ramada",NA,0.486213,0.22,NA,NA,70,70,"Finfish","marine",2.2,2.34,"plants/detritus+animals (troph. 2.2-2.79)",36.8,"pelagic-neritic","Miscellaneous coastal fishes",2.75382296398005,2900
"337","Liza ramada",NA,NA,NA,0.086030994,0.09798897,70,70,"Finfish","marine",2.2,2.34,"plants/detritus+animals (troph. 2.2-2.79)",37.370157,"pelagic-neritic","Miscellaneous coastal fishes",2.75382296398005,2900
"338","Liza saliens",NA,NA,NA,0.01058237,0.01928921,40,40,"Finfish","marine",3.08,2.94,"mainly plants/detritus (troph. 2-2.19)",37.370157,"demersal","Miscellaneous coastal fishes",0.615385323778559,NA
"339","Liza aurata",NA,NA,NA,0.926263184,0.426826785,59,18,"Finfish","marine",2.6,2.84,"plants/detritus+animals (troph. 2.2-2.79)",37.370157,"pelagic-neritic","Miscellaneous coastal fishes",0.0490344338148723,NA
"340","Lophius budegassa",NA,NA,NA,0.014500458,0.056334138,100,100,"Finfish","marine",4.48,4.23,"mainly animals (troph. 2.8 and up)",37.370157,"bathydemersal","Miscellaneous demersal fishes",13.0901394069998,NA
"341","Lophius piscatorius",NA,NA,NA,NA,NA,200,200,"Finfish","marine",4.49,4.55,"mainly animals (troph. 2.8 and up)",60.657778,"bathydemersal","Miscellaneous demersal fishes",92.1096477698624,57700
"342","Lophius piscatorius",NA,NA,NA,NA,NA,200,200,"Finfish","marine",4.49,4.55,"mainly animals (troph. 2.8 and up)",NA,"bathydemersal","Miscellaneous demersal fishes",92.1096477698624,57700
"343","Lota lota",11.59,0.82253,0.15,NA,NA,152,152,"Finfish","freshwater",4,4.05,"mainly animals (troph. 2.8 and up)",54.117096,"demersal","Miscellaneous freshwater fishes",25.2239378005701,34000
"344","Lota lota",NA,NA,NA,NA,NA,152,152,"Finfish","freshwater",4,4.05,"mainly animals (troph. 2.8 and up)",42.740759,"demersal","Miscellaneous freshwater fishes",25.2239378005701,34000
"345","Lutjanus argentimaculatus",NA,NA,NA,NA,NA,150,150,"Finfish","marine",3.6,3.85,"mainly animals (troph. 2.8 and up)",3.144341,"reef-associated","Miscellaneous coastal fishes",45.1564846965377,8700
"346","Lutjanus johnii",NA,NA,NA,NA,NA,97,97,"Finfish","marine",4.18,4.19,"mainly animals (troph. 2.8 and up)",3.144341,"reef-associated","Miscellaneous coastal fishes",15.4382547599658,10500
"347","Lutjanus malabaricus",NA,NA,NA,NA,NA,100,100,"Finfish","marine",4.46,4.09,"mainly animals (troph. 2.8 and up)",9.71212,"reef-associated","Miscellaneous coastal fishes",14.0595080083205,7910
"348","Macrodon ancylodon",NA,NA,NA,0.02618412,0.07058328,45,45,"Finfish","marine",3.9,3.9,"mainly animals (troph. 2.8 and up)",34.941407,"demersal","Miscellaneous coastal fishes",0.82902734997139,NA
"349","Macrognathus aculeatus",NA,NA,NA,NA,NA,38,38,"Finfish","freshwater",3.3,NA,NA,24.4333,"benthopelagic","Miscellaneous freshwater fishes",0.178592783855575,NA
"350","Macrognathus aculeatus",NA,NA,NA,NA,NA,38,38,"Finfish","freshwater",3.3,NA,NA,24.4333,"benthopelagic","Miscellaneous freshwater fishes",0.178592783855575,NA
"351","Macrognathus aculeatus",NA,NA,NA,NA,NA,38,38,"Finfish","freshwater",3.3,NA,NA,24.4333,"benthopelagic","Miscellaneous freshwater fishes",0.178592783855575,NA
"352","Macrourus berglax",NA,NA,NA,0.071462001,0.125921415,110,82,"Finfish","marine",3.62,3.57,"mainly animals (troph. 2.8 and up)",57.596278,"benthopelagic","Cods, hakes, haddocks",5.4770478182432,NA
"353","Mallotus villosus",NA,NA,NA,0.36230105,0.45922235,20,16,"Finfish","marine",3.15,3.1,"mainly animals (troph. 2.8 and up)",53.726668,"pelagic-oceanic","Miscellaneous pelagic fishes",0.0176128,52
"354","Megalaspis cordyla",NA,NA,NA,NA,NA,80,80,"Finfish","marine",4.4,3.91,"mainly animals (troph. 2.8 and up)",3.144341,"reef-associated","Miscellaneous pelagic fishes",4.86446084127205,4000
"355","Melanogrammus aeglefinus",NA,NA,NA,NA,NA,112,82,"Finfish","marine",4.09,3.56,"mainly animals (troph. 2.8 and up)",62.1,"demersal","Cods, hakes, haddocks",5.66565345043969,16800
"356","Melanogrammus aeglefinus",7.8,0.29,0.11,NA,NA,112,82,"Finfish","marine",4.09,3.56,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",5.66565345043969,16800
"357","Melanogrammus aeglefinus",NA,NA,NA,NA,NA,112,82,"Finfish","marine",4.09,3.56,"mainly animals (troph. 2.8 and up)",62.1,"demersal","Cods, hakes, haddocks",5.66565345043969,16800
"358","Melanogrammus aeglefinus",NA,NA,NA,0.060220439,0.137400308,112,112,"Finfish","marine",4.1,3.56,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",12.3089515886404,16800
"359","Melanogrammus aeglefinus",NA,NA,NA,0.044520072,0.115993934,112,112,"Finfish","marine",4.1,3.56,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",12.3089515886404,16800
"360","Melanogrammus aeglefinus",NA,NA,NA,0.057734954,0.117637353,112,112,"Finfish","marine",4.1,3.56,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",12.3089515886404,16800
"361","Melanogrammus aeglefinus",NA,NA,NA,NA,NA,112,112,"Finfish","marine",4.1,3.56,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",12.3089515886404,16800
"362","Menticirrhus americanus",NA,NA,NA,0.17224842,0.45077778,50,50,"Finfish","marine",3.5,NA,"mainly animals (troph. 2.8 and up)",34.941407,"demersal","Miscellaneous coastal fishes",1.32644526755561,1070
"363","Merlangius merlangus",NA,NA,NA,NA,NA,70,57,"Finfish","marine",4.29,3.57,"mainly animals (troph. 2.8 and up)",60.657778,"benthopelagic","Cods, hakes, haddocks",1.74409905747718,3110
"364","Merlangius merlangus",NA,NA,NA,NA,NA,70,57,"Finfish","marine",4.29,3.57,"mainly animals (troph. 2.8 and up)",62.1,"benthopelagic","Cods, hakes, haddocks",1.74409905747718,3110
"365","Merlangius merlangus",NA,NA,NA,0.030285,0.068646,70,57,"Finfish","marine",4.29,3.57,"mainly animals (troph. 2.8 and up)",39.019184,"benthopelagic","Cods, hakes, haddocks",1.74409905747718,3110
"366","Merlangius merlangus",NA,NA,NA,1.41711633,4.01939566,70,70,"Finfish","marine",4.4,3.57,"mainly animals (troph. 2.8 and up)",42.163403,"benthopelagic","Cods, hakes, haddocks",2.80382227402961,3110
"367","Merluccius hubbsi",NA,NA,NA,0.08,0.38,95,78,"Finfish","marine",4.08,4.23,"mainly animals (troph. 2.8 and up)",38.416097,"benthopelagic","Cods, hakes, haddocks",2.79892222378573,NA
"368","Merluccius hubbsi",NA,NA,NA,0.09,0.32,95,78,"Finfish","marine",4.08,4.23,"mainly animals (troph. 2.8 and up)",38.416097,"benthopelagic","Cods, hakes, haddocks",2.79892222378573,NA
"369","Merluccius hubbsi",NA,NA,NA,0.17,0.45,95,78,"Finfish","marine",4.08,4.23,"mainly animals (troph. 2.8 and up)",38.416097,"benthopelagic","Cods, hakes, haddocks",2.79892222378573,NA
"370","Merluccius hubbsi",NA,NA,NA,0.06,0.3,95,78,"Finfish","marine",4.08,4.23,"mainly animals (troph. 2.8 and up)",38.416097,"benthopelagic","Cods, hakes, haddocks",2.79892222378573,NA
"371","Merluccius hubbsi",NA,NA,NA,0.07,0.31,95,78,"Finfish","marine",4.08,4.23,"mainly animals (troph. 2.8 and up)",38.416097,"benthopelagic","Cods, hakes, haddocks",2.79892222378573,NA
"372","Merluccius merluccius",NA,NA,NA,NA,NA,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"373","Merluccius merluccius",NA,NA,NA,NA,NA,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",60.529651,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"374","Merluccius merluccius",NA,NA,NA,0.052627477,0.272766809,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",41.630735,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"375","Merluccius merluccius",NA,NA,NA,NA,NA,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"376","Merluccius merluccius",NA,NA,NA,NA,NA,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"377","Merluccius merluccius",NA,NA,NA,NA,NA,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"378","Merluccius merluccius",NA,NA,NA,0.032889248,0.151879264,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",37.370157,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"379","Merluccius merluccius",NA,NA,NA,NA,NA,140,130,"Finfish","marine",4.42,4.3,"mainly animals (troph. 2.8 and up)",60.529651,"demersal","Cods, hakes, haddocks",20.6269386640585,15000
"380","Merluccius productus",NA,NA,NA,0.069467419,0.118810272,91,75,"Finfish","marine",4.35,3.98000001907349,"mainly animals (troph. 2.8 and up)",53.726668,"pelagic-oceanic","Cods, hakes, haddocks",2.30632320109263,1190
"381","Merluccius productus",10.4,0.3052,0.24,NA,NA,91,75,"Finfish","marine",4.35,3.98000001907349,"mainly animals (troph. 2.8 and up)",46.187884,"pelagic-oceanic","Cods, hakes, haddocks",2.30632320109263,1190
"382","Merluccius productus",9.2,0.3969,0.26,NA,NA,91,75,"Finfish","marine",4.35,3.98000001907349,"mainly animals (troph. 2.8 and up)",46.187884,"pelagic-oceanic","Cods, hakes, haddocks",2.30632320109263,1190
"383","Merluccius productus",NA,NA,NA,NA,NA,91,75,"Finfish","marine",4.35,3.98000001907349,"mainly animals (troph. 2.8 and up)",46.25,"pelagic-oceanic","Cods, hakes, haddocks",2.30632320109263,1190
"384","Micromesistius poutassou",NA,NA,NA,NA,NA,50,41,"Finfish","marine",4.01,3.70000004768372,"mainly animals (troph. 2.8 and up)",60.529651,"bathypelagic","Cods, hakes, haddocks",0.56761377488759,830
"385","Micromesistius poutassou",NA,NA,NA,NA,NA,50,41,"Finfish","marine",4.01,3.70000004768372,"mainly animals (troph. 2.8 and up)",60.529651,"bathypelagic","Cods, hakes, haddocks",0.56761377488759,830
"386","Microstomus kitt",NA,NA,NA,NA,NA,65,53,"Finfish","marine",3.22,3.21,"mainly animals (troph. 2.8 and up)",62.1,"demersal","Flounders, halibuts, soles",1.70173920628232,2950
