Food.Item.ID,species,Subgroup,taxon,max_size,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,FAT,PROTEIN,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study
901042,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,60.3,NA,NA,1.46,NA,NA,NA,21.7,NA,NA,marine,Crustacean,36.56945,36.56945,18.93
901043,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,61.1,NA,NA,1.36,NA,NA,NA,20.48,NA,NA,marine,Crustacean,36.56945,36.56945,18.93
901044,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,62.4,NA,NA,1.66,NA,NA,NA,21.06,NA,NA,marine,Crustacean,36.56945,36.56945,12.67
901045,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,60.4,NA,NA,1.55,NA,NA,NA,21.31,NA,NA,marine,Crustacean,36.56945,36.56945,12.67
901046,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,59.1,NA,NA,1.63,NA,NA,NA,22.46,NA,NA,marine,Crustacean,36.56945,36.56945,12.67
901047,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,59.9,NA,NA,1.41,NA,NA,NA,21.91,NA,NA,marine,Crustacean,36.56945,36.56945,12.67
901048,Loligo vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,78,4.1,NA,0.318510208,0.705690048,NA,NA,NA,2.22,19.71,NA,NA,marine,Molluscs,39.019184,39.019184,8.8
901050,Mytilus galloprovincialis,Molluscs,Mussels,NA,7,2,NA,0.323660524,0.225269224,NA,NA,NA,2.27,8.89,NA,NA,marine,Molluscs,39.019184,39.019184,5.6
901052,Portunus pelagicus,Crustacean,"Crabs, sea-spiders",NA,14,3,112,NA,NA,0.4,2.6,30,NA,NA,NA,NA,marine,Crustacean,26.0667,26.0667,NA
901054,Portunus pelagicus,Crustacean,"Crabs, sea-spiders",NA,14,3,115,NA,NA,0.35,2.3,40,NA,NA,NA,NA,marine,Crustacean,26.0667,26.0667,NA
901056,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901057,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901058,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901059,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901060,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901061,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901062,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901063,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901064,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901065,Mactra violacea,Molluscs,"Clams, cockles, arkshells",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,11.753288,11.753288,NA
901066,Doryteuthis pleii,Molluscs,"Squids, cuttlefishes, octopuses",NA,35,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,marine,Molluscs,23.843611,-23.843611,26.8
901125,Parapenaeopsis atlantica,Crustacean,"Shrimps, prawns",NA,12,NA,NA,NA,NA,NA,NA,NA,0.91,22.35,NA,NA,marine,Crustacean,6.524379,6.524379,NA
901126,Farfantepenaeus notialis,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,NA,NA,NA,NA,NA,0.79,24.54,NA,NA,marine,Crustacean,6.524379,6.524379,NA
901127,Palaemon serratus,Crustacean,"Shrimps, prawns",NA,11,2.7,NA,NA,NA,NA,NA,NA,1.11,25.7,NA,NA,marine,Crustacean,5.516667,5.516667,NA
901130,Crassostrea rhizophorae,Molluscs,Oysters,NA,9,2,NA,0.120628,0.063728,NA,NA,NA,1.5,10.2,NA,NA,marine,Molluscs,23.038433,-23.038433,NA
901131,Crassostrea rhizophorae,Molluscs,Oysters,NA,9,2,NA,0.055512,0.0320736,NA,NA,NA,1.6,9.9,NA,NA,marine,Molluscs,23.038433,-23.038433,NA
901132,Crassostrea rhizophorae,Molluscs,Oysters,NA,9,2,NA,0.110386,0.072832,NA,NA,NA,1.5,9.3,NA,NA,marine,Molluscs,23.038433,-23.038433,NA
901133,Crassostrea rhizophorae,Molluscs,Oysters,NA,9,2,NA,0.164832,0.079184,NA,NA,NA,2,9.6,NA,NA,marine,Molluscs,23.038433,-23.038433,NA
901134,Euphausia superba,Crustacean,"Krill, planktonic crustaceans",NA,6,2.2,NA,0.02696,0.01287,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,32.165622,32.165622,NA
901155,Crassostrea rhizophorae,Molluscs,Oysters,NA,9,2,13.14,NA,NA,2.39,11.871063,NA,NA,3.22,NA,NA,marine,Molluscs,2.852432,-2.852432,NA
901156,Xiphopenaeus kroyeri,Crustacean,"Shrimps, prawns",NA,14,2.7,NA,0.086,0.097,NA,NA,NA,1,NA,NA,NA,marine,Crustacean,23.55052,-23.55052,10
901157,Farfantepenaeus brasiliensis,Crustacean,"Shrimps, prawns",NA,19.1,NA,NA,0.124,0.091,NA,NA,NA,1,NA,NA,NA,marine,Crustacean,23.55052,-23.55052,15.8
901158,Farfantepenaeus brasiliensis,Crustacean,"Shrimps, prawns",NA,19.1,NA,NA,0.1,0.072,NA,NA,NA,0.9,NA,NA,NA,marine,Crustacean,27.242339,-27.242339,16.3
901159,Farfantepenaeus brasiliensis,Crustacean,"Shrimps, prawns",NA,19.1,NA,NA,0.126,0.078,NA,NA,NA,1,NA,NA,NA,marine,Crustacean,27.242339,-27.242339,20
901160,Litopenaeus schmitti,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.085,0.062,NA,NA,NA,0.9,NA,NA,NA,marine,Crustacean,27.242339,-27.242339,15.7
901161,Litopenaeus schmitti,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.096,0.07,NA,NA,NA,1,NA,NA,NA,marine,Crustacean,27.242339,-27.242339,19.2
901162,Crangon crangon,Crustacean,"Shrimps, prawns",0.008196446,9,3.19,NA,0.07489008,0.05958176,NA,NA,NA,NA,18.47,0.02442,2.647,marine,Crustacean,41.607228,41.607228,5
901163,Quidnipagus palatam,Molluscs,"Clams, cockles, arkshells",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,26.501301,26.501301,NA
901164,Quidnipagus palatam,Molluscs,"Clams, cockles, arkshells",NA,6,NA,NA,0.024656802,0.029155424,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,26.501301,26.501301,NA
901165,Quidnipagus palatam,Molluscs,"Clams, cockles, arkshells",NA,6,NA,NA,0.036602927,0.02349697,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,26.501301,26.501301,NA
901166,Quidnipagus palatam,Molluscs,"Clams, cockles, arkshells",NA,6,NA,NA,0.019973921,0.009015164,NA,NA,NA,NA,NA,NA,NA,marine,Molluscs,26.501301,26.501301,NA
901167,Pinctada radiata,Molluscs,"Pearls, mother-of-pearl, shells",NA,6,NA,NA,NA,NA,0.28,0.02979,NA,NA,NA,NA,NA,marine,Molluscs,36.632173,36.632173,3.51
901168,Brachidontes pharaonis,Molluscs,Mussels,NA,2.3,NA,NA,NA,NA,0.04,0.01579,NA,NA,NA,NA,NA,marine,Molluscs,36.632173,36.632173,1.91
901169,Perna viridis,Molluscs,Mussels,NA,11,2,NA,NA,NA,NA,1.86,NA,NA,NA,NA,NA,marine,Molluscs,5.262923,5.262923,8.63
901170,Perna viridis,Molluscs,Mussels,NA,11,2,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,marine,Molluscs,2.189594,2.189594,8.44
901171,Perna viridis,Molluscs,Mussels,NA,11,2,NA,NA,NA,NA,1.99,NA,NA,NA,NA,NA,marine,Molluscs,5.937638,5.937638,6.46
901172,Perna viridis,Molluscs,Mussels,NA,11,2,NA,NA,NA,NA,2.19,NA,NA,NA,NA,NA,marine,Molluscs,5.773067,5.773067,6.11
901173,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.08839488,0.14522016,NA,NA,NA,0.86,NA,NA,NA,marine,Molluscs,36.5817,36.5817,NA
901174,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.08397312,0.1554048,NA,NA,NA,0.88,NA,NA,NA,marine,Molluscs,36.5817,36.5817,NA
901175,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.0759402,0.152397,NA,NA,NA,0.85,NA,NA,NA,marine,Molluscs,36.5817,36.5817,NA
901176,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.0718074,0.1234674,NA,NA,NA,0.85,NA,NA,NA,marine,Molluscs,36.5817,36.5817,NA
901177,Hexaplex trunculus,Molluscs,"Abalones, winkles, conchs",NA,5.5,NA,674.4,0.644600279,0.734312688,8.1,NA,NA,NA,15.75,NA,NA,marine,Molluscs,34.733333,34.733333,NA
901178,Moroteuthis ingens,Molluscs,"Squids, cuttlefishes, octopuses",NA,94,NA,NA,0.154768,0.400576,NA,NA,NA,1.5,NA,NA,NA,marine,Molluscs,53.08181,-53.08181,NA
901179,Moroteuthis ingens,Molluscs,"Squids, cuttlefishes, octopuses",NA,94,NA,NA,0.167286,0.385782,NA,NA,NA,1.5,NA,NA,NA,marine,Molluscs,54.620811,-54.620811,NA
901180,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,NA,NA,NA,NA,NA,NA,2.94,10.05,NA,NA,marine,Molluscs,40.403611,40.403611,NA
901181,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,NA,NA,NA,NA,NA,NA,3.13,10.5,NA,NA,marine,Molluscs,40.403611,40.403611,NA
901182,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,NA,NA,NA,NA,NA,NA,2.13,9.06,NA,NA,marine,Molluscs,40.403611,40.403611,NA
901183,Chamelea gallina,Molluscs,"Clams, cockles, arkshells",NA,5,NA,NA,NA,NA,NA,NA,NA,2.84,10.81,NA,NA,marine,Molluscs,40.403611,40.403611,NA
901185,Eriocheir sinensis,Crustacean,Freshwater crustaceans,NA,7.5,NA,NA,0.1040494,0.10725092,NA,NA,NA,1.96,20.71,NA,NA,freshwater,Crustacean,30.546498,30.546498,NA
901186,Eriocheir sinensis,Crustacean,Freshwater crustaceans,NA,7.5,NA,NA,0.20458472,0.08934396,NA,NA,NA,1.64,18.48,NA,NA,freshwater,Crustacean,30.546498,30.546498,NA
901187,Portunus pelagicus,Crustacean,"Crabs, sea-spiders",NA,14,3,NA,0.11695992,0.08582124,NA,NA,NA,1.08,18.4,NA,NA,marine,Crustacean,20.017378,20.017378,NA
901188,Portunus pelagicus,Crustacean,"Crabs, sea-spiders",NA,14,3,NA,0.061272,0.06216,NA,NA,NA,0.75,16.9,NA,NA,marine,Crustacean,20.017378,20.017378,NA
901191,Aristeus antennatus,Crustacean,"Shrimps, prawns",5.90E-05,6,3.29,NA,0.006710598,0.007997562,NA,NA,NA,NA,NA,8.00E-04,2.4,marine,Crustacean,37.017954,37.017954,3.5
901192,Aristeus antennatus,Crustacean,"Shrimps, prawns",5.90E-05,6,3.29,NA,0.020545461,0.032266026,NA,NA,NA,NA,NA,8.00E-04,2.4,marine,Crustacean,37.017954,37.017954,3.5
901193,Parapenaeus longirostris,Crustacean,"Shrimps, prawns",NA,4,3.31,NA,0.013605048,0.015811272,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,37.017954,37.017954,2.5
901194,Parapenaeus longirostris,Crustacean,"Shrimps, prawns",NA,4,3.31,NA,0.01930446,0.030611358,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,37.017954,37.017954,2.5
901195,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.006342894,0.009054711,NA,NA,NA,NA,NA,0.02302,0.8935,marine,Crustacean,37.017954,37.017954,2.8
901196,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.01424853,0.020131794,NA,NA,NA,NA,NA,0.02302,0.8935,marine,Crustacean,37.017954,37.017954,2.8
901197,Callinectes sapidus,Crustacean,"Crabs, sea-spiders",NA,23,4,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,marine,Crustacean,36.5,36.5,4.85
901198,Callinectes sapidus,Crustacean,"Crabs, sea-spiders",NA,23,4,NA,NA,NA,NA,NA,NA,NA,14.71,NA,NA,marine,Crustacean,36.5,36.5,4.85
901199,Portunus pelagicus,Crustacean,"Crabs, sea-spiders",NA,14,3,NA,NA,NA,NA,NA,NA,NA,21.54,NA,NA,marine,Crustacean,36.5,36.5,6.15
901200,Portunus pelagicus,Crustacean,"Crabs, sea-spiders",NA,14,3,NA,NA,NA,NA,NA,NA,NA,22.64,NA,NA,marine,Crustacean,36.5,36.5,6.15
901201,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.039948611,0.071709734,NA,NA,NA,NA,22.66,NA,NA,marine,Crustacean,43.863529,43.863529,NA
901202,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.037101517,0.064228696,NA,NA,NA,NA,24.03,NA,NA,marine,Crustacean,43.863529,43.863529,NA
901203,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.023645371,0.043766961,NA,NA,NA,NA,22.02,NA,NA,marine,Crustacean,33.886917,33.886917,NA
901204,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.030021745,0.057581619,NA,NA,NA,NA,20.31,NA,NA,marine,Crustacean,33.886917,33.886917,NA
901205,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.037700714,0.070346104,NA,NA,NA,NA,22.37,NA,NA,marine,Crustacean,36.5626,36.5626,NA
901206,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.030119591,0.056198482,NA,NA,NA,NA,23.92,NA,NA,marine,Crustacean,36.5626,36.5626,NA
901207,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.034584211,0.07125565,NA,NA,NA,NA,21.86,NA,NA,marine,Crustacean,32.10119,32.10119,NA
901208,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.029671139,0.062500818,NA,NA,NA,NA,24.63,NA,NA,marine,Crustacean,32.10119,32.10119,NA
901209,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.022001845,0.041721764,NA,NA,NA,NA,22.23,NA,NA,marine,Crustacean,35.240117,35.240117,NA
901210,Aristaeomorpha foliacea,Crustacean,"Shrimps, prawns",NA,17.5,NA,NA,0.033838013,0.065869534,NA,NA,NA,NA,22.86,NA,NA,marine,Crustacean,35.240117,35.240117,NA
901211,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.107330468,0.220887844,NA,NA,NA,1.01,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901212,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.178659328,0.375716864,NA,NA,NA,1.52,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901213,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,0.151176812,0.289513436,NA,NA,NA,1.29,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901214,Loligo vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,78,4.1,NA,0.11869732,0.3841656,NA,NA,NA,1.34,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901215,Loligo vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,78,4.1,NA,0.194312628,0.488293648,NA,NA,NA,1.73,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901216,Loligo vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,78,4.1,NA,0.212145856,0.559769472,NA,NA,NA,1.92,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901217,Eledone moschata,Molluscs,"Squids, cuttlefishes, octopuses",NA,19.4,NA,NA,0.02181936,0.05826824,NA,NA,NA,0.6,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901218,Eledone moschata,Molluscs,"Squids, cuttlefishes, octopuses",NA,19.4,NA,NA,0.040965608,0.094559208,NA,NA,NA,0.66,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901219,Eledone moschata,Molluscs,"Squids, cuttlefishes, octopuses",NA,19.4,NA,NA,0.041710624,0.080269936,NA,NA,NA,0.68,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901220,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,32,3.55,NA,0.038287273,0.066715065,NA,NA,NA,0.54,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901221,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,32,3.55,NA,0.073702872,0.176151672,NA,NA,NA,0.94,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901222,Octopus vulgaris,Molluscs,"Squids, cuttlefishes, octopuses",NA,32,3.55,NA,0.10157948,0.163680752,NA,NA,NA,0.98,NA,NA,NA,marine,Molluscs,34.553128,34.553128,NA
901223,Orconectes limosus,Crustacean,Freshwater crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,freshwater,Crustacean,53.116156,53.116156,NA
901224,Orconectes limosus,Crustacean,Freshwater crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,freshwater,Crustacean,52.585556,52.585556,NA
901225,Gastropods nei,Molluscs,"Abalones, winkles, conchs",NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,marine,Molluscs,37.018241,37.018241,NA
901226,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.065331,0.0787815,NA,NA,NA,0.7,NA,0.02302,0.8935,marine,Crustacean,37.37083333,37.37083333,17.5
901227,Palinurus elephas,Crustacean,"Lobsters, spiny-rock lobsters",NA,50,NA,NA,0.06658437,0.06431919,NA,NA,NA,1,NA,NA,NA,marine,Crustacean,37.37083333,37.37083333,25.5
901228,Melicertus kerathurus,Crustacean,"Shrimps, prawns",NA,18,NA,NA,0.1639872,0.1238445,NA,NA,NA,1.3,NA,NA,NA,marine,Crustacean,40.26691,40.26691,16.7
901229,Penaeus monodon,Crustacean,"Shrimps, prawns",NA,31,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,11.753288,11.753288,NA
901230,Fenneropenaeus indicus,Crustacean,"Shrimps, prawns",NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,11.753288,11.753288,NA
901231,Metapenaeus dobsoni,Crustacean,"Shrimps, prawns",NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,11.753288,11.753288,NA
901232,Parapenaeopsis stylifera,Crustacean,"Shrimps, prawns",NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,11.753288,11.753288,NA
901233,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,60.8
901234,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,65.4
901235,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,64.7
901236,Penaeus semisulcatus,Crustacean,"Shrimps, prawns",NA,6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,68
901237,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,18
901238,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,14.4
901239,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,16.3
901240,Metapenaeus monoceros,Crustacean,"Shrimps, prawns",NA,18,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,36.783922,36.783922,17.3
901241,Strombus gracilior,Molluscs,"Abalones, winkles, conchs",NA,7,NA,NA,NA,NA,0.01,NA,NA,0.54,NA,NA,NA,marine,Molluscs,10.591648,10.591648,7
901242,Strombus gracilior,Molluscs,"Abalones, winkles, conchs",NA,8,NA,NA,NA,NA,0.01,NA,NA,0.94,NA,NA,NA,marine,Molluscs,10.591648,10.591648,8
901243,Strombus gracilior,Molluscs,"Abalones, winkles, conchs",NA,7,NA,NA,NA,NA,0.01,NA,NA,0.35,NA,NA,NA,marine,Molluscs,10.591648,10.591648,7
901244,Strombus gracilior,Molluscs,"Abalones, winkles, conchs",NA,8,NA,NA,NA,NA,0.01,NA,NA,0.91,NA,NA,NA,marine,Molluscs,10.591648,10.591648,8
901257,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,72,NA,NA,2.66,1.05,6.6,NA,17.6,0.02302,0.8935,marine,Crustacean,63.968654,63.968654,NA
901259,Arctica islandica,Molluscs,"Clams, cockles, arkshells",0.012671945,11,2,62.9,NA,NA,5.3,0.84,1.7,NA,7.3,0.023009,2.632,marine,Molluscs,63.968654,63.968654,NA
901265,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.05204254,0.049944343,NA,NA,NA,0.6,NA,0.02302,0.8935,marine,Crustacean,63.968654,63.968654,NA
901266,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.032009918,0.035551025,NA,NA,NA,0.5,NA,0.02302,0.8935,marine,Crustacean,63.968654,63.968654,NA
901267,Nephrops norvegicus,Crustacean,"Lobsters, spiny-rock lobsters",0.000147576,8,2.88,NA,0.073998792,0.086094436,NA,NA,NA,0.78,NA,0.02302,0.8935,marine,Crustacean,63.968654,63.968654,NA
901298,Velesunio ambiguus,Molluscs,Freshwater molluscs,NA,10,NA,124,NA,NA,16.6,3.9,NA,1.4,6.6,NA,NA,freshwater,Molluscs,25.274398,-25.274398,NA
902188,Potamon sp.,Crustacean,Freshwater crustaceans,NA,NA,NA,NA,0.004412448,NA,10,3.1,NA,NA,16.3,NA,NA,freshwater,Crustacean,14.903036,14.903036,NA
902189,Pila sp.,Molluscs,"Abalones, winkles, conchs",NA,15,NA,812,NA,NA,102,12,NA,NA,11.8,NA,NA,marine,Molluscs,14.903036,14.903036,NA
902223,Euphausia sp,Crustacean,"Krill, planktonic crustaceans",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,NA,NA,NA
902224,Euphausia sp,Crustacean,"Krill, planktonic crustaceans",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,Crustacean,NA,NA,NA
902226,Mytilus spp,Molluscs,Mussels,NA,11,NA,67.76,NA,NA,38.48,1.265025,NA,NA,16.09,NA,NA,marine,Molluscs,2.852432,-2.852432,NA
902242,Macrobrachium spp.,Crustacean,Freshwater crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,freshwater,Crustacean,24.4333,24.4333,NA
902280,Palinurus elephas,Crustacean,"Lobsters, spiny-rock lobsters",NA,15,2.6,NA,NA,NA,NA,NA,NA,1.91,18.11,NA,NA,marine,Crustacean,37.966667,37.966667,NA
902281,Sepia officinalis,Molluscs,"Squids, cuttlefishes, octopuses",NA,28,3.55,NA,NA,NA,NA,NA,NA,2.38,18.32,NA,NA,marine,Molluscs,37.966667,37.966667,NA
902284,Mytilus edulis,Molluscs,NA,0.00018578,11,NA,26,NA,NA,4,1.6,NA,2.2,NA,2.00E-04,2.85,marine,Molluscs,52.372895,52.372895,NA
902285,Saxidomus giganteaÊ,Molluscs,NA,NA,13,NA,46,NA,NA,14,1.37,NA,1,NA,NA,NA,marine,Molluscs,52.372895,52.372895,NA
902286,Haliotis cracherodii,Molluscs,NA,NA,29,NA,31,NA,NA,3.2,0.82,NA,0.8,NA,NA,NA,marine,Molluscs,52.372895,52.372895,NA
902290,Metacarcinus magister,Crustacean,NA,NA,22.5,NA,219,NA,NA,46,0.6,NA,0.6,NA,NA,NA,marine,Crustacean,52.372895,52.372895,NA
