Reference,Food.Item.ID,species,SLB_species,tissue sampled,Wild/farmed,study status,common name,location,,Latitude,length reported in study (cm),weight reported in study (g),Season,Protein (g/100g ww),Fat (g /100g ww),Ca (mg),Mg (mg),Fe (mg),K (mg),P (mg),Zn (mg),Zn unit notes (if not mg/100g ww),EPA (g/100g),DHA (g/100g),total PUFA (mg/100g ww),Hg (mg),Pb (mg),Protein as percent dry weight,Fat as percent dry matter,Ash as percent dry matter,Reference notes
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",51,Nacella deaurata,Nacella deaurata,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,4.01,6.11,September 2001,,,83,,55.1,,,0.85,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",52,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,5.36,9.36,September 2001,,,60,,4.32,,,0.998,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",53,Acanthina monodon,Acanthina monodon,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,4.95,1.93,September 2001,,,93,,2.52,,,3.54,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",54,Aulacomya ater,Aulacomya ater,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,5.45,7.08,September 2001,,,102,,4.62,,,2.25,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",55,Fissurella picta,Fissurella picta,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,5.33,13.7,September 2001,,,27,,8.11,,,1.51,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",56,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,5.22,8.53,September 2001,,,68,,7.08,,,0.785,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",57,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,5.50,9.88,September 2001,,,57,,2.85,,,1.15,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",58,Mytilus chilensis,Mytilus chilensis,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,5.11,9.67,September 2001,,,53,,1.97,,,1.02,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",59,Nacella deaurata,Nacella deaurata,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,3.64,4.36,September 2001,,,105,,8.05,,,0.793,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",60,Nacella deaurata,Nacella deaurata,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,4.05,6.50,September 2001,,,74,,4.39,,,0.862,,,,,,,,,,
"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",61,Nacella deaurata,Nacella deaurata,muscle,wild,original paper,,"Punta Arenas, Chile",,-53.5,4.85,9.18,September 2001,,,63,,3.44,,,0.967,,,,,,,,,,
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",62,Meretrix lusoria,Meretrix lyrata,foot muscle,wild,original paper,,"Andaman Sea in Kantang, Trang Province, Thailand",,,,,"October-December, 2012",,,39.849,,3.775,,,2.126,,,,,,,,,,
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",63,Meretrix lusoria,Meretrix lyrata,mantle,wild,original paper,,"Andaman Sea in Kantang, Trang Province, Thailand",,,,,"October-December, 2012",,,149.199,,8.257,,,0.911,,,,,,,,,,
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",64,Meretrix lusoria,Meretrix lyrata,viscera,wild,original paper,,"Andaman Sea in Kantang, Trang Province, Thailand",,,,,"October-December, 2012",,,95.346,,27.613,,,2.025,,,,,,,,,,
http://www.sciencedirect.com.ezproxy.library.ubc.ca/science/article/pii/S0308814608007796,65,Chamelea gallina,Chamelea gallina,muscle,wild,original paper,,"Tekirdağ, in the northern part of the Sea of Marmara, Turkey (40° 53″ 629′ N, 27° 27″ 909′ E)",,,24.6,5.817,,,,,,10.75505,,,1.0241,,,,,,,,,,
http://www.sciencedirect.com.ezproxy.library.ubc.ca/science/article/pii/S0308814608007796,66,Donax trunculus,Donax trunculus,muscle,wild,original paper,,"Tekirdağ, in the northern part of the Sea of Marmara, Turkey (40° 53″ 629′ N, 27° 27″ 909′ E)",,,31.52,4.45,,,,,,33.55455,,,1.75985,,,,,,,,,,
"Skonberg, Denise I., and Brian L. Perkins. ""Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat."" Food Chemistry 77.4 (2002): 401-404.",67,Carcinus maenus,Carcinus maenas,claw meat,wild,original paper,,Gulf of Maine,,,7.97,124.6,November 2000,,,91.55,28.33,0.286,199.455,127.52,4.296,,154,115,,,,16.8,0.5,2.2,
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",68,Mercenaria mercenaria,Mercenaria mercenaria,muscle,wild,original paper,,markets in eastern Virginia,,,,,summer 1980,,,34.4,10.05,,660,276,,,,,,,,,,,
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",69,Callinectes sapidus,Callinectes sapidus,muscle,wild,original paper,,markets in eastern Virginia,,,,,summer 1980,,,32.8,9.24,0.00246,314.1,144.7,0.0025,,,,,,,,,,
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",70,Crassostrea virginica,Crassostrea virginica,muscle,wild,original paper,,markets in eastern Virginia,,,,,summer 1980,,,61,54.4,0.00765,229,165,0.08246,,,,,,,,,,
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",71,Placopectens magellanicus,Placopecten magellanicus,muscle,wild,original paper,,markets in eastern Virginia,,,,,summer 1980,,,9.2,56,0.1071,412.2,201.6,1.2187,,,,,,,,,,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",72,Homarus americanus,Homarus americanus,Muscle,wild,original paper,,USA and Canada,,,,580,,,,,25.2,0.23,262.9,,2.9,,,,,0.01,,,,,all mineral data originally reported in micrograms per g
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",73,Homarus americanus,Homarus americanus,Hepatopancreas,wild,original paper,,USA and Canada,,,,580,,,,,15.8,2.9,269.4,,3.1,,,,,0.013,,,,,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",74,Homarus americanus,Homarus americanus,Gonads,wild,original paper,,USA and Canada,,,,580,,,,,11.2,1.2,213.5,,1.7,,,,,0.001,,,,,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",75,Homarus gammarus,Homarus gammarus,Muscle,wild,original paper,,USA and Canada,,,,587 ,,,,,22.2,0.18,261.3,,2.6,,,,,0.015,,,,,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",76,Homarus gammarus,Homarus gammarus,Hepatopancreas,wild,original paper,,USA and Canada,,,,587 ,,,,,8.2,1.6,253.4,,4.1,,,,,0.009,,,,,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",77,Homarus gammarus,Homarus gammarus,Gonads,wild,original paper,,USA and Canada,,,,587 ,,,,,9.2,1.6,231.4,,3,,,,,0.001,,,,,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters."" Food chemistry 111.4 (2008): 862-867.",78,Homarus gammarus,Homarus gammarus,Roe,wild,original paper,,USA and Canada,,,,587 ,,,,,39.6,0.7,64.4,,3.5,,,,,0.001,,,,,
"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498.",79,Callinectes sapidus,Callinectes sapidus,claw meat,wild,original paper,," Gulf of Antalya, the coast of Western Mediterranean of Turkey",,,4.85,73.28,Jul-01,,,149.2,35.1,1.04,256.3,135.2,6.99,,,,,,,,,,
"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498.",80,Callinectes sapidus,Callinectes sapidus,body meat,wild,original paper,," Gulf of Antalya, the coast of Western Mediterranean of Turkey",,,4.85,73.28,Jul-01,,,64.9,37.1,1.13,244.4,165.4,4.7,,,,,,,,,,
"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498.",81,Portunus pelagicus,Portunus pelagicus,claw meat,wild,original paper,," Gulf of Antalya, the coast of Western Mediterranean of Turkey",,,6.15,173.03,Jul-01,,,150.9,55.8,0.45,308.9,120.6,4.68,,,,,,,,,,
"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498.",82,Portunus pelagicus,Portunus pelagicus,body meat,wild,original paper,," Gulf of Antalya, the coast of Western Mediterranean of Turkey",,,6.15,173.03,Jul-01,,,87.6,48.8,0.68,303.8,154.2,3.72,,,,,,,,,,
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",83,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,December,9.28,2.04,23.6017,73.0736,1.7316,271.8615,174.1126,19.2468,,,,,0.0042,,,,,originally the micronutrient data were reported as mg/kg
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",84,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,February,9.09,1.92,23.3905,89.9454,4.0374,312.8605,258.4567,86.2042,,,,,0.0384,,,,,originally the micronutrient data were reported as mg/kg
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",85,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,March,10.3,2.4,25.8339,80.4606,2.1842,329.03,267.3412,58.7299,,,,,0.0183,,,,,originally the micronutrient data were reported as mg/kg
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",86,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,April,9.74,5.51,30.2673,54.9411,5.2411,459.8183,577.8302,29.0114,,,,,0.0302,,,,,originally the micronutrient data were reported as mg/kg
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",87,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,May,9.32,1.47,44.7876,90.7003,1.349,229.2193,179.1045,41.8197,,,,,0.0126,,,,,originally the micronutrient data were reported as mg/kg
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",88,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,October,8.71,2.04,54.8653,91.225,3.9096,238.4883,282.3632,49.6959,,,,,0.0061,,,,,originally the micronutrient data were reported as mg/kg
"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40.",89,Ostrea edulis,Ostrea edulis,body meat,wild,original paper,,Sea of Marmara,,,,,November,6.85,1.69,20.1334,89.4581,2.1565,269.6777,166.8008,26.9619,,,,,0.0052,,,,,originally the micronutrient data were reported as mg/kg
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",90,Pinctada radiata,Pinctada radiata,body meat,cultured,original paper,,"Gulf of Antalya (Maden Bay), Turkey   ",,,7.19,8.78,Sep-03,,,58.49844639,115.5555556,6.912621359,171.2895377,,87.16655918,,,,,,,,,,originally the micronutrient data were reported as mg/kg
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",91,Pinctada radiata,Pinctada radiata,body meat,cultured,original paper,,"Gulf of Antalya (Maden Bay), Turkey   ",,,7.21,7.07,Nov-03,,,79.8921264,128.3091787,2.058252427,120.6812652,,47.35744855,,,,,,,,,,
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",92,Pinctada radiata,Pinctada radiata,body meat,cultured,original paper,,"Gulf of Antalya (Maden Bay), Turkey   ",,,6.71,8.81,Jan-03,,,87.34009498,149.178744,3.902912621,124.5742092,,58.66447793,,,,,,,,,,
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",93,Pinctada radiata,Pinctada radiata,body meat,cultured,original paper,,"Gulf of Antalya (Maden Bay), Turkey   ",,,6.83,16.11,Mar-03,,,64.18197807,57.19806763,0.9514563107,138.1995134,,23.50612652,,,,,,,,,,
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",94,Pinctada radiata,Pinctada radiata,body meat,cultured,original paper,,"Gulf of Antalya (Maden Bay), Turkey   ",,,7.21,12.85,May-03,,,42.18514393,85.02415459,2,188.8077859,,54.58404174,,,,,,,,,,
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165.",95,Pinctada radiata,Pinctada radiata,body meat,cultured,original paper,,"Gulf of Antalya (Maden Bay), Turkey   ",,,6.25,13.35,Jul-03,,,37.23702879,79.22705314,1.126213592,157.6642336,,33.74942839,,,,,,,,,,
"Fuentes, A., et al. ""Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins."" Food Chemistry 112.2 (2009): 295-302.",96,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Ría de Vigo in Galicia (NW Iberian Peninsula),,,7.7,,July 2002 ,10,1.4,40,56,1,36,314,2.3,,,,,,,,,,"also reported FA but as % total, so I didn't record"
"Fuentes, A., et al. ""Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins."" Food Chemistry 112.2 (2009): 295-302.",97,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Ebro Delta in Catalonia (NE Iberian Peninsula),,,7.2,,July 2002 ,6.5,1.7,37,41,2.1,111,149,2,,,,,,,,,,"also reported FA but as % total, so I didn't record"
"Fuentes, A., et al. ""Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins."" Food Chemistry 112.2 (2009): 295-302.",98,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Valencia Harbour (E Iberian Peninsula) ,,,5.4,,July 2002 ,10,2.1,82,91,2.9,139,239,1.76,,,,,,,,,,"also reported FA but as % total, so I didn't record"
"Karakoltsidis, Pavlos A., Anastasios Zotos, and Spiros M. Constantinides. ""Composition of the commercially important Mediterranean finfish, crustaceans, and molluscs."" Journal of Food Composition and Analysis 8.3 (1995): 258-273.",99,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,wild,original paper,,Lat 11deg29minN Long 79deg46minE,,,,,"spring and fall of 1988, winter of 1990",10.73,1.67,88,44,10.9,328,,4.69,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",100,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,"Istria, Adriatic coast",,,,,autumn 2013,,,236.8,81.6,7.79,238.6,,51,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",101,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,"Istria, Adriatic coast",,,,,autumn 2013,,,91.3,101.4,4.12,309.2,,98.5,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",102,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,"Istria, Adriatic coast",,,,,autumn 2013,,,128.3,74.6,4.76,245,,40.2,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",103,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,205.5,99.3,5.19,231.3,,92.8,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",104,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,133.6,88.5,4.96,221.4,,61.2,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",105,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,60.6,93.7,3.78,253.5,,45.7,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",106,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,261.6,82.9,3.21,243.7,,101.9,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",107,Ostrea edulis,Ostrea edulis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,126.7,96.1,2.55,202.4,,54,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",108,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,"Istria, Adriatic coast",,,,,autumn 2013,,,53.1,118.8,3.29,241.7,,2.07,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",109,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,"Istria, Adriatic coast",,,,,autumn 2013,,,50.5,103.3,1.65,216.7,,3.08,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",110,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,"Velebit Channel, Adriatic coast",,,,,autumn 2013,,,67.3,93.4,9.41,208.1,,1.77,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",111,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,"Novigrad Sea, Adriatic coast",,,,,autumn 2013,,,44.7,52.4,1.61,196.6,,5.28,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",112,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,73.2,113.6,9.44,229.9,,2.59,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",113,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,81.1,119.8,10.9,200.5,,2.39,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",114,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,43.8,99.9,3.61,259.4,,3.5,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",115,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,65.5,119.2,5.94,269.5,,2.33,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",116,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,Mali Ston Bay Adriatic coast,,,,,autumn 2013,,,42.9,108.3,1.64,233,,2.44,,,,,,,,,,
"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49.",117,Mytilus galloprovincialis,Mytilus galloprovincialis,body meat,cultured,original paper,,"Island Mljet, Adriatic coast",,,,,autumn 2013,,,78.5,114.5,2.38,195.3,,3.2,,,,,,,,,,
