sciname,StockDefs,TempMin,TempMax,SpecCode
Cyprinus carpio,"Asia: Katjera Domas strain of West Java, Indonesia.",NA,NA,1450
Cyprinus carpio,Asia: Kursk strain (mirror carp) of Russian race.,NA,NA,1450
Cyprinus carpio,"Asia: Majalayan strain (scale carp) of Sukabumi, West Java, Indonesia.",NA,NA,1450
Cyprinus carpio,"Asia: Sinyonya strain (scale carp) of West Java, Indonesia.",NA,NA,1450
Cyprinus carpio,Europe and Asia:  Nivchan strain (scale carp) of Russian race.,NA,NA,1450
Cyprinus carpio,"Europe and Asia: German strain.  Introduced in the flatland temperate waters of Kashmir, India about three decades ago.",NA,NA,1450
Cyprinus carpio,"Europe and Asia: Nasice strain (mirror carp) of Nasice fish farm, Croatia.  Introduced to Israel from Nasice, Croatia in 1970.",NA,NA,1450
Cyprinus carpio,"Europe: Aischgrunder strain (mirror carp) was developed in Aischgrund, Bavaria, Germany during the past 300 years.",NA,NA,1450
Cyprinus carpio,"Europe: Bohemian strain (leather carp), Bohemia, Czech Republic.",NA,NA,1450
Cyprinus carpio,"Europe: Galician strain (mirror carp), Galicia, Poland.  These were bred by A. Gasch in 1900 (see Ref. 4561).",NA,NA,1450
Cyprinus carpio,"Europe: Lausitzer strain (scale carp), Lausitzer area, eastern Germany.",NA,NA,1450
Cyprinus carpio,"Japan: Yamato strain (scale carp) of Nagano Prefecture, Japan.  Widely cultivated in Japan.",NA,NA,1450
Cyprinus carpio,Asia: Hong Kong wild strain x `Dor-70' hybrid.  Produced by crossing wild strain female with `Dor-70' male in 1979 and 1980.,NA,NA,1450
Cyprinus carpio,"Europe and Asia: Dinnyés strain (mirror carp), Hungary.  A hybrid of Hungarian, Israeli and Yugoslavian stocks.  Has also been introduced to Bangladesh.",NA,NA,1450
Cyprinus carpio,Europe and Asia: Ropsha strain (mirror carp) of Russian race.  Hybrid produced between Amur wild carp and Galician carp.,NA,NA,1450
Cyprinus carpio,"Europe to Asia:  Black, Caspian and Aral Sea basins.  Introduced throughout the world.  Wild stocks are only present naturally in rivers draining to the Black, Caspian and Aral Sea (Ref. 59043).  A reophilic wild population in the Danube is assumed to be the origin of the European species; this population is now under threat (Ref. 13696).",3,35,1450
Cyprinus carpio,"<i>Cyprinus carpio haematopterus</i>	:  Asia:  Amur-Chinese region or Far Eastern region.  Amur basin from the Onon and Argun' to the mouth of the Amur;  Sungari, Ussuri, Lake Khanka (Ref. 1441).  Stocks have lower counts of dorsal fin rays and gill rakers compared to carps from various Central-Asian origins.  Known to be more resistant to low temperatures.",NA,NA,1450
Cyprinus carpio,Asia:  Wild strain scale carp of Central and East Asia.,NA,NA,1450
Cyprinus carpio,"Europe: 'Wild strain' (scale carp) from Europe.  The European wild carp is now extremely rare and highly endangered.  It is probably extinct in its pure form (Ref. 10926).  Critically endangered in River Danube (Austria, Bulgaria, Croatia, Hungary, Montenegro, Romania, Serbia, Slovakia, Slovenia) (Ref. 72481).",NA,NA,1450
Danio dangila,"Asia:  India, Bangladesh, Nepal and Myanmar (Ref. 4832).  Reported from Bhutan (Ref. 40882).",NA,NA,24381
Dasyatis americana,"Western Atlantic:  New Jersey, USA and northern Gulf of Mexico to southern Brazil, including the Antilles (Ref. 3168).",NA,NA,1247
Dasyatis sabina,Western Atlantic:  Chesapeake Bay to southern Florida in the USA and the Gulf of Mexico.  Records from South America doubtful (Ref. 7251).,NA,NA,2574
Deania calcea,"Eastern Atlantic:  Iceland along Atlantic slope to Algoa Bay, South Africa (Ref. 247, 5578).  Western Pacific:  southern Honshu in Japan, southern Australia, New Zealand.  Occurrence in the Western Central Pacific uncertain (Ref. 31367).  Eastern Pacific:  southern Chile to northern Peru (Ref. 38549).",NA,NA,670
Decapterus punctatus,"Western Atlantic:  Nova Scotia, Canada (Ref. 7251) southward through the Gulf of Mexico and the Caribbean to Rio de Janeiro, Brazil.  Eastern Atlantic:  Morocco to South Africa, including the Madeira, Canary, Cape Verde, Ascension and St. Helena islands (Ref. 7097).",NA,NA,994
Dentex dentex,"Eastern Atlantic:  British Isles to Cape Blanc, Mauritania; (exceptionally further south) Senegal and around the Canary Islands and Madeira.  Common south of 40°N (Spain, North Africa) in the Mediterranean (Ref. 4781).",NA,NA,439
Dentex maroccanus,"Eastern Atlantic:  Bay of Biscay (occasionally further north) and southwestern Mediterranean to the Strait of Gibraltar and the Gulf of Guinea, possibly even further south.",NA,NA,4538
Dicentrarchus labrax,"Eastern Atlantic:  Norway to Morocco, the Canary Islands and Senegal.  Also known from the Mediterranean and Black Sea.  Absent from White, Barents, Baltic and Caspian Seas (Ref. 59043).",8,24,63
Diplodus annularis,"Eastern Atlantic:  Canary islands, also found along the coast of Portugal northward to the Bay of Biscay, Mediterranean, Black Sea and Sea of Azov (Ref. 4781).",NA,NA,1752
Diplodus puntazzo,"Eastern Atlantic:  Bay of Biscay (rare) to Sierra Leone, the Canary Islands, and Cape Verde, including the Mediterranean and Strait of Gibraltar and Black Sea (Ref. 4781).  Also off South Africa.",NA,NA,1749
Diplodus sargus sargus,Eastern Atlantic:  Mediterranean and Black Sea.  Eastern Central Atlantic:  Madeira Island (Ref. 74541).,NA,NA,1753
Diplodus vulgaris,Eastern Atlantic:  Bay of Biscay to Cape Verde and the Canary Islands including the Mediterranean and Black Sea (off Bulgaria); also from Angola to South Africa.,NA,NA,1754
Echelus myrus,"Eastern Atlantic:  Bay of Biscay to Pointe Noire, Congo including the Mediterranean.",NA,NA,1713
Eleutheronema tetradactylum,"Indo-West Pacific:  Persian Gulf to Papua New Guinea and northern Australia.  Replaced by <i>Eleutheronema rhadinum</i> (Jordan & Evermann, 1902), in East Asia (Japan, China, Viet Nam).",NA,NA,340
Elops saurus,"Western Atlantic:  Cape Cod (USA), Bermuda, and northern Gulf of Mexico to southern Brazil.  Questionable occurrence records in the China (Ref. 52360), Taiwan (47843), and Vietnam (Ref. 9706, 46452).",NA,NA,175
Engraulis encrasicolus,"Eastern Atlantic:  Bergen, Norway to East London, South Africa (perhaps reaching Durban) (Ref. 10000).  Also all of Mediterranean, Black and Azov seas, with stray individuals in Suez Canal and Gulf of Suez; also recorded from St. Helena (Ref. 189).  Reported from Estonia (Ref. 33247).",NA,NA,66
Engraulis encrasicolus,Northeast Atlantic:  Bay of Biscay (ICES division VIII).,NA,NA,66
Engraulis encrasicolus,Northeast Atlantic:  Western Iberian Seas (ICES Division Ixa).,NA,NA,66
Epinephelus aeneus,"Eastern Atlantic:  along the west coast of Africa to southern Angola (Ref. 5222, 57293), including the southern Mediterranean (Ref. 5222).  First record from Corsica, France in 2012 (Ref. 95839).  Records from the Canary Islands and Cape Verde are unsubstantiated (Ref. 5222).",NA,NA,426
Epinephelus coioides,"Indo-West Pacific:  Red Sea south to at least Durban, South Africa and eastward to Palau and Fiji, north to the Ryukyu Islands, south to the Arafura Sea (Ref. 9819) and  Australia.  Recently reported from the Mediterranean coast of  Israel (Ref. 5222).  Frequently misidentified as <i>Epinephelus tauvina</i> or <i>Epinephelus malabaricus</i> (Ref. 27362).",NA,NA,6465
Epinephelus sexfasciatus,"Western Central Pacific:  known only from tropical waters, from Thailand and the Philippines to northern Australia.",NA,NA,4825
Esomus danricus,"Asia:  Pakistan, India, Nepal, Bangladesh (Ref. 41236), Afghanistan (Ref. 41034), Sri Lanka (Ref. 6028)  and Myanmar (Ref. 43640).",22,NA,5150
Esox lucius,"Circumpolar in fresh water.  North America:  Atlantic, Arctic, Pacific, Great Lakes and Mississippi River basins from Labrador to Alaska and south to Pennsylvania, Missouri and Nebraska, USA (Ref. 5723).  Eurasia:  Caspian, Black, Baltic, White, Barents, Arctic, North and Aral Seas and Atlantic basins, southwest to Adour drainage; Mediterranean basin in Rhône drainage and northern Italy.  Widely distributed in central Asia and Siberia easward to Anadyr drainage (Bering Sea basin).  Historically absent from Iberian Peninsula, Mediterranean France, central Italy, southern and western Greece, eastern Adriatic basin, Iceland, western Norway and northern Scotland. Widely introduced and translocated throughout Europe (Ref. 59043).  Several countries report adverse ecological impact after introduction (Ref. 1739).",10,28,258
Etmopterus princeps,"Northwest Atlantic:  Nova Scotia, Canada to New Jersey, USA.  Northeast Atlantic:  southern Iceland along Atlantic slope to Faeroes, Hebrides, UK, English Channel, Bay of Biscay and Gibraltar, Mauritania.  Nominally recorded from New Caledonia in the Western Central Pacific, but its status there needs clarification - other large species of lanternsharks (<i>Etmopterus baxteri</i> and <i>Etmopterus unicolor</i>) may be involved (Ref. 31367).",NA,NA,683
Etrumeus sadina,Restricted to the northwestern Atlantic:  from the Bay of Fundy to the Gulf of Mexico.,NA,NA,1455
Euthynnus alletteratus,"Atlantic Ocean:  in tropical and subtropical waters, including the Mediterranean, Black Sea, Caribbean Sea and Gulf of Mexico.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",NA,NA,97
Eutrigla gurnardus,"Eastern Atlantic:  Norway to Morocco, Madeira, and Iceland.  Also known from the Mediterranean and Black Sea (Ref. 4697).",NA,NA,68
Gadus macrocephalus,"North Pacific:  Yellow Sea to the Bering Strait, along the Aleutians, and south to about Los Angeles, USA.  Rare in the southern part of its range.",6,9,308
Gadus morhua,North Atlantic and Arctic: Ungava Bay in Canada along the North American coast to Cape Hatteras; North Carolina in the western Atlantic. East and west coast of Greenland; around Iceland; from Barents Sea including the region around Bear Island along the European coast to Bay of Biscay (Ref. 88171).,0,15,69
Gadus morhua,Northeast Atlantic:  Faroe Bank (ICES Division Vb2),NA,NA,69
Gadus morhua,Greenland (ICES Subarea XIV and NAFO Subarea 1),NA,NA,69
Gadus morhua,Northeast Atlantic: Kattegat (ICES division Division IIIa East),NA,NA,69
Gadus morhua,Northeast Atlantic:  Celtic Sea (ICES division VIIe-k).,NA,NA,69
Gadus morhua,"Northeast Atlantic:  Central and Eastern Baltic, ICES subdivisions 25-32, including Bothnian Sea, Bothnian Bay and Gulf of Finland.",NA,NA,69
Gadus morhua,Northeast Atlantic:  Faroe Plateau (ICES Subdivision Vb1).,NA,NA,69
Gadus morhua,Northeast Atlantic:  Iceland (ICES division Va).,NA,NA,69
Gadus morhua,Northeast Atlantic:  Irish Sea (ICES division VIIa).,NA,NA,69
Gadus morhua,Northeast Atlantic:  North East Arctic - Barents Sea and Norwegian Sea (ICES subareas I and II).,NA,NA,69
Gadus morhua,"Northeast Atlantic:  North Sea, Eastern Channel, Skagerrak (ICES divisions IV, VIId, IIIa West).",NA,NA,69
Gadus morhua,Northeast Atlantic:  West of Scotland (ICES division VIa).,NA,NA,69
Gadus morhua,"Northeast Atlantic:  Western Baltic, ICES subdivisions 22 and 24, consisting of the Belt Sea and Kiel and Mecklenburg Bay and the Arkona Sea.",NA,NA,69
Gadus morhua,Northwest Atlantic: Eastern Scotian Shelf (NAFO Div. 4VsW).,NA,NA,69
Gadus morhua,Northwest Atlantic: Flemish Cap (NAFO Div. 3M).,NA,NA,69
Gadus morhua,Northwest Atlantic: Georges Bank (NAFO Div. 5Z-6).,NA,NA,69
Gadus morhua,Northwest Atlantic: Gulf of Maine (NAFO Div. 5Y).,NA,NA,69
Gadus morhua,Northwest Atlantic: Northern Gulf of St. Lawrence ( NAFO Div. 3Pn4RS).,NA,NA,69
Gadus morhua,Northwest Atlantic: Northern Labrador (NAFO Div. 2GH).,NA,NA,69
Gadus morhua,Northwest Atlantic: Southern Grand Bank (NAFO Div. 3NO).,NA,NA,69
Gadus morhua,Northwest Atlantic: Southern Gulf of St. Lawrence (NAFO Div. 4TVn).,NA,NA,69
Gadus morhua,Northwest Atlantic: Southern Labrador-Eastern Newfoundland  (NAFO Div. 2J3KL).,NA,NA,69
Gadus morhua,Northwest Atlantic: Southern Newfoundland (NAFO Div. 3Ps).,NA,NA,69
Gadus morhua,Northwest Atlantic: Western Scotian Shelf (NAFO Div. 4X).,NA,NA,69
Gadus morhua,North Atlantic:  Norwegian Coastal Waters (in ICES subareas I and II),NA,NA,69
Gadus morhua,Rockall (ICES division VIb),NA,NA,69
Gasterochisma melampus,Circumglobal in southern temperate waters.,8,14.5,100
Gudusia chapra,Asia:  rivers of India and Bangladesh affluent to the Bay of Bengal (chiefly the Ganges and Brahmaputra systems and the Mahanadi River of Orissa).  Reported from Nepal (Ref. 9496) and Pakistan (Ref. 41236).,NA,NA,1601
Mugil cephalus,"Cosmopolitan in coastal waters of the tropical, subtropical and temperate zones of all seas.  Eastern Pacific:  California, USA to Chile (Ref. 2850).  Western Pacific:  Japan to Australia (Ref. 9812).  Western Indian Ocean:  from India to South Africa (Ref. 4393).   Western Atlantic:  Nova Scotia, Canada to Brazil (Ref. 7251); Cape Cod to southern Gulf of Mexico (Ref. 26938);  absent in the Bahamas and most of West Indies and Caribbean (Ref. 7251, 9761).  Eastern Atlantic:  Bay of Biscay to South Africa, including the Mediterranean Sea and Black Sea (Ref. 7399).  Reported in Sea of Okhotsk (Ref. 50550).",8,24,785
Helicolenus dactylopterus,"Western Atlantic:  Nova Scotia, Canada to Venezuela.  Eastern Atlantic:  Iceland (Ref. 12462) and Norway to the Mediterranean and the Gulf of Guinea, including Madeira, the Azores, and the Canary Islands; also Walvis Bay, Namibia to Natal, South Africa (Ref. 4313).",NA,NA,76
Helostoma temminkii,Asia:  Thailand to Indonesia.,22,28,500
Hyporhamphus unifasciatus,"Western Atlantic:  south Florida (USA), through the Caribbean and along the coasts of Central and South America to Uruguay.",NA,NA,1060
Hemiramphus brasiliensis,"Western Atlantic:  Massachusetts, USA and northern Gulf of Mexico to Brazil, including the Caribbean Sea (Ref. 3723); absent in Bermuda.  Eastern Atlantic:  Cape Verde and Dakar, Senegal to Luanda, Angola (Ref. 4497).",NA,NA,1059
Hemisorubim platyrhynchos,"South America:  Amazon, Maroni, Orinoco, and Paraná River basins.",20,22,13261
Henicorhynchus siamensis,Asia:  Mekong and Chao Phraya basins.,NA,NA,55277
Heteropneustes fossilis,Asia:  Pakistan and Sri Lanka to Myanmar.,21,25,4885
Hippoglossus hippoglossus,"Eastern Atlantic:  Bay of Biscay to Spitsbergen, Barents Sea, Iceland and eastern Greenland.  Western Atlantic:  southwestern Greenland and Labrador in Canada to Virginia in USA (Ref. 7251).",NA,NA,1371
Huso huso,"Eurasia:  Caspian, Black, Azov and Adriatic Sea basins.  Considered critically endangered (Ref. 59043).  Appendix III of the Bern Convention (protected fauna).  International trade restricted (<b>CITES</b> II, since 1.4.98; <b>CMS</b> Appendix II).",10,20,2067
Huso huso,Mediterranean Sea:  Adriatic Sea (Italy).,NA,NA,2067
Huso huso,"Black Sea:  Hungary, Romania, Russia, Serbia, Ukraine.",NA,NA,2067
Huso huso,"Caspian Sea (Azerbaijan, Iran, Kazakhstan, Russia, Turkmenistan).",NA,NA,2067
Huso huso,Sea of Azov (Russia).,NA,NA,2067
Hydrolagus affinis,"Northeast Atlantic:  Rockall Trough along Ireland, northern Bay of Biscay and off Portugal.  Reported from Iceland (Ref. 12462).  Southwest Atlantic:  Uruguay (Ref. 58839).  Northwest Atlantic:  Newfoundland in Canada to Cape Cod in USA.  Probably has a much wider distribution.  Possibly occurring off the Cape in South Africa and off Mozambique (Ref. 11228).",NA,NA,5441
Hyperoglyphe antarctica,Southwest Atlantic:  Argentina.  Southeast Atlantic and Western Indian Ocean:   South Africa.  Southwest Pacific:  New Zealand and Australia (including Western Australia).,NA,NA,496
Hypomesus pretiosus,"Eastern Pacific:  Prince William Sound, Gulf of Alaska to Long Beach, southern California, USA.  Reports from the western Pacific are misidentifications of <i>Hypomesus japonicus</i>.",NA,NA,255
Hyporhamphus ihi,"Southwest Pacific:  restricted to New Zealand, including the Chatham Islands.",NA,NA,13135
Ictalurus punctatus,North America:  Central drainages of the United States to southern Canada and northern Mexico.,10,31.6000003814697,290
Isopsetta isolepis,"Eastern Pacific:  Bristol Bay in the southeastern Bering Sea and Amchitka Island (Aleutian Islands) to Ventura, California, USA.",NA,NA,4242
Isurus oxyrinchus,"Cosmopolitan in temperate and tropical seas (Ref. 6871, 11230).  Western Atlantic:  Gulf of Maine to southern Brazil and Argentina (Ref. 58839), including the Gulf of Mexico and Caribbean.  Eastern Atlantic:  Norway to South Africa, including the Mediterranean.  Indo-Pacific:  East Africa to Hawaii, north to Primorskiy Kray (Russian Federation), south to Australia and New Zealand.  Eastern Pacific:  south of Aleutian Islands and from southern California, USA to Chile.",16,NA,752
Katsuwonus pelamis,"Cosmopolitan in tropical and warm-temperate waters.  Not found in the Black Sea.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",14.6999998092651,30,107
Lagocephalus lagocephalus,Circumglobal:  tropical to temperate seas.,NA,NA,4292
Lamna nasus,"Circumglobal, amphitemperature with centers of distribution in the North Atlantic and temperate water of the southern hemisphere; not in equatorial seas.  Appendix III (Mediterranean) of the Bern Convention (2002).  Appendix II of the Bonn Convention (2009).",1,18,88
Lamna nasus,Mediterranean subpopulation.,NA,NA,88
Lamna nasus,Northeast Atlantic subpopulation.,NA,NA,88
Lamna nasus,Northwest Atlantic subpopulation.,NA,NA,88
Lampris guttatus,"Worldwide in tropical to temperate waters (Ref. 57923).  Western Atlantic:  Grand Banks and Nova Scotia (Canada) to Florida (USA), Gulf of Mexico and the West Indies (Ref. 7251) up to Argentina (Ref. 47377).  Eastern Atlantic:  Norway and Greenland to Senegal (Ref. 6737) and south of Angola (Ref. 6476) also Mediterranean.  Eastern Pacific:  Gulf of Alaska to south of southern California (Ref. 265).  A single capture in South Georgia marks an incidental occurrence in Southern Ocean.",NA,NA,1072
Lates angustifrons,"Africa: widely distributed in Lake Tanganyika (Ref. 2216, 36901) and present in the Malagarazi River delta (Ref. 54847). ",22,28,4497
Lates calcarifer,"Indo-West Pacific:  eastern edge of the Persian Gulf to China, Taiwan and southern Japan, southward to southern Papua New Guinea and northern Australia.",15,28,346
Lates niloticus,"Africa:  widespread throughout the Ethiopian Region of Africa, occurring commonly in all major river basins including the Nile, Chad, Senegal, Volta and Congo (Ref. 3636). Found almost everywhere in West Africa, except in Gambia (Ref. 81285). Present in the brackish waters of Lake Mariout, near Alexandria; exists in Lakes Albert, Rudolph and Tana (Ref. 3636).  Several countries report adverse ecological impact after introduction.",NA,NA,347
Lepidopsetta bilineata,North Pacific:  Baja California to the eastern Aleutian Islands and extreme southeastern Bering Sea.,NA,NA,24237
Lepidorhombus whiffiagonis,"Northeast Atlantic:  Iceland southward to Cape Bojador (26°N), West Sahara and in the western Mediterranean.",NA,NA,28
Lepidorhombus whiffiagonis,"North Sea, West of Scotland and Rockall (ICES subareas IV and VI)",NA,NA,28
Lepidorhombus whiffiagonis,"Northeast Atlantic:  West of Ireland, Celtic Sea, Bay of Biscay(ICES Divisions VIIb k and VIIIa,b,d)",NA,NA,28
Lepidorhombus whiffiagonis,Northeast Atlantic:  Southern Bay of Biscay and Western Iberian Seas (ICES divisions VIIIc and IXa).,NA,NA,28
Leptomelanosoma indicum,Indo-West Pacific:  known with certainty from Pakistan to Papua New Guinea.  Reports from the east coast of Africa need to be verified (Ref. 57343).,NA,NA,4469
Squalius cephalus,"Eurasia:  North, Baltic, northern Black, White, Barents and Caspian Sea basins, Atlatinc basins southward to Adour drainages (France), Great Britain north to 56°C, Scandinavia:  southern Finland, Sweden north to abut Stockholm.  Mediterranean basin from Var to Hérault (possibly Aude) (France) drainages.  Introduced elsewhere, Naturally absent from Italy and Adriatic basin.",4,20,4482
Leuciscus idus,"Europe and Asia:  Baltic, Black, northern Caspian and North Sea basins, Atlantic basin southward to Seine and lower Loire drainages (France).  Absent in Scandinavia north of 69°N.  In Asia, eastward to Lena drainage and Aral basin.  Introduced to Great Britain and northern Italy (Ref. 59043).  Transported to several countries in Europe and the United States for ornament (Ref. 4537).",4,20,2801
Limanda aspera,"North Pacific:  Korea and the Sea of Japan to the Sea of Okhotsk, Bering Sea, and Barkley Sound, Canada.  Reported from the Alaskan Beaufort Sea (Ref. 28503).",NA,NA,520
Limnothrissa miodon,"Africa:  endemic to Lake Tanganyika (Ref. 28136), but introduced into several other lakes (Lake Kivu, Lake Kariba, and Cabora Bassa reservoir) (Ref. 188, 28136).",21,29,1550
Lithognathus mormyrus,"Eastern Atlantic:  Bay of Biscay, Strait of Gibraltar and Mediterranean, Black, and Azov seas to Cape of Good Hope, South Africa and the Mozambique Channel.  Also found around the Canary Islands, Cape Verde (Ref. 4781) and Madeira Is (Ref. 74541).  Western Indian Ocean:  Red Sea; southern Mozambique to the Cape of Good Hope; not found in tropical east Africa (Ref. 3198).",NA,NA,706
Liza aurata,"Eastern Atlantic:  Scotland to Cape Verde; in the Mediterranean and Black Sea.  Also in coastal waters from southern Norway to Morocco, rare off Mauritania (Ref. 3573).  Records from the lagoon of Accra are probably misidentifications.",NA,NA,1735
Liza ramada,"Eastern Atlantic:  from the coasts of southern Norway to Morocco, including the Mediterranean and the Black Sea (Ref. 2804, Ref. 51442).  Records of its occurrence in tropical waters are based on misidentifications (Ref. 3573).",NA,NA,4583
Liza saliens,"Eastern Atlantic:  Mediterranean Sea, the Black Sea, Sea of Azov and Atlantic coasts from Morocco to France.  Introduced to Iran and is now naturally occurring in the Caspian Sea basin (Ref. 50218).",NA,NA,1736
Lophius budegassa,"Eastern Atlantic:  British Isles to Senegal, including the Mediterranean.",NA,NA,5094
Lophius budegassa,Southern Bay of Biscay and Western Iberian Seas (ICES divisions VIIIc and Ixa),NA,NA,5094
Lophius piscatorius,Eastern Atlantic:  south-western Barents Sea to Strait of Gibraltar including the Mediterranean and Black Sea.  Reported from Iceland (Ref. 4712) and Mauritania (Ref. 5377).  North Atlantic specimens attain larger sizes than those collected off West Africa and they also occur in shallower depths.,NA,NA,716
Lophius piscatorius,Southern Bay of Biscay and Western Iberian Seas (ICES divisions VIIIc and Ixa),NA,NA,716
Lota lota,"Circumarctic in freshwater (Ref. 1371).  Europe:  Loire drainage, France eastward to White, Barents and Arctic Sea basins; upper Volga drainage; western Caspian basin; rivers draining to Black Sea; Rhône drainage (France); in Italy native only in Po drainage; eastrward England (now extirpated).  In Siberia eastward to River Lena. Reported that populations from eastern Siberia and North America belong to a different species, <i>Lota maculosa</i> (Ref. 59043).",4,18,310
Lutjanus argentimaculatus,"Indo-West Pacific:  East Africa to Samoa and the Line Islands, north to the Ryukyu Islands, south to Australia.  Has dispersed into the eastern Mediterranean (off Lebanon) via the Suez Canal but not well established there.",16,30,1407
Lutjanus johnii,"Indo-West Pacific:  East Africa to Fiji, north to the Ryukyu Islands, south to Australia.",NA,NA,264
Lutjanus malabaricus,"Indo-West Pacific:  Persian Gulf and Arabian Sea to Fiji, north to southern Japan, south to Australia.  This species has been frequently misidentified as <i>Lutjanus sanguineus</i> (Ref. 55).  There are unsubstantiated reports of this species from off East Africa.",NA,NA,162
Macrodon ancylodon,Western Atlantic:  Venezuela to northern Argentina.,NA,NA,417
Macrognathus aculeatus,"Asia:  Thailand, Malay Peninsula, Borneo and Indonesia.  Reported from Bangladesh (Ref. 1479) and Nepal (Ref. 9496); India (Ref. 43634); Viet Nam (Ref. 89724).",23,28,5152
Macrourus berglax,"North Atlantic:  Norfolk Canyon and George Bank north to Labrador, Davis Strait, eastern and western Greenland, Iceland, and from the Irish Atlantic slope north to Faeroe Islands, Norwegian coast, to Spitzbergen, and to the Barents Sea.",NA,NA,331
Mallotus villosus,"Circumpolar in the Arctic.  North Atlantic:  Barents Sea up to Bear Island, in the White and Norwegian seas, off the coast of Greenland up to 74°N and from Hudson Bay in Canada to Gulf of Maine, USA.  North Pacific:  south to Korea and Juan de Fuca Strait, Canada.",NA,NA,252
Mallotus villosus,"North Atlantic:  Barents Sea (ICES subareas I and II, excluding Division IIa west of 5°W).",NA,NA,252
Mallotus villosus,Northeast Atlantic:  Iceland-East Greenland-Jan Mayen area (ICES Subareas V and XIV and Division IIa west of 5°W).,NA,NA,252
Megalaspis cordyla,Indo-West Pacific:  East Africa to Japan and Australia.,NA,NA,384
Melanogrammus aeglefinus,"Northeast Atlantic:  Bay of Biscay to Spitzbergen; in the Barents Sea to Novaya Zemlya; around Iceland; rare at the southern Greenland.  Northwest Atlantic:  Cape May, New Jersey to the Strait of Belle Isle.",NA,NA,1381
Melanogrammus aeglefinus,Irish Sea (ICES division VIIa),NA,NA,1381
Melanogrammus aeglefinus,Northeast Atlantic:  Faroe Island (ICES Division Vb).,NA,NA,1381
Melanogrammus aeglefinus,Northeast Atlantic:  Iceland (ICES division Va).,NA,NA,1381
Melanogrammus aeglefinus,Northeast Atlantic:  North East Arctic - Barents Sea and Norwegian Sea (ICES subareas I and II).,NA,NA,1381
Melanogrammus aeglefinus,"Northeast Atlantic:  North Sea, Skagerrak (ICES subarea IV and Division IIIa). This stock occupy the northern and central North Sea and Skagerrak and are possibly linked to the Division VIa stock on the West of Scotland (Ref. 92286).",NA,NA,1381
Melanogrammus aeglefinus,Northeast Atlantic:  Rockall (ICES division VIb).  This stock is an entirely separate stock from that on the continental shelf of the British Isles.,NA,NA,1381
Melanogrammus aeglefinus,"Northeast Atlantic:  West of Ireland and Celtic Sea (ICES divisions VIIb-k).  Adults are continuously distributed from the north of Biscay along thte Irish coasts and the west of Scotland into the North Sea. However, this stock may not be distinct from those in the surrounding areas from the present distribution (Ref. 92240).",NA,NA,1381
Melanogrammus aeglefinus,Northeast Atlantic:  West of Scotland (ICES division VIa).,NA,NA,1381
Melanogrammus aeglefinus,Northwest Atlantic: Eastern Scotian Shelf and Southern Gulf of St. Lawrence (NAFO Div. 4TVW).,NA,NA,1381
Melanogrammus aeglefinus,Northwest Atlantic: Georges Bank (NAFO Div. 5Zjm - Canada; Div. 5Z - USA).,NA,NA,1381
Melanogrammus aeglefinus,Northwest Atlantic: Grand Banks (NAFO Div. 3LNO).,NA,NA,1381
Melanogrammus aeglefinus,Northwest Atlantic: Gulf of Maine (NAFO Div. 5Y).,NA,NA,1381
Melanogrammus aeglefinus,Northwest Atlantic: St. Pierre Bank (NAFO Div. 3Ps).,NA,NA,1381
Melanogrammus aeglefinus,Northwest Atlantic: Western Scotian Shelf (NAFO Div. 4X).,NA,NA,1381
Menticirrhus americanus,"Western Atlantic:  New York to Texas, USA and Bay of Campeche to Buenos Aires, Argentina; absent in southern Florida and the Antilles.",NA,NA,409
Merlangius merlangus,"Northeast Atlantic:  southeastern Barents Sea and Iceland to Portugal, also in the Black Sea, Aegean Sea, Adriatic Sea and adjacent areas.  Rare in the northwestern Mediterranean.",NA,NA,29
Merlangius merlangus,Irish Sea (ICES division VIIa),NA,NA,29
Merlangius merlangus,"Northeast Atlantic:  North Sea and Eastern Channel (ICES subarea IV, division VIId).",NA,NA,29
Merlangius merlangus,Northeast Atlantic:  Western Channel (ICES division VIIe) and Celtic Sea (ICES divisions VIIf-k).,NA,NA,29
Merlangius merlangus,Rockall (ICES division VIb),NA,NA,29
Merlangius merlangus,Northeast Atlantic:  Skagerrak Kattegat (ICES division IIIa),NA,NA,29
Merlangius merlangus,Northeast Atlantic:  West of Scotland (ICES division VIa),NA,NA,29
Merluccius hubbsi,Southwest Atlantic:  off southern Brazil to Argentina and the Falkland Islands up to 54°S (Ref. 47377).,3.79999995231628,6.5,325
Merluccius merluccius,"Eastern Atlantic:  Norway and Iceland, southward to Mauritania.  Also in the Mediterranean Sea and along the southern coast of the Black Sea.",NA,NA,30
Merluccius merluccius,"North Sea, Skagerrak, Kattegat, West of Scotland, Irish Sea, Celtic Sea, Channel, Northern and Eastern Bay of Biscay (ICES Division IIIa, Subareas IV, VI, and VII, and Divisions VIIIa,b,d).",NA,NA,30
Merluccius merluccius,Southern Bay of Biscay and Western Iberian Seas (ICES divisions VIIIc and Ixa).,NA,NA,30
Merluccius productus,"Eastern Pacific:  northern Vancouver Island, Canada to northern part of the Gulf of California.  A record from the Gulf of Alaska is doubtful.",NA,NA,326
