,Food.Item.ID,species,taxon,max_size,max_length,TL,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study,nutrient,concentration,RDI
9324,900174,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,PROTEIN,18,56
8136,900174,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,FAT,3.2,70
1008,900174,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,CA_mg,27,1200
6948,900174,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,HG_mcg,16,NA
3385,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,DHA_g,NA,1
2197,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,EPA_g,NA,1
5761,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,ZN_mg,0.4,11
4573,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,FE_mg,0.6,18
9325,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,PROTEIN,18,56
8137,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,FAT,3.8,70
1009,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,CA_mg,24,1200
6949,900175,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,41.53,41.53,40,HG_mcg,10,NA
3489,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,DHA_g,NA,1
2301,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,EPA_g,NA,1
5865,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,ZN_mg,1.1,11
4677,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,FE_mg,0.8,18
9429,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,PROTEIN,19,56
8241,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,FAT,1.7,70
1113,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,CA_mg,60,1200
7053,900176,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,21,HG_mcg,9,NA
3490,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,DHA_g,NA,1
2302,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,EPA_g,NA,1
5866,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,ZN_mg,1.1,11
4678,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,FE_mg,0.9,18
9430,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,PROTEIN,19,56
8242,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,FAT,1.2,70
1114,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,CA_mg,66,1200
7054,900177,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,41.53,41.53,23,HG_mcg,12,NA
2550,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1362,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
4926,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
3738,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8490,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7302,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
174,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
6114,900178,Clarias batrachus,Miscellaneous freshwater fishes,0.680000424,47,3.4,0.00794,2.95,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2775,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1587,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
5151,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
3963,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8715,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7527,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
399,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
6339,900179,Heteropneustes fossilis,Miscellaneous freshwater fishes,0.163432765,30,3.7,0.00389,3.13,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2408,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1220,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
4784,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
3596,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8348,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7160,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
32,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
5972,900180,Anabas testudineus,Miscellaneous freshwater fishes,0.304860446,25,2.7,0.02692,2.9,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2990,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1802,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
5366,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
4178,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8930,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7742,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
614,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
6554,900181,Notopterus notopterus,Miscellaneous freshwater fishes,1.557189111,60,3.5,0.00692,3.01,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2975,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1787,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
5351,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
4163,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8915,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7727,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
599,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
6539,900182,Nandus nandus,Miscellaneous freshwater fishes,0.101847891,20,3.9,0.01096,3.05,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2523,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1335,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
4899,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
3711,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8463,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7275,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
147,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
6087,900183,Channa punctata,Miscellaneous freshwater fishes,0.281575089,31,3.8,0.01202,2.93,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2967,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,DHA_g,NA,1
1779,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,EPA_g,NA,1
5343,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,ZN_mg,NA,11
4155,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,FE_mg,NA,18
8907,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,PROTEIN,NA,56
7719,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,FAT,NA,70
591,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,CA_mg,NA,1200
6531,900184,Mystus vittatus,Miscellaneous freshwater fishes,0.12827515,21,3.1,0.00851,3.16,freshwater,Finfish,22.816667,22.816667,NA,HG_mcg,NA,NA
2557,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,DHA_g,0.191649696,1
1369,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,EPA_g,0.05989053,1
4933,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,ZN_mg,NA,11
3745,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,FE_mg,NA,18
8497,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,PROTEIN,NA,56
7309,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,FAT,3.21,70
181,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,CA_mg,NA,1200
6121,900185,Clarias gariepinus,Miscellaneous freshwater fishes,33.99796,170,3.2,0.00692,3,freshwater,Finfish,37,37,NA,HG_mcg,NA,NA
2646,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,DHA_g,0.055667084,1
1458,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,EPA_g,0.039733144,1
5022,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,ZN_mg,NA,11
3834,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,FE_mg,NA,18
8586,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,PROTEIN,NA,56
7398,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,FAT,0.88,70
270,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,CA_mg,NA,1200
6210,900186,Cyprinus carpio,"Carps, barbels and other cyprinids",18.21340538,110,3,0.02089,2.91,freshwater,Finfish,37,37,NA,HG_mcg,NA,NA
3386,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,DHA_g,0.05378616,1
2198,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,EPA_g,0.010030392,1
5762,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,ZN_mg,NA,11
4574,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,FE_mg,NA,18
9326,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,PROTEIN,NA,56
8138,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,FAT,0.54,70
1010,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,CA_mg,NA,1200
6950,900187,Silurus glanis,Miscellaneous freshwater fishes,839.3228996,500,4.4,0.00631,3.01,freshwater,Finfish,37,37,NA,HG_mcg,NA,NA
3491,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,DHA_g,0.07158984,1
2303,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,EPA_g,0.037115923,1
5867,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,ZN_mg,NA,11
4679,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,FE_mg,NA,18
9431,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,PROTEIN,NA,56
8243,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,FAT,0.61,70
1115,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,CA_mg,NA,1200
7055,900188,Tinca tinca,"Carps, barbels and other cyprinids",7.426256706,70,3.5,0.01906,3.03,freshwater,Finfish,37,37,NA,HG_mcg,NA,NA
3219,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,DHA_g,0.127133452,1
2031,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,EPA_g,0.17597208,1
5595,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,ZN_mg,NA,11
4407,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,FE_mg,NA,18
9159,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,PROTEIN,NA,56
7971,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,FAT,1.52,70
843,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,CA_mg,NA,1200
6783,900189,Rutilus frisii,"Carps, barbels and other cyprinids",4.196817829,70,3.5,0.00871,3.08,freshwater,Finfish,37,37,NA,HG_mcg,NA,NA
3246,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,DHA_g,0.06509256,1
2058,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,EPA_g,0.009422673,1
5622,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,ZN_mg,NA,11
4434,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,FE_mg,NA,18
9186,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,PROTEIN,NA,56
7998,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,FAT,0.39,70
870,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,CA_mg,NA,1200
6810,900190,Sander lucioperca,Miscellaneous freshwater fishes,10.96746089,100,4.3,0.00692,3.1,freshwater,Finfish,37,37,NA,HG_mcg,NA,NA
2599,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,DHA_g,0.145304,1
1411,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,EPA_g,0.1961604,1
4975,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,ZN_mg,NA,11
3787,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,FE_mg,NA,18
8539,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,PROTEIN,NA,56
7351,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,FAT,2.1,70
223,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,CA_mg,NA,1200
6163,900191,Coregonus spp,"Salmons, trouts, smelts",14.78210611,100,3.1,0.00562,3.21,freshwater,Finfish,42.606001,42.606001,31.6,HG_mcg,NA,NA
2597,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,DHA_g,0.2940364,1
1409,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,EPA_g,0.4758747,1
4973,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,ZN_mg,NA,11
3785,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,FE_mg,NA,18
8537,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,PROTEIN,NA,56
7349,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,FAT,4.3,70
221,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,CA_mg,NA,1200
6161,900192,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,45.967622,45.967622,27.6,HG_mcg,NA,NA
2598,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,DHA_g,0.332755,1
1410,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,EPA_g,0.529135,1
4974,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,ZN_mg,NA,11
3786,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,FE_mg,NA,18
8538,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,PROTEIN,NA,56
7350,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,FAT,6,70
222,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,CA_mg,NA,1200
6162,900193,Coregonus macrophthalmus,"Salmons, trouts, smelts",0.230316115,30,3.3,0.00447,3.19,freshwater,Finfish,46.910675,46.910675,30.4,HG_mcg,NA,NA
3015,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,DHA_g,0.55,1
1827,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,EPA_g,0.44,1
5391,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,ZN_mg,NA,11
4203,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,FE_mg,NA,18
8955,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,PROTEIN,NA,56
7767,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,FAT,7,70
639,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,CA_mg,NA,1200
6579,900194,Oncorhynchus tshawytscha,"Salmons, trouts, smelts",29.84838437,121,4.4,0.01148,3.08,marine,Finfish,45.9053,45.9053,NA,HG_mcg,NA,NA
2928,900195,Microstomus pacificus,"Flounders, halibuts, soles",2.261375038,62,3.27,0.01222,2.938699961,marine,Finfish,45.9053,45.9053,NA,DHA_g,0.09,1
1740,900195,Microstomus pacificus,"Flounders, halibuts, soles",2.261375038,62,3.27,0.01222,2.938699961,marine,Finfish,45.9053,45.9053,NA,EPA_g,0.08,1
